"BirdieorBetterPercentageFairway_RANKTHISWEEK_2006","BirdieorBetterPercentageFairway_RANKLASTWEEK_2006","BirdieorBetterPercentageFairway_PLAYERNAME_2006","BirdieorBetterPercentageFairway_ROUNDS_2006","BirdieorBetterPercentageFairway_Pct_2006","BirdieorBetterPercentageFairway_TOTALBIRDIES_2006","BirdieorBetterPercentageFairway_TOTALHOLES_2006","stat_name","year"
1,1,"Tiger Woods",55,29.92,149,498,"BirdieorBetterPercentageFairway",2006
2,2,"Phil Mickelson",74,28.52,170,596,"BirdieorBetterPercentageFairway",2006
3,3,"Adam Scott",70,25.72,178,692,"BirdieorBetterPercentageFairway",2006
4,4,"David Howell",52,25.3,105,415,"BirdieorBetterPercentageFairway",2006
5,5,"Jim Furyk",89,25.22,257,1019,"BirdieorBetterPercentageFairway",2006
6,6,"Daniel Chopra",110,25.02,284,1135,"BirdieorBetterPercentageFairway",2006
7,7,"Charley Hoffman",100,24.91,282,1132,"BirdieorBetterPercentageFairway",2006
8,8,"Jonathan Byrd",66,24.76,182,735,"BirdieorBetterPercentageFairway",2006
8,8,"Davis Love III",85,24.76,179,723,"BirdieorBetterPercentageFairway",2006
10,10,"Lucas Glover",105,24.74,288,1164,"BirdieorBetterPercentageFairway",2006
11,11,"Vaughn Taylor",88,24.65,265,1075,"BirdieorBetterPercentageFairway",2006
12,12,"Stewart Cink",93,24.38,236,968,"BirdieorBetterPercentageFairway",2006
13,13,"Rod Pampling",89,24.37,213,874,"BirdieorBetterPercentageFairway",2006
14,14,"Steve Stricker",64,24.28,178,733,"BirdieorBetterPercentageFairway",2006
15,15,"Geoff Ogilvy",76,24.2,167,690,"BirdieorBetterPercentageFairway",2006
16,16,"Brett Wetterich",82,24.18,235,972,"BirdieorBetterPercentageFairway",2006
17,17,"Bubba Watson",83,24.17,211,873,"BirdieorBetterPercentageFairway",2006
18,18,"David Toms",76,24.13,209,866,"BirdieorBetterPercentageFairway",2006
19,19,"Sergio Garcia",59,24.04,125,520,"BirdieorBetterPercentageFairway",2006
20,20,"Harrison Frazar",95,23.88,230,963,"BirdieorBetterPercentageFairway",2006
21,21,"JP Hayes",55,23.77,169,711,"BirdieorBetterPercentageFairway",2006
22,22,"Hunter Mahan",98,23.75,295,1242,"BirdieorBetterPercentageFairway",2006
23,23,"Craig Barlow",77,23.74,179,754,"BirdieorBetterPercentageFairway",2006
24,24,"Rich Beem",85,23.7,200,844,"BirdieorBetterPercentageFairway",2006
25,25,"Luke Donald",66,23.66,146,617,"BirdieorBetterPercentageFairway",2006
26,26,"Trevor Immelman",86,23.63,233,986,"BirdieorBetterPercentageFairway",2006
27,27,"Ben Crane",85,23.61,200,847,"BirdieorBetterPercentageFairway",2006
28,28,"Ernie Els",69,23.57,140,594,"BirdieorBetterPercentageFairway",2006
29,29,"Frank Lickliter II",99,23.53,277,1177,"BirdieorBetterPercentageFairway",2006
30,30,"JB Holmes",81,23.45,182,776,"BirdieorBetterPercentageFairway",2006
31,31,"Robert Garrigus",85,23.37,218,933,"BirdieorBetterPercentageFairway",2006
32,32,"Camilo Villegas",95,23.36,246,1053,"BirdieorBetterPercentageFairway",2006
33,33,"Justin Rose",98,23.34,275,1178,"BirdieorBetterPercentageFairway",2006
33,33,"Vijay Singh",103,23.34,250,1071,"BirdieorBetterPercentageFairway",2006
35,35,"Ian Poulter",53,23.24,142,611,"BirdieorBetterPercentageFairway",2006
36,36,"Tom Pernice Jr",108,23.16,274,1183,"BirdieorBetterPercentageFairway",2006
37,37,"Retief Goosen",68,23.1,137,593,"BirdieorBetterPercentageFairway",2006
38,38,"Arron Oberholser",82,23.08,192,832,"BirdieorBetterPercentageFairway",2006
38,38,"Brett Quigley",109,23.08,286,1239,"BirdieorBetterPercentageFairway",2006
38,38,"Rory Sabbatini",84,23.08,186,806,"BirdieorBetterPercentageFairway",2006
41,41,"Eric Axley",91,22.97,246,1071,"BirdieorBetterPercentageFairway",2006
42,42,"Stephen Ames",63,22.96,138,601,"BirdieorBetterPercentageFairway",2006
43,43,"Pat Perez",50,22.95,123,536,"BirdieorBetterPercentageFairway",2006
44,44,"Alex Cejka",93,22.88,251,1097,"BirdieorBetterPercentageFairway",2006
45,45,"Tim Clark",80,22.87,191,835,"BirdieorBetterPercentageFairway",2006
46,46,"Jose Maria Olazabal",62,22.81,120,526,"BirdieorBetterPercentageFairway",2006
47,47,"Joe Ogilvie",95,22.79,237,1040,"BirdieorBetterPercentageFairway",2006
47,47,"Bo Van Pelt",102,22.79,268,1176,"BirdieorBetterPercentageFairway",2006
49,49,"Nathan Green",108,22.73,290,1276,"BirdieorBetterPercentageFairway",2006
50,50,"Ted Purdy",103,22.72,252,1109,"BirdieorBetterPercentageFairway",2006
51,51,"Woody Austin",107,22.59,276,1222,"BirdieorBetterPercentageFairway",2006
51,51,"Marco Dawson",87,22.59,232,1027,"BirdieorBetterPercentageFairway",2006
53,53,"John Rollins",93,22.56,236,1046,"BirdieorBetterPercentageFairway",2006
54,54,"Jerry Kelly",100,22.55,269,1193,"BirdieorBetterPercentageFairway",2006
55,55,"Kent Jones",103,22.53,280,1243,"BirdieorBetterPercentageFairway",2006
55,55,"Jeff Sluman",101,22.53,258,1145,"BirdieorBetterPercentageFairway",2006
57,57,"Dean Wilson",115,22.49,284,1263,"BirdieorBetterPercentageFairway",2006
58,58,"Padraig Harrington",54,22.42,115,513,"BirdieorBetterPercentageFairway",2006
59,59,"Will Ma Kenzie",91,22.36,227,1015,"BirdieorBetterPercentageFairway",2006
60,60,"Ryan Palmer",101,22.29,239,1072,"BirdieorBetterPercentageFairway",2006
60,60,"Mark Wilson",79,22.29,230,1032,"BirdieorBetterPercentageFairway",2006
62,62,"Michael Allen",84,22.26,203,912,"BirdieorBetterPercentageFairway",2006
63,63,"DJ Trahan",92,22.19,227,1023,"BirdieorBetterPercentageFairway",2006
64,64,"Brian Gay",107,22.18,316,1425,"BirdieorBetterPercentageFairway",2006
65,65,"Stuart Appleby",83,22.13,185,836,"BirdieorBetterPercentageFairway",2006
66,66,"Robert Allenby",79,22.08,185,838,"BirdieorBetterPercentageFairway",2006
67,67,"David Duval",71,22.07,145,657,"BirdieorBetterPercentageFairway",2006
68,68,"Freddie Jacobson",56,22.05,157,712,"BirdieorBetterPercentageFairway",2006
69,69,"Mike Weir",88,22,189,859,"BirdieorBetterPercentageFairway",2006
70,70,"Jason Bohn",104,21.98,277,1260,"BirdieorBetterPercentageFairway",2006
71,71,"Bubba Dickerson",98,21.97,250,1138,"BirdieorBetterPercentageFairway",2006
72,72,"Tommy Armour III",65,21.96,161,733,"BirdieorBetterPercentageFairway",2006
72,72,"JJ Henry",96,21.96,226,1029,"BirdieorBetterPercentageFairway",2006
74,74,"Nick Watney",97,21.94,246,1121,"BirdieorBetterPercentageFairway",2006
