"PuttsPerRound_RANKTHISWEEK_2005","PuttsPerRound_RANKLASTWEEK_2005","PuttsPerRound_PLAYERNAME_2005","PuttsPerRound_ROUNDS_2005","PuttsPerRound_AVG_2005","PuttsPerRound_TOTALPUTTS_2005","PuttsPerRound_TOTALROUNDS_2005","PuttsPerRound_LOWTOTALPUTTS_2005","stat_name","year"
1,1,"Steve Stricker",62,27.79,1723,62,22,"PuttsPerRound",2005
2,2,"Ben Crane",78,27.96,2069,74,22,"PuttsPerRound",2005
3,3,"Charlie Wi",67,28.06,1824,65,22,"PuttsPerRound",2005
4,4,"Aaron Baddeley",84,28.09,2303,82,23,"PuttsPerRound",2005
5,5,"Brad Faxon",75,28.2,2002,71,22,"PuttsPerRound",2005
6,6,"Kevin Na",88,28.29,2433,86,23,"PuttsPerRound",2005
7,7,"Todd Fischer",99,28.32,2747,97,23,"PuttsPerRound",2005
8,8,"Arjun Atwal",65,28.4,1846,65,23,"PuttsPerRound",2005
8,8,"Corey Pavin",77,28.4,2073,73,23,"PuttsPerRound",2005
10,10,"Joe Ogilvie",103,28.47,2819,99,23,"PuttsPerRound",2005
11,11,"Jose Coceres",56,28.48,1538,54,22,"PuttsPerRound",2005
12,12,"Bob Heintz",67,28.49,1909,67,23,"PuttsPerRound",2005
12,12,"Jose Maria Olazabal",55,28.49,1510,53,22,"PuttsPerRound",2005
12,12,"Jesper Parnevik",84,28.49,2336,82,22,"PuttsPerRound",2005
15,15,"Len Mattiace",86,28.51,2395,84,23,"PuttsPerRound",2005
16,16,"Brian Gay",101,28.53,2824,99,23,"PuttsPerRound",2005
17,17,"Gavin Coles",70,28.54,1998,70,23,"PuttsPerRound",2005
18,18,"Glen Day",80,28.56,2228,78,23,"PuttsPerRound",2005
18,18,"Tim Herron",100,28.56,2827,99,23,"PuttsPerRound",2005
20,20,"Chris DiMarco",83,28.57,2143,75,23,"PuttsPerRound",2005
21,21,"Tom Pernice Jr",111,28.58,3058,107,19,"PuttsPerRound",2005
22,22,"Paul Azinger",66,28.59,1887,66,23,"PuttsPerRound",2005
22,22,"Mark OMeara",66,28.59,1887,66,21,"PuttsPerRound",2005
24,24,"Tim Clark",92,28.6,2488,87,24,"PuttsPerRound",2005
25,25,"Justin Bolli",65,28.62,1803,63,24,"PuttsPerRound",2005
26,26,"Dudley Hart",84,28.65,2407,84,23,"PuttsPerRound",2005
26,26,"Brenden Pappas",51,28.65,1461,51,23,"PuttsPerRound",2005
28,28,"JP Hayes",63,28.67,1806,63,24,"PuttsPerRound",2005
28,28,"Phillip Price",77,28.67,2093,73,23,"PuttsPerRound",2005
30,30,"Stephen Ames",82,28.68,2266,79,22,"PuttsPerRound",2005
31,31,"Phil Mickelson",81,28.69,2123,74,23,"PuttsPerRound",2005
31,31,"Tag Ridings",93,28.69,2611,91,23,"PuttsPerRound",2005
33,33,"Tiger Woods",76,28.7,2124,74,23,"PuttsPerRound",2005
34,34,"Billy Andrade",83,28.71,2383,83,21,"PuttsPerRound",2005
