"EaglesHolesper_RANKTHISWEEK_2007","EaglesHolesper_RANKLASTWEEK_2007","EaglesHolesper_PLAYERNAME_2007","EaglesHolesper_ROUNDS_2007","EaglesHolesper_FREQUENCY_2007","EaglesHolesper_OFHOLES_2007","EaglesHolesper_OFEAGLES_2007","stat_name","year"
1,1,"Chris Tidland",59,88.5,1062,12,"EaglesHolesper",2007
2,2,"Tiger Woods",63,98.2,1080,11,"EaglesHolesper",2007
3,3,"Rod Pampling",92,115.7,1620,14,"EaglesHolesper",2007
4,4,"Phil Mickelson",73,116.2,1278,11,"EaglesHolesper",2007
5,5,"Darron Stiles",65,117,1170,10,"EaglesHolesper",2007
6,6,"Sean OHair",98,117.6,1764,15,"EaglesHolesper",2007
7,7,"Bill Haas",93,119.6,1674,14,"EaglesHolesper",2007
8,8,"Charles Warren",101,121.2,1818,15,"EaglesHolesper",2007
9,9,"Daisuke Maruyama",86,129,1548,12,"EaglesHolesper",2007
10,10,"Ernie Els",59,130.5,1044,8,"EaglesHolesper",2007
11,11,"Jeff Brehaut",59,132.8,1062,8,"EaglesHolesper",2007
11,11,"John Daly",59,132.8,1062,8,"EaglesHolesper",2007
13,13,"Michael Allen",74,133.2,1332,10,"EaglesHolesper",2007
14,14,"Rich Beem",89,133.5,1602,12,"EaglesHolesper",2007
15,15,"Pat Perez",84,137.5,1512,11,"EaglesHolesper",2007
16,16,"Will Ma Kenzie",100,138.5,1800,13,"EaglesHolesper",2007
17,17,"Chris DiMarco",79,138.6,1386,10,"EaglesHolesper",2007
18,18,"Brett Wetterich",88,142.4,1566,11,"EaglesHolesper",2007
19,19,"Robert Garrigus",95,142.5,1710,12,"EaglesHolesper",2007
20,20,"Harrison Frazar",88,144,1584,11,"EaglesHolesper",2007
21,21,"Greg Owen",81,145.8,1458,10,"EaglesHolesper",2007
22,22,"Jason Bohn",57,146.6,1026,7,"EaglesHolesper",2007
23,23,"Eric Axley",107,148.2,1926,13,"EaglesHolesper",2007
24,24,"Vijay Singh",102,150,1800,12,"EaglesHolesper",2007
25,25,"DJ Brigman",67,150.8,1206,8,"EaglesHolesper",2007
26,26,"Jarrod Lyle",77,154,1386,9,"EaglesHolesper",2007
27,27,"Jeff Overton",60,154.3,1080,7,"EaglesHolesper",2007
28,28,"Brett Quigley",79,156,1404,9,"EaglesHolesper",2007
28,28,"Tag Ridings",52,156,936,6,"EaglesHolesper",2007
30,30,"Nick Watney",87,156.6,1566,10,"EaglesHolesper",2007
31,31,"Bubba Watson",80,160,1440,9,"EaglesHolesper",2007
32,32,"Steve Allan",63,162,1134,7,"EaglesHolesper",2007
32,32,"Jason Schultz",63,162,1134,7,"EaglesHolesper",2007
34,34,"Steve Flesch",100,163.6,1800,11,"EaglesHolesper",2007
35,35,"Tim Clark",66,164.6,1152,7,"EaglesHolesper",2007
36,36,"Steve Lowery",74,166.5,1332,8,"EaglesHolesper",2007
37,37,"Kevin Na",84,168,1512,9,"EaglesHolesper",2007
38,38,"Jeff Gove",103,168.5,1854,11,"EaglesHolesper",2007
39,39,"Mathias Gronberg",95,171,1710,10,"EaglesHolesper",2007
40,40,"Michael Putnam",96,172.8,1728,10,"EaglesHolesper",2007
41,41,"Kirk Triplett",77,173.3,1386,8,"EaglesHolesper",2007
42,42,"Duffy Waldorf",69,177.4,1242,7,"EaglesHolesper",2007
43,43,"Tom Byrum",50,180,900,5,"EaglesHolesper",2007
44,44,"Brian Davis",101,181.8,1818,10,"EaglesHolesper",2007
44,44,"John Rollins",102,181.8,1818,10,"EaglesHolesper",2007
46,46,"Hunter Mahan",91,182,1638,9,"EaglesHolesper",2007
46,46,"Ryan Palmer",91,182,1638,9,"EaglesHolesper",2007
48,48,"Scott Verplank",82,182.3,1458,8,"EaglesHolesper",2007
48,48,"Mike Weir",82,182.3,1458,8,"EaglesHolesper",2007
50,50,"Ken Duke",112,183.3,2016,11,"EaglesHolesper",2007
51,51,"Joe Ogilvie",102,183.6,1836,10,"EaglesHolesper",2007
52,52,"Ryan Moore",92,184,1656,9,"EaglesHolesper",2007
53,53,"Nathan Green",103,185.4,1854,10,"EaglesHolesper",2007
54,54,"George McNeill",95,190,1710,9,"EaglesHolesper",2007
54,54,"Kevin Stadler",95,190,1710,9,"EaglesHolesper",2007
56,56,"Jason Gore",86,193.5,1548,8,"EaglesHolesper",2007
56,56,"Charles Howell III",89,193.5,1548,8,"EaglesHolesper",2007
56,56,"Tripp Isenhour",86,193.5,1548,8,"EaglesHolesper",2007
59,59,"Lucas Glover",98,194,1746,9,"EaglesHolesper",2007
59,59,"Mathew Goggin",97,194,1746,9,"EaglesHolesper",2007
59,59,"Kent Jones",97,194,1746,9,"EaglesHolesper",2007
62,62,"Brendon de Jonge",76,195.4,1368,7,"EaglesHolesper",2007
63,63,"Troy Matteson",87,195.8,1566,8,"EaglesHolesper",2007
64,64,"Sergio Garcia",68,198,1188,6,"EaglesHolesper",2007
64,64,"Lee Janzen",66,198,1188,6,"EaglesHolesper",2007
66,66,"Jason Dufner",100,200,1800,9,"EaglesHolesper",2007
67,67,"Scott Gutschewski",67,201,1206,6,"EaglesHolesper",2007
68,68,"Heath Slocum",101,202,1818,9,"EaglesHolesper",2007
69,69,"Charlie Wi",90,202.5,1620,8,"EaglesHolesper",2007
70,70,"Rory Sabbatini",81,203.1,1422,7,"EaglesHolesper",2007
71,71,"Ryuji Imada",104,208,1872,9,"EaglesHolesper",2007
72,72,"Paul Gow",70,210,1260,6,"EaglesHolesper",2007
73,73,"Justin Rose",63,212.4,1062,5,"EaglesHolesper",2007
73,73,"Jim Rutledge",59,212.4,1062,5,"EaglesHolesper",2007
75,75,"JB Holmes",71,213,1278,6,"EaglesHolesper",2007
76,76,"Frank Lickliter II",95,213.8,1710,8,"EaglesHolesper",2007
76,76,"Jeff Quinney",95,213.8,1710,8,"EaglesHolesper",2007
78,78,"Cliff Kresge",107,214,1926,9,"EaglesHolesper",2007
79,79,"Shigeki Maruyama",84,216,1512,7,"EaglesHolesper",2007
80,80,"Jonathan Byrd",73,219,1314,6,"EaglesHolesper",2007
80,80,"Steve Wheatcroft",73,219,1314,6,"EaglesHolesper",2007
82,82,"Billy Mayfair",98,220.5,1764,8,"EaglesHolesper",2007
83,83,"Tom Lehman",62,223.2,1116,5,"EaglesHolesper",2007
84,84,"Zach Johnson",76,225,1350,6,"EaglesHolesper",2007
85,85,"Stewart Cink",91,226.3,1584,7,"EaglesHolesper",2007
85,85,"Robert Gamez",88,226.3,1584,7,"EaglesHolesper",2007
87,87,"Matt Hendrix",63,226.8,1134,5,"EaglesHolesper",2007
88,88,"Jerry Kelly",101,227.3,1818,8,"EaglesHolesper",2007
88,88,"Boo Weekley",101,227.3,1818,8,"EaglesHolesper",2007
90,90,"Robert Allenby",90,228.9,1602,7,"EaglesHolesper",2007
91,91,"Chad Campbell",96,231.4,1620,7,"EaglesHolesper",2007
92,92,"Geoff Ogilvy",84,234,1404,6,"EaglesHolesper",2007
92,92,"Tom Pernice Jr",104,234,1872,8,"EaglesHolesper",2007
92,92,"Bo Van Pelt",104,234,1872,8,"EaglesHolesper",2007
95,95,"Jeff Maggert",79,237,1422,6,"EaglesHolesper",2007
96,96,"Steve Marino",106,238.5,1908,8,"EaglesHolesper",2007
96,96,"Tim Petrovic",106,238.5,1908,8,"EaglesHolesper",2007
98,98,"Mark Calcavecchia",93,239.1,1674,7,"EaglesHolesper",2007
99,99,"Alex Cejka",80,240,1440,6,"EaglesHolesper",2007
100,100,"Tommy Armour III",81,243,1458,6,"EaglesHolesper",2007
101,101,"Adam Scott",69,244.8,1224,5,"EaglesHolesper",2007
102,102,"Camilo Villegas",82,246,1476,6,"EaglesHolesper",2007
103,103,"John Mallinger",96,246.9,1728,7,"EaglesHolesper",2007
104,104,"Carl Pettersson",111,247.5,1980,8,"EaglesHolesper",2007
105,105,"Parker McLachlin",83,249,1494,6,"EaglesHolesper",2007
105,105,"Kenny Perry",83,249,1494,6,"EaglesHolesper",2007
107,107,"John Senden",97,249.4,1746,7,"EaglesHolesper",2007
108,108,"JJ Henry",86,255,1530,6,"EaglesHolesper",2007
109,109,"Ted Purdy",102,262.3,1836,7,"EaglesHolesper",2007
110,110,"Billy Andrade",88,264,1584,6,"EaglesHolesper",2007
111,111,"Joey Sindelar",75,270,1350,5,"EaglesHolesper",2007
112,112,"Vaughn Taylor",91,273,1638,6,"EaglesHolesper",2007
113,113,"Chris Couch",76,273.6,1368,5,"EaglesHolesper",2007
113,113,"Todd Hamilton",76,273.6,1368,5,"EaglesHolesper",2007
115,115,"Andrew Buckle",77,277.2,1386,5,"EaglesHolesper",2007
115,115,"Craig Lile",77,277.2,1386,5,"EaglesHolesper",2007
117,117,"Aaron Baddeley",83,288,1440,5,"EaglesHolesper",2007
117,117,"Retief Goosen",50,288,864,3,"EaglesHolesper",2007
117,117,"Steve Stricker",81,288,1440,5,"EaglesHolesper",2007
120,120,"Johnson Wagner",97,291,1746,6,"EaglesHolesper",2007
121,121,"Stephen Leaney",82,295.2,1476,5,"EaglesHolesper",2007
122,122,"Briny Baird",115,295.7,2070,7,"EaglesHolesper",2007
123,123,"Chris Stroud",66,297,1188,4,"EaglesHolesper",2007
124,124,"David Branshaw",83,298.8,1494,5,"EaglesHolesper",2007
125,125,"KJ Choi",87,306,1530,5,"EaglesHolesper",2007
125,125,"Matt Kuchar",85,306,1530,5,"EaglesHolesper",2007
125,125,"Peter Lonard",85,306,1530,5,"EaglesHolesper",2007
128,128,"Craig Barlow",52,312,936,3,"EaglesHolesper",2007
128,128,"Doug LaBelle II",104,312,1872,6,"EaglesHolesper",2007
128,128,"Michael Sim",52,312,936,3,"EaglesHolesper",2007
131,131,"Mark Wilson",87,313.2,1566,5,"EaglesHolesper",2007
132,132,"Jesper Parnevik",88,316.8,1584,5,"EaglesHolesper",2007
133,133,"Kyle Reifers",71,319.5,1278,4,"EaglesHolesper",2007
134,134,"Rocco Mediate",72,324,1296,4,"EaglesHolesper",2007
135,135,"Stuart Appleby",74,328.5,1314,4,"EaglesHolesper",2007
135,135,"Marco Dawson",73,328.5,1314,4,"EaglesHolesper",2007
137,137,"Tom Johnson",74,333,1332,4,"EaglesHolesper",2007
138,138,"Anthony Kim",93,334.8,1674,5,"EaglesHolesper",2007
139,139,"Cameron Beckman",96,345.6,1728,5,"EaglesHolesper",2007
140,140,"David Toms",80,346.5,1386,4,"EaglesHolesper",2007
141,141,"Charley Hoffman",97,349.2,1746,5,"EaglesHolesper",2007
142,142,"Chris Riley",59,354,1062,3,"EaglesHolesper",2007
143,143,"Rich Barcelo",80,360,1440,4,"EaglesHolesper",2007
143,143,"Ben Curtis",80,360,1440,4,"EaglesHolesper",2007
143,143,"Ian Poulter",63,360,1080,3,"EaglesHolesper",2007
146,146,"Corey Pavin",81,364.5,1458,4,"EaglesHolesper",2007
147,147,"Bob Tway",103,370.8,1854,5,"EaglesHolesper",2007
148,148,"Padraig Harrington",64,372,1116,3,"EaglesHolesper",2007
149,149,"Brandt Snedeker",105,378,1890,5,"EaglesHolesper",2007
150,150,"Daniel Chopra",106,381.6,1908,5,"EaglesHolesper",2007
151,151,"Glen Day",85,382.5,1530,4,"EaglesHolesper",2007
151,151,"Bob Heintz",85,382.5,1530,4,"EaglesHolesper",2007
151,151,"Kevin Sutherland",85,382.5,1530,4,"EaglesHolesper",2007
154,154,"Ryan Armour",107,385.2,1926,5,"EaglesHolesper",2007
155,155,"Fred Funk",65,390,1170,3,"EaglesHolesper",2007
156,156,"Bob Estes",88,396,1584,4,"EaglesHolesper",2007
157,157,"JP Hayes",89,400.5,1602,4,"EaglesHolesper",2007
158,158,"John Merrick",92,414,1656,4,"EaglesHolesper",2007
158,158,"Henrik Stenson",52,414,828,2,"EaglesHolesper",2007
160,160,"Dicky Pride",71,426,1278,3,"EaglesHolesper",2007
161,161,"Woody Austin",95,427.5,1710,4,"EaglesHolesper",2007
161,161,"Justin Leonard",95,427.5,1710,4,"EaglesHolesper",2007
163,163,"DJ Trahan",99,445.5,1782,4,"EaglesHolesper",2007
164,164,"Jose Maria Olazabal",52,450,900,2,"EaglesHolesper",2007
165,165,"Jaco Van Zyl",51,459,918,2,"EaglesHolesper",2007
166,166,"Stephen Ames",81,462,1386,3,"EaglesHolesper",2007
167,167,"Brian Gay",107,481.5,1926,4,"EaglesHolesper",2007
168,168,"Craig Kanada",109,490.5,1962,4,"EaglesHolesper",2007
169,169,"Jim Furyk",84,492,1476,3,"EaglesHolesper",2007
170,170,"Brian Bateman",55,495,990,2,"EaglesHolesper",2007
170,170,"Anders Hansen",55,495,990,2,"EaglesHolesper",2007
172,172,"Bart Bryant",87,516,1548,3,"EaglesHolesper",2007
173,173,"Joe Durant",88,522,1566,3,"EaglesHolesper",2007
174,174,"Shaun Micheel",91,528,1584,3,"EaglesHolesper",2007
175,175,"Paul Goydos",60,531,1062,2,"EaglesHolesper",2007
176,176,"Dean Wilson",92,552,1656,3,"EaglesHolesper",2007
177,177,"Richard Johnson",93,558,1674,3,"EaglesHolesper",2007
178,178,"Davis Love III",66,585,1170,2,"EaglesHolesper",2007
179,179,"Luke Donald",69,603,1206,2,"EaglesHolesper",2007
180,180,"Trevor Immelman",74,612,1224,2,"EaglesHolesper",2007
180,180,"Nick OHern",72,612,1224,2,"EaglesHolesper",2007
182,182,"Freddie Jacobson",70,630,1260,2,"EaglesHolesper",2007
183,183,"Mark Hensby",81,729,1458,2,"EaglesHolesper",2007
184,184,"Gavin Coles",87,783,1566,2,"EaglesHolesper",2007
185,185,"Tim Herron",98,882,1764,2,"EaglesHolesper",2007
186,186,"Jose Coceres",50,900,900,1,"EaglesHolesper",2007
187,187,"Bubba Dickerson",51,918,918,1,"EaglesHolesper",2007
188,188,"Paul Stankowski",52,936,936,1,"EaglesHolesper",2007
189,189,"Mark Brooks",53,954,954,1,"EaglesHolesper",2007
190,190,"Bryce Molder",56,1008,1008,1,"EaglesHolesper",2007
191,191,"Jeff Sluman",60,1080,1080,1,"EaglesHolesper",2007
192,192,"Michael Boyd",61,1098,1098,1,"EaglesHolesper",2007
193,193,"Arron Oberholser",69,1224,1224,1,"EaglesHolesper",2007
