"FedExCupPointsperEventLeaders_RANKTHISWEEK_2008","FedExCupPointsperEventLeaders_RANKLASTWEEK_2008","FedExCupPointsperEventLeaders_PLAYERNAME_2008","FedExCupPointsperEventLeaders_EVENTS_2008","FedExCupPointsperEventLeaders_POINTSPEREVENT_2008","FedExCupPointsperEventLeaders_TOTALPOINTS_2008","stat_name","year"
1,1,"Tiger Woods",6,3782.5,22695,"FedExCupPointsperEventLeaders",2008
2,2,"Padraig Harrington",12,1296.257,15555.081,"FedExCupPointsperEventLeaders",2008
3,3,"Phil Mickelson",17,1073.021,18241.351,"FedExCupPointsperEventLeaders",2008
4,4,"Kenny Perry",22,949.015,20878.323,"FedExCupPointsperEventLeaders",2008
5,5,"Anthony Kim",18,843.212,15177.821,"FedExCupPointsperEventLeaders",2008
6,6,"Stewart Cink",18,840.318,15125.722,"FedExCupPointsperEventLeaders",2008
7,7,"Vijay Singh",19,791.24,15033.562,"FedExCupPointsperEventLeaders",2008
8,8,"Sergio Garcia",15,686.731,10300.963,"FedExCupPointsperEventLeaders",2008
9,9,"Geoff Ogilvy",17,639.184,10866.123,"FedExCupPointsperEventLeaders",2008
10,10,"Justin Leonard",20,636.696,12733.91,"FedExCupPointsperEventLeaders",2008
11,11,"Adam Scott",12,629.813,7557.752,"FedExCupPointsperEventLeaders",2008
12,12,"Ernie Els",12,585.244,7022.932,"FedExCupPointsperEventLeaders",2008
13,13,"Ryuji Imada",19,573.856,10903.271,"FedExCupPointsperEventLeaders",2008
14,14,"Lee Westwood",10,562.567,5625.671,"FedExCupPointsperEventLeaders",2008
15,15,"Luke Donald",11,545.546,6001.008,"FedExCupPointsperEventLeaders",2008
16,16,"KJ Choi",17,520.152,8842.581,"FedExCupPointsperEventLeaders",2008
17,17,"Robert Allenby",21,502.581,10554.198,"FedExCupPointsperEventLeaders",2008
18,18,"Boo Weekley",20,482.734,9654.67,"FedExCupPointsperEventLeaders",2008
19,19,"Trevor Immelman",18,456.038,8208.686,"FedExCupPointsperEventLeaders",2008
20,20,"Sean OHair",20,451.466,9029.325,"FedExCupPointsperEventLeaders",2008
21,21,"Steve Stricker",18,449.011,8082.197,"FedExCupPointsperEventLeaders",2008
22,22,"Andres Romero",16,447.242,7155.873,"FedExCupPointsperEventLeaders",2008
23,23,"Carl Pettersson",22,446.388,9820.54,"FedExCupPointsperEventLeaders",2008
24,24,"Stuart Appleby",19,442.246,8402.674,"FedExCupPointsperEventLeaders",2008
25,25,"Jim Furyk",22,429.002,9438.04,"FedExCupPointsperEventLeaders",2008
26,26,"Greg Norman",4,398.75,1595,"FedExCupPointsperEventLeaders",2008
27,27,"Ben Curtis",18,394.711,7104.793,"FedExCupPointsperEventLeaders",2008
28,28,"Ian Poulter",13,390.234,5073.043,"FedExCupPointsperEventLeaders",2008
29,29,"Stephen Ames",18,384.065,6913.164,"FedExCupPointsperEventLeaders",2008
30,30,"JB Holmes",21,373.055,7834.163,"FedExCupPointsperEventLeaders",2008
31,31,"DJ Trahan",23,369.418,8496.607,"FedExCupPointsperEventLeaders",2008
32,32,"Bart Bryant",19,363.19,6900.606,"FedExCupPointsperEventLeaders",2008
33,33,"Steve Lowery",17,362.563,6163.571,"FedExCupPointsperEventLeaders",2008
34,34,"Chad Campbell",22,344.279,7574.147,"FedExCupPointsperEventLeaders",2008
35,35,"Rory Sabbatini",16,343.011,5488.169,"FedExCupPointsperEventLeaders",2008
36,36,"Camilo Villegas",18,341.175,6141.142,"FedExCupPointsperEventLeaders",2008
37,37,"Retief Goosen",16,335.726,5371.62,"FedExCupPointsperEventLeaders",2008
38,38,"Aaron Baddeley",18,328.044,5904.786,"FedExCupPointsperEventLeaders",2008
39,39,"Jeff Quinney",23,318.66,7329.179,"FedExCupPointsperEventLeaders",2008
40,40,"Tommy Armour III",18,315.035,5670.638,"FedExCupPointsperEventLeaders",2008
41,41,"Hunter Mahan",22,313.787,6903.305,"FedExCupPointsperEventLeaders",2008
42,42,"Rod Pampling",22,311.65,6856.31,"FedExCupPointsperEventLeaders",2008
43,43,"Woody Austin",22,307.381,6762.374,"FedExCupPointsperEventLeaders",2008
44,44,"Daniel Chopra",21,303.551,6374.573,"FedExCupPointsperEventLeaders",2008
45,45,"Briny Baird",23,302.436,6956.019,"FedExCupPointsperEventLeaders",2008
46,46,"Mike Weir",20,301.29,6025.793,"FedExCupPointsperEventLeaders",2008
47,47,"Brian Gay",22,291.484,6412.658,"FedExCupPointsperEventLeaders",2008
48,48,"Freddie Jacobson",20,290.689,5813.778,"FedExCupPointsperEventLeaders",2008
49,49,"Justin Rose",15,285.167,4277.5,"FedExCupPointsperEventLeaders",2008
50,50,"Dudley Hart",17,282.261,4798.43,"FedExCupPointsperEventLeaders",2008
51,51,"Jerry Kelly",23,281.33,6470.593,"FedExCupPointsperEventLeaders",2008
52,52,"Billy Mayfair",23,281.094,6465.157,"FedExCupPointsperEventLeaders",2008
53,53,"Jason Bohn",13,275.513,3581.664,"FedExCupPointsperEventLeaders",2008
54,54,"Fred Couples",14,274.091,3837.274,"FedExCupPointsperEventLeaders",2008
55,55,"Paul Casey",14,271.715,3804.016,"FedExCupPointsperEventLeaders",2008
56,56,"Kevin Sutherland",20,270.721,5414.416,"FedExCupPointsperEventLeaders",2008
57,57,"Chez Reavie",24,270.566,6493.583,"FedExCupPointsperEventLeaders",2008
58,58,"Steve Marino",24,268.583,6445.993,"FedExCupPointsperEventLeaders",2008
59,59,"Ben Crane",19,266.219,5058.168,"FedExCupPointsperEventLeaders",2008
60,60,"Heath Slocum",21,262.029,5502.619,"FedExCupPointsperEventLeaders",2008
61,61,"Parker McLachlin",21,261.979,5501.549,"FedExCupPointsperEventLeaders",2008
62,62,"Scott McCarron",17,258.054,4386.917,"FedExCupPointsperEventLeaders",2008
63,63,"Tim Clark",20,257.929,5158.575,"FedExCupPointsperEventLeaders",2008
64,64,"Steve Elkington",18,257.319,4631.748,"FedExCupPointsperEventLeaders",2008
65,65,"Ryan Moore",18,253.318,4559.717,"FedExCupPointsperEventLeaders",2008
66,66,"Johnson Wagner",22,252.391,5552.606,"FedExCupPointsperEventLeaders",2008
67,67,"Brandt Snedeker",23,245.592,5648.623,"FedExCupPointsperEventLeaders",2008
68,68,"Pat Perez",21,243.389,5111.169,"FedExCupPointsperEventLeaders",2008
69,69,"Peter Lonard",22,238.561,5248.34,"FedExCupPointsperEventLeaders",2008
70,70,"Charlie Wi",21,237.37,4984.767,"FedExCupPointsperEventLeaders",2008
71,71,"Greg Kraft",14,237.096,3319.35,"FedExCupPointsperEventLeaders",2008
72,72,"Bubba Watson",23,236.406,5437.331,"FedExCupPointsperEventLeaders",2008
73,73,"John Senden",22,230.196,5064.32,"FedExCupPointsperEventLeaders",2008
74,74,"Paul Goydos",20,228.366,4567.327,"FedExCupPointsperEventLeaders",2008
75,75,"John Merrick",21,227.952,4786.984,"FedExCupPointsperEventLeaders",2008
76,76,"Nick OHern",20,226.012,4520.232,"FedExCupPointsperEventLeaders",2008
77,77,"Rocco Mediate",23,223.978,5151.495,"FedExCupPointsperEventLeaders",2008
