"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2013","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2013","GIRPercentagefromOtherthanFairway_PLAYERNAME_2013","GIRPercentagefromOtherthanFairway_ROUNDS_2013","GIRPercentagefromOtherthanFairway_Pct_2013","GIRPercentagefromOtherthanFairway_GREENSHIT_2013","GIRPercentagefromOtherthanFairway_OFHOLES_2013","stat_name","year"
1,1,"DJ Trahan",48,60.09,140,233,"GIRPercentagefromOtherthanFairway",2013
2,2,"Vijay Singh",61,59.69,191,320,"GIRPercentagefromOtherthanFairway",2013
3,3,"Charles Howell III",87,58.35,325,557,"GIRPercentagefromOtherthanFairway",2013
4,4,"Dustin Johnson",71,58.3,267,458,"GIRPercentagefromOtherthanFairway",2013
5,5,"Graham DeLaet",94,58.04,260,448,"GIRPercentagefromOtherthanFairway",2013
6,6,"Bubba Watson",76,57.92,245,423,"GIRPercentagefromOtherthanFairway",2013
7,7,"Nick Watney",88,57.08,258,452,"GIRPercentagefromOtherthanFairway",2013
8,8,"Luke List",65,56.93,263,462,"GIRPercentagefromOtherthanFairway",2013
9,9,"Matt Every",89,56.67,289,510,"GIRPercentagefromOtherthanFairway",2013
10,10,"Ricky Barnes",74,56.59,219,387,"GIRPercentagefromOtherthanFairway",2013
11,11,"Gary Woodland",94,56.1,299,533,"GIRPercentagefromOtherthanFairway",2013
12,12,"Cameron Tringale",80,55.93,231,413,"GIRPercentagefromOtherthanFairway",2013
13,13,"Webb Simpson",92,55.88,252,451,"GIRPercentagefromOtherthanFairway",2013
14,14,"Nicholas Thompson",99,55.85,272,487,"GIRPercentagefromOtherthanFairway",2013
15,15,"Jimmy Walker",84,55.81,312,559,"GIRPercentagefromOtherthanFairway",2013
16,16,"Erik Compton",74,55.63,247,444,"GIRPercentagefromOtherthanFairway",2013
17,17,"Sergio Garcia",65,55.59,189,340,"GIRPercentagefromOtherthanFairway",2013
18,18,"Billy Horschel",96,55.53,266,479,"GIRPercentagefromOtherthanFairway",2013
19,19,"Rory Sabbatini",86,55.43,255,460,"GIRPercentagefromOtherthanFairway",2013
20,20,"Josh Teater",86,55.13,247,448,"GIRPercentagefromOtherthanFairway",2013
21,21,"Patrick Reed",83,55.12,280,508,"GIRPercentagefromOtherthanFairway",2013
22,22,"Hunter Mahan",91,55.03,219,398,"GIRPercentagefromOtherthanFairway",2013
23,23,"Camilo Villegas",79,54.97,238,433,"GIRPercentagefromOtherthanFairway",2013
24,24,"Nicolas Colsaerts",50,54.93,167,304,"GIRPercentagefromOtherthanFairway",2013
25,25,"John Rollins",77,54.87,231,421,"GIRPercentagefromOtherthanFairway",2013
26,26,"Adam Scott",61,54.86,175,319,"GIRPercentagefromOtherthanFairway",2013
