"Approachesfrominside100yards_RANKTHISWEEK_2011","Approachesfrominside100yards_RANKLASTWEEK_2011","Approachesfrominside100yards_PLAYERNAME_2011","Approachesfrominside100yards_ROUNDS_2011","Approachesfrominside100yards_AVG_2011","Approachesfrominside100yards_TOTALDISTANCEFEET_2011","Approachesfrominside100yards_OFATTEMPTS_2011","Approachesfrominside100yards_RELATIVETOPAR_2011","stat_name","year"
1,1,"Nick Watney",80,NA,916.667,75,-0.24,"Approachesfrominside100yards",2011
2,2,"Steve Stricker",70,NA,1145.75,91,-0.23,"Approachesfrominside100yards",2011
3,3,"Scott Piercy",78,NA,774.833,58,-0.21,"Approachesfrominside100yards",2011
4,4,"Stewart Cink",72,NA,1074.75,79,-0.14,"Approachesfrominside100yards",2011
5,5,"Anthony Kim",72,NA,1093.25,79,-0.14,"Approachesfrominside100yards",2011
6,6,"Paul Goydos",81,NA,2028.583,146,-0.12,"Approachesfrominside100yards",2011
6,6,"Charles Howell III",108,NA,1361.083,98,-0.22,"Approachesfrominside100yards",2011
8,8,"Jonathan Byrd",83,NA,1173.083,84,-0.1,"Approachesfrominside100yards",2011
9,9,"Woody Austin",59,NA,929.583,64,-0.3,"Approachesfrominside100yards",2011
9,9,"Greg Chalmers",88,NA,1510.583,104,-0.26,"Approachesfrominside100yards",2011
9,9,"Brian Davis",105,NA,1999.917,138,-0.22,"Approachesfrominside100yards",2011
9,9,"Luke Donald",73,NA,1027,71,-0.21,"Approachesfrominside100yards",2011
9,9,"David Duval",67,NA,973.75,67,-0.03,"Approachesfrominside100yards",2011
14,14,"Stephen Ames",69,NA,1110,76,-0.22,"Approachesfrominside100yards",2011
14,14,"Rickie Fowler",84,NA,1212.583,83,-0.12,"Approachesfrominside100yards",2011
14,14,"Justin Rose",79,NA,1048.5,72,-0.19,"Approachesfrominside100yards",2011
17,17,"Webb Simpson",98,NA,1347.333,92,-0.21,"Approachesfrominside100yards",2011
18,18,"Jimmy Walker",79,NA,1089.167,74,-0.15,"Approachesfrominside100yards",2011
19,19,"Lee Janzen",62,NA,845.167,57,0,"Approachesfrominside100yards",2011
19,19,"Chris Kirk",87,NA,1289.417,87,-0.29,"Approachesfrominside100yards",2011
19,19,"Kevin Na",84,NA,1289,87,0,"Approachesfrominside100yards",2011
22,22,"Ernie Els",71,NA,1258.417,84,-0.02,"Approachesfrominside100yards",2011
22,22,"Brian Gay",90,NA,2204.333,147,-0.25,"Approachesfrominside100yards",2011
24,24,"KJ Choi",77,NA,1179.417,78,-0.15,"Approachesfrominside100yards",2011
24,24,"Brendan Steele",89,NA,1160.917,77,-0.35,"Approachesfrominside100yards",2011
24,24,"Bo Van Pelt",92,NA,1254.583,83,-0.11,"Approachesfrominside100yards",2011
27,27,"Chad Campbell",99,NA,1499.083,99,-0.14,"Approachesfrominside100yards",2011
28,28,"John Rollins",85,NA,1389.917,91,-0.08,"Approachesfrominside100yards",2011
