"LongestPutts_RANKTHISWEEK_2005","LongestPutts_RANKLASTWEEK_2005","LongestPutts_PLAYERNAME_2005","LongestPutts_ROUNDS_2005","LongestPutts_DISTANCE_2005","LongestPutts_YEARTOURN_2005","LongestPutts_ROUND_2005","LongestPutts_HOLE_2005","stat_name","year"
1,1,"Arjun Atwal",65,NA,NA,1,7,"LongestPutts",2005
2,2,"Jay Haas",54,NA,NA,4,3,"LongestPutts",2005
3,3,"Jeff Brehaut",71,NA,NA,2,16,"LongestPutts",2005
4,4,"Sergio Garcia",73,NA,NA,2,8,"LongestPutts",2005
5,5,"Kent Jones",99,NA,NA,4,3,"LongestPutts",2005
6,6,"Hidemichi Tanaka",106,NA,NA,1,10,"LongestPutts",2005
7,7,"Brenden Pappas",51,NA,NA,4,14,"LongestPutts",2005
9,9,"Steve Allan",102,NA,NA,4,10,"LongestPutts",2005
10,10,"Henrik Stenson",16,NA,NA,4,9,"LongestPutts",2005
11,11,"John Huston",90,NA,NA,3,5,"LongestPutts",2005
12,12,"Vijay Singh",111,NA,NA,2,4,"LongestPutts",2005
12,13,"Nick Watney",91,NA,NA,4,12,"LongestPutts",2005
14,14,"Patrick Prince",2,NA,NA,1,14,"LongestPutts",2005
15,15,"David Toms",87,NA,NA,4,6,"LongestPutts",2005
16,16,"Jerry Kelly",101,NA,NA,4,7,"LongestPutts",2005
17,17,"Joey Snyder III",102,NA,NA,4,5,"LongestPutts",2005
18,18,"Bart Bryant",91,NA,NA,4,2,"LongestPutts",2005
18,19,"John Rollins",97,NA,NA,1,14,"LongestPutts",2005
20,20,"Brandt Jobe",96,NA,NA,1,10,"LongestPutts",2005
21,21,"Willie Wood",9,NA,NA,1,11,"LongestPutts",2005
22,22,"Tripp Isenhour",18,NA,NA,1,10,"LongestPutts",2005
23,23,"Jose Coceres",56,NA,NA,3,7,"LongestPutts",2005
23,24,"Jonathan Byrd",103,NA,NA,3,11,"LongestPutts",2005
25,25,"Robert Gamez",91,NA,NA,1,5,"LongestPutts",2005
26,26,"Bob Sowards",18,NA,NA,3,1,"LongestPutts",2005
27,27,"Richard Green",37,NA,NA,1,17,"LongestPutts",2005
28,28,"James Driscoll",73,NA,NA,4,10,"LongestPutts",2005
29,29,"Scott Dunlap",9,NA,NA,1,1,"LongestPutts",2005
30,30,"Steve Elkington",67,NA,NA,3,8,"LongestPutts",2005
32,32,"Padraig Harrington",50,NA,NA,4,18,"LongestPutts",2005
34,34,"Jesper Parnevik",84,NA,NA,3,11,"LongestPutts",2005
35,35,"Rob Rashell",65,NA,NA,2,4,"LongestPutts",2005
37,37,"David Frost",24,NA,NA,4,9,"LongestPutts",2005
38,38,"John Cook",72,NA,NA,2,11,"LongestPutts",2005
39,39,"Brian Gay",101,NA,NA,1,8,"LongestPutts",2005
41,41,"Larry Mize",54,NA,NA,2,8,"LongestPutts",2005
43,43,"Stephen Leaney",89,NA,NA,3,16,"LongestPutts",2005
44,44,"Charles Warren",89,NA,NA,4,7,"LongestPutts",2005
47,47,"Carl Pettersson",109,NA,NA,1,6,"LongestPutts",2005
48,48,"JL Lewis",98,NA,NA,3,6,"LongestPutts",2005
49,49,"Lee Janzen",75,NA,NA,1,16,"LongestPutts",2005
50,50,"Wes Short Jr",44,NA,NA,4,4,"LongestPutts",2005
51,51,"Ryan Palmer",101,NA,NA,1,9,"LongestPutts",2005
52,52,"JP Hayes",63,NA,NA,3,15,"LongestPutts",2005
53,53,"Sean OHair",103,NA,NA,2,1,"LongestPutts",2005
55,55,"Skip Kendall",80,NA,NA,2,5,"LongestPutts",2005
56,56,"Chris DiMarco",83,NA,NA,2,5,"LongestPutts",2005
59,59,"Mark Calcavecchia",92,NA,NA,1,17,"LongestPutts",2005
59,61,"Cameron Beckman",96,NA,NA,1,11,"LongestPutts",2005
59,60,"Ryuji Imada",78,NA,NA,4,4,"LongestPutts",2005
62,64,"Tom Byrum",83,NA,NA,1,9,"LongestPutts",2005
62,63,"Kelly Gibson",4,NA,NA,1,6,"LongestPutts",2005
62,62,"Matt Kuchar",60,NA,NA,1,11,"LongestPutts",2005
65,66,"Dan Forsman",52,NA,NA,1,16,"LongestPutts",2005
65,67,"Tim Herron",100,NA,NA,1,3,"LongestPutts",2005
65,65,"Harrison Frazar",105,NA,NA,4,8,"LongestPutts",2005
65,68,"Hank Kuehne",84,NA,NA,1,9,"LongestPutts",2005
69,69,"Tim Petrovic",97,NA,NA,1,3,"LongestPutts",2005
70,70,"Charles Howell III",95,NA,NA,2,11,"LongestPutts",2005
72,72,"Chris Smith",93,NA,NA,1,5,"LongestPutts",2005
74,74,"Dudley Hart",84,NA,NA,4,1,"LongestPutts",2005
76,76,"Tom Pernice Jr",111,NA,NA,4,8,"LongestPutts",2005
77,78,"Stewart Cink",98,NA,NA,3,13,"LongestPutts",2005
