"ConsecutiveCuts_RANKTHISWEEK_2006","ConsecutiveCuts_RANKLASTWEEK_2006","ConsecutiveCuts_PLAYERNAME_2006","ConsecutiveCuts__2006","ConsecutiveCuts_TOTAL_2006","ConsecutiveCuts_STARTTOURNAMENTID_2006","stat_name","year"
1,1,"Ernie Els",NA,42,2004130,"ConsecutiveCuts",2006
2,2,"Fred Funk",NA,16,2006210,"ConsecutiveCuts",2006
3,3,"Trevor Immelman",NA,15,2006170,"ConsecutiveCuts",2006
4,4,"Jim Furyk",NA,12,2006210,"ConsecutiveCuts",2006
5,5,"Lucas Glover",NA,10,2006330,"ConsecutiveCuts",2006
6,6,"KJ Choi",NA,9,2006320,"ConsecutiveCuts",2006
6,6,"Luke Donald",NA,9,2006200,"ConsecutiveCuts",2006
6,6,"JJ Henry",NA,9,2006330,"ConsecutiveCuts",2006
6,6,"Ryuji Imada",NA,9,2006330,"ConsecutiveCuts",2006
6,6,"Shaun Micheel",NA,9,2006320,"ConsecutiveCuts",2006
11,11,"Stewart Cink",NA,8,2006320,"ConsecutiveCuts",2006
11,11,"Geoff Ogilvy",NA,8,2006230,"ConsecutiveCuts",2006
11,11,"Vijay Singh",NA,8,2006370,"ConsecutiveCuts",2006
14,14,"Stuart Appleby",NA,7,2006340,"ConsecutiveCuts",2006
14,14,"Bart Bryant",NA,7,2006370,"ConsecutiveCuts",2006
14,14,"Tim Clark",NA,7,2006280,"ConsecutiveCuts",2006
14,14,"Hunter Mahan",NA,7,2006380,"ConsecutiveCuts",2006
14,14,"DA Points",NA,7,2006380,"ConsecutiveCuts",2006
14,14,"Tiger Woods",NA,7,2006280,"ConsecutiveCuts",2006
20,20,"Eric Axley",NA,6,2006410,"ConsecutiveCuts",2006
20,20,"Ben Crane",NA,6,2006370,"ConsecutiveCuts",2006
20,20,"Chris DiMarco",NA,6,2006350,"ConsecutiveCuts",2006
20,20,"Joe Durant",NA,6,2006400,"ConsecutiveCuts",2006
20,20,"Davis Love III",NA,6,2006340,"ConsecutiveCuts",2006
20,20,"Rory Sabbatini",NA,6,2006370,"ConsecutiveCuts",2006
20,20,"Doug Tewell",NA,6,1999230,"ConsecutiveCuts",2006
20,20,"David Toms",NA,6,2006340,"ConsecutiveCuts",2006
