"EarlyPar5ScoringAverage_RANKTHISWEEK_2011","EarlyPar5ScoringAverage_RANKLASTWEEK_2011","EarlyPar5ScoringAverage_PLAYERNAME_2011","EarlyPar5ScoringAverage_ROUNDS_2011","EarlyPar5ScoringAverage_AVG_2011","EarlyPar5ScoringAverage_TOTALSTROKES_2011","EarlyPar5ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Webb Simpson",98,4.43,487,110,"EarlyPar5ScoringAverage",2011
2,2,"Steve Stricker",70,4.45,289,65,"EarlyPar5ScoringAverage",2011
3,3,"Brendan Steele",89,4.5,625,139,"EarlyPar5ScoringAverage",2011
3,3,"David Toms",78,4.5,495,110,"EarlyPar5ScoringAverage",2011
5,5,"Rickie Fowler",84,4.52,479,106,"EarlyPar5ScoringAverage",2011
5,5,"Lucas Glover",74,4.52,461,102,"EarlyPar5ScoringAverage",2011
5,5,"Bubba Watson",85,4.52,610,135,"EarlyPar5ScoringAverage",2011
8,8,"Brandt Snedeker",85,4.53,489,108,"EarlyPar5ScoringAverage",2011
9,9,"Gary Woodland",93,4.54,540,119,"EarlyPar5ScoringAverage",2011
10,10,"Angel Cabrera",50,4.55,346,76,"EarlyPar5ScoringAverage",2011
10,10,"Charles Howell III",108,4.55,605,133,"EarlyPar5ScoringAverage",2011
10,10,"Zach Johnson",79,4.55,564,124,"EarlyPar5ScoringAverage",2011
10,10,"Phil Mickelson",79,4.55,560,123,"EarlyPar5ScoringAverage",2011
10,10,"Justin Rose",79,4.55,641,141,"EarlyPar5ScoringAverage",2011
10,10,"Adam Scott",60,4.55,273,60,"EarlyPar5ScoringAverage",2011
10,10,"Kyle Stanley",98,4.55,724,159,"EarlyPar5ScoringAverage",2011
17,17,"Brendon de Jonge",105,4.56,703,154,"EarlyPar5ScoringAverage",2011
17,17,"Sergio Garcia",61,4.56,356,78,"EarlyPar5ScoringAverage",2011
17,17,"Spencer Levin",113,4.56,693,152,"EarlyPar5ScoringAverage",2011
17,17,"Nick Watney",80,4.56,406,89,"EarlyPar5ScoringAverage",2011
21,21,"Aaron Baddeley",77,4.57,452,99,"EarlyPar5ScoringAverage",2011
22,22,"Chris Couch",73,4.58,549,120,"EarlyPar5ScoringAverage",2011
22,22,"Sung Kang",63,4.58,458,100,"EarlyPar5ScoringAverage",2011
22,22,"John Merrick",71,4.58,440,96,"EarlyPar5ScoringAverage",2011
22,22,"Kevin Na",84,4.58,651,142,"EarlyPar5ScoringAverage",2011
26,26,"Stewart Cink",72,4.59,560,122,"EarlyPar5ScoringAverage",2011
26,26,"Matt Kuchar",94,4.59,454,99,"EarlyPar5ScoringAverage",2011
26,26,"Rory Sabbatini",85,4.59,688,150,"EarlyPar5ScoringAverage",2011
29,29,"Shane Bertsch",62,4.6,419,91,"EarlyPar5ScoringAverage",2011
29,29,"Hunter Mahan",92,4.6,570,124,"EarlyPar5ScoringAverage",2011
29,29,"Ryan Palmer",82,4.6,571,124,"EarlyPar5ScoringAverage",2011
32,32,"Jason Day",76,4.61,470,102,"EarlyPar5ScoringAverage",2011
32,32,"Brandt Jobe",100,4.61,752,163,"EarlyPar5ScoringAverage",2011
32,32,"Jerry Kelly",85,4.61,539,117,"EarlyPar5ScoringAverage",2011
32,32,"Chris Kirk",87,4.61,595,129,"EarlyPar5ScoringAverage",2011
32,32,"Charl Schwartzel",58,4.61,401,87,"EarlyPar5ScoringAverage",2011
32,32,"Heath Slocum",89,4.61,673,146,"EarlyPar5ScoringAverage",2011
32,32,"Scott Stallings",84,4.61,627,136,"EarlyPar5ScoringAverage",2011
32,32,"Josh Teater",104,4.61,793,172,"EarlyPar5ScoringAverage",2011
32,32,"Bo Van Pelt",92,4.61,595,129,"EarlyPar5ScoringAverage",2011
41,41,"Woody Austin",59,4.62,508,110,"EarlyPar5ScoringAverage",2011
41,41,"Bill Haas",93,4.62,587,127,"EarlyPar5ScoringAverage",2011
41,41,"Charley Hoffman",93,4.62,794,172,"EarlyPar5ScoringAverage",2011
41,41,"Carl Pettersson",95,4.62,665,144,"EarlyPar5ScoringAverage",2011
41,41,"Cameron Tringale",110,4.62,739,160,"EarlyPar5ScoringAverage",2011
41,41,"Boo Weekley",66,4.62,568,123,"EarlyPar5ScoringAverage",2011
47,47,"Steven Bowditch",86,4.63,616,133,"EarlyPar5ScoringAverage",2011
47,47,"Kevin Chappell",78,4.63,518,112,"EarlyPar5ScoringAverage",2011
47,47,"Luke Donald",73,4.63,333,72,"EarlyPar5ScoringAverage",2011
47,47,"Brian Gay",90,4.63,629,136,"EarlyPar5ScoringAverage",2011
47,47,"Billy Mayfair",94,4.63,759,164,"EarlyPar5ScoringAverage",2011
47,47,"Jeff Overton",92,4.63,746,161,"EarlyPar5ScoringAverage",2011
47,47,"Tag Ridings",87,4.63,708,153,"EarlyPar5ScoringAverage",2011
47,47,"John Rollins",85,4.63,621,134,"EarlyPar5ScoringAverage",2011
55,55,"Kris Blanks",92,4.64,692,149,"EarlyPar5ScoringAverage",2011
55,55,"Tim Herron",85,4.64,617,133,"EarlyPar5ScoringAverage",2011
55,55,"JB Holmes",57,4.64,399,86,"EarlyPar5ScoringAverage",2011
55,55,"Robert Karlsson",61,4.64,436,94,"EarlyPar5ScoringAverage",2011
55,55,"Bio Kim",71,4.64,510,110,"EarlyPar5ScoringAverage",2011
55,55,"DA Points",89,4.64,677,146,"EarlyPar5ScoringAverage",2011
55,55,"Jhonattan Vegas",84,4.64,585,126,"EarlyPar5ScoringAverage",2011
62,62,"Blake Adams",116,4.65,940,202,"EarlyPar5ScoringAverage",2011
62,62,"Jason Bohn",74,4.65,669,144,"EarlyPar5ScoringAverage",2011
62,62,"Harrison Frazar",58,4.65,409,88,"EarlyPar5ScoringAverage",2011
62,62,"JJ Henry",96,4.65,753,162,"EarlyPar5ScoringAverage",2011
62,62,"Kent Jones",76,4.65,591,127,"EarlyPar5ScoringAverage",2011
62,62,"Kevin Kisner",70,4.65,530,114,"EarlyPar5ScoringAverage",2011
62,62,"Paul Stankowski",78,4.65,628,135,"EarlyPar5ScoringAverage",2011
62,62,"Kevin Streelman",90,4.65,753,162,"EarlyPar5ScoringAverage",2011
62,62,"Roland Thatcher",67,4.65,516,111,"EarlyPar5ScoringAverage",2011
62,62,"Charlie Wi",83,4.65,647,139,"EarlyPar5ScoringAverage",2011
62,62,"Mark Wilson",89,4.65,619,133,"EarlyPar5ScoringAverage",2011
73,73,"Robert Garrigus",83,4.66,634,136,"EarlyPar5ScoringAverage",2011
73,73,"Bill Lunde",92,4.66,792,170,"EarlyPar5ScoringAverage",2011
73,73,"Alexandre Rocha",65,4.66,513,110,"EarlyPar5ScoringAverage",2011
73,73,"DJ Trahan",91,4.66,638,137,"EarlyPar5ScoringAverage",2011
73,73,"Jimmy Walker",79,4.66,564,121,"EarlyPar5ScoringAverage",2011
73,73,"Dean Wilson",62,4.66,471,101,"EarlyPar5ScoringAverage",2011
79,79,"Keegan Bradley",91,4.67,630,135,"EarlyPar5ScoringAverage",2011
79,79,"DJ Brigman",67,4.67,542,116,"EarlyPar5ScoringAverage",2011
79,79,"Jonathan Byrd",83,4.67,603,129,"EarlyPar5ScoringAverage",2011
79,79,"Greg Chalmers",88,4.67,649,139,"EarlyPar5ScoringAverage",2011
79,79,"Ben Curtis",66,4.67,495,106,"EarlyPar5ScoringAverage",2011
79,79,"James Driscoll",71,4.67,602,129,"EarlyPar5ScoringAverage",2011
79,79,"Anthony Kim",72,4.67,523,112,"EarlyPar5ScoringAverage",2011
79,79,"Marc Leishman",87,4.67,687,147,"EarlyPar5ScoringAverage",2011
79,79,"Jarrod Lyle",83,4.67,598,128,"EarlyPar5ScoringAverage",2011
79,79,"Troy Matteson",91,4.67,673,144,"EarlyPar5ScoringAverage",2011
79,79,"Graeme McDowell",50,4.67,350,75,"EarlyPar5ScoringAverage",2011
79,79,"Nick OHern",89,4.67,570,122,"EarlyPar5ScoringAverage",2011
79,79,"Alex Prugh",82,4.67,700,150,"EarlyPar5ScoringAverage",2011
79,79,"Chez Reavie",92,4.67,710,152,"EarlyPar5ScoringAverage",2011
79,79,"Will Strickler",51,4.67,430,92,"EarlyPar5ScoringAverage",2011
79,79,"Chris Stroud",88,4.67,588,126,"EarlyPar5ScoringAverage",2011
79,79,"Vaughn Taylor",89,4.67,612,131,"EarlyPar5ScoringAverage",2011
96,96,"Robert Allenby",84,4.68,660,141,"EarlyPar5ScoringAverage",2011
96,96,"Matt Bettencourt",84,4.68,618,132,"EarlyPar5ScoringAverage",2011
96,96,"Chad Campbell",99,4.68,739,158,"EarlyPar5ScoringAverage",2011
96,96,"Alex Cejka",59,4.68,538,115,"EarlyPar5ScoringAverage",2011
96,96,"Jason Dufner",78,4.68,482,103,"EarlyPar5ScoringAverage",2011
96,96,"David Hearn",88,4.68,655,140,"EarlyPar5ScoringAverage",2011
96,96,"Steve Marino",76,4.68,557,119,"EarlyPar5ScoringAverage",2011
103,103,"Stuart Appleby",65,4.69,450,96,"EarlyPar5ScoringAverage",2011
103,103,"Michael Bradley",74,4.69,586,125,"EarlyPar5ScoringAverage",2011
103,103,"Ernie Els",71,4.69,558,119,"EarlyPar5ScoringAverage",2011
103,103,"Bobby Gates",82,4.69,642,137,"EarlyPar5ScoringAverage",2011
103,103,"Tom Gillis",55,4.69,422,90,"EarlyPar5ScoringAverage",2011
103,103,"Ryuji Imada",83,4.69,643,137,"EarlyPar5ScoringAverage",2011
103,103,"Freddie Jacobson",92,4.69,586,125,"EarlyPar5ScoringAverage",2011
103,103,"Justin Leonard",82,4.69,581,124,"EarlyPar5ScoringAverage",2011
103,103,"Scott Piercy",78,4.69,581,124,"EarlyPar5ScoringAverage",2011
103,103,"Vijay Singh",79,4.69,544,116,"EarlyPar5ScoringAverage",2011
103,103,"Nate Smith",66,4.69,474,101,"EarlyPar5ScoringAverage",2011
114,114,"Cameron Beckman",71,4.7,587,125,"EarlyPar5ScoringAverage",2011
114,114,"KJ Choi",77,4.7,475,101,"EarlyPar5ScoringAverage",2011
114,114,"Brian Davis",105,4.7,756,161,"EarlyPar5ScoringAverage",2011
114,114,"Chris DiMarco",93,4.7,771,164,"EarlyPar5ScoringAverage",2011
114,114,"Martin Laird",77,4.7,508,108,"EarlyPar5ScoringAverage",2011
114,114,"Derek Lamely",65,4.7,564,120,"EarlyPar5ScoringAverage",2011
114,114,"John Senden",94,4.7,606,129,"EarlyPar5ScoringAverage",2011
114,114,"YE Yang",63,4.7,404,86,"EarlyPar5ScoringAverage",2011
122,122,"Stephen Ames",69,4.71,584,124,"EarlyPar5ScoringAverage",2011
122,122,"Michael Connell",76,4.71,523,111,"EarlyPar5ScoringAverage",2011
122,122,"Steve Flesch",88,4.71,654,139,"EarlyPar5ScoringAverage",2011
122,122,"Jim Herman",69,4.71,466,99,"EarlyPar5ScoringAverage",2011
122,122,"Ben Martin",74,4.71,527,112,"EarlyPar5ScoringAverage",2011
122,122,"Ryan Moore",79,4.71,528,112,"EarlyPar5ScoringAverage",2011
122,122,"Ian Poulter",52,4.71,353,75,"EarlyPar5ScoringAverage",2011
129,129,"Fabian Gomez",84,4.72,614,130,"EarlyPar5ScoringAverage",2011
129,129,"George McNeill",69,4.72,515,109,"EarlyPar5ScoringAverage",2011
129,129,"Pat Perez",76,4.72,652,138,"EarlyPar5ScoringAverage",2011
132,132,"Ben Crane",76,4.73,544,115,"EarlyPar5ScoringAverage",2011
132,132,"Trevor Immelman",84,4.73,624,132,"EarlyPar5ScoringAverage",2011
132,132,"Dustin Johnson",72,4.73,464,98,"EarlyPar5ScoringAverage",2011
132,132,"Matt Jones",71,4.73,549,116,"EarlyPar5ScoringAverage",2011
132,132,"Chris Riley",76,4.73,648,137,"EarlyPar5ScoringAverage",2011
137,137,"Jim Furyk",87,4.74,498,105,"EarlyPar5ScoringAverage",2011
137,137,"Scott Gutschewski",67,4.74,573,121,"EarlyPar5ScoringAverage",2011
137,137,"JP Hayes",56,4.74,412,87,"EarlyPar5ScoringAverage",2011
137,137,"Justin Hicks",60,4.74,370,78,"EarlyPar5ScoringAverage",2011
137,137,"Davis Love III",70,4.74,427,90,"EarlyPar5ScoringAverage",2011
137,137,"William McGirt",103,4.74,716,151,"EarlyPar5ScoringAverage",2011
137,137,"Geoff Ogilvy",69,4.74,469,99,"EarlyPar5ScoringAverage",2011
137,137,"Rod Pampling",72,4.74,512,108,"EarlyPar5ScoringAverage",2011
137,137,"Michael Putnam",67,4.74,550,116,"EarlyPar5ScoringAverage",2011
137,137,"Kevin Stadler",88,4.74,730,154,"EarlyPar5ScoringAverage",2011
137,137,"Johnson Wagner",81,4.74,602,127,"EarlyPar5ScoringAverage",2011
148,148,"Ricky Barnes",78,4.75,503,106,"EarlyPar5ScoringAverage",2011
148,148,"Joseph Bramlett",73,4.75,637,134,"EarlyPar5ScoringAverage",2011
150,150,"Steve Elkington",50,4.76,414,87,"EarlyPar5ScoringAverage",2011
150,150,"Retief Goosen",50,4.76,428,90,"EarlyPar5ScoringAverage",2011
150,150,"Scott McCarron",65,4.76,576,121,"EarlyPar5ScoringAverage",2011
150,150,"Camilo Villegas",69,4.76,476,100,"EarlyPar5ScoringAverage",2011
154,154,"Arjun Atwal",91,4.77,759,159,"EarlyPar5ScoringAverage",2011
154,154,"Joe Durant",71,4.77,591,124,"EarlyPar5ScoringAverage",2011
154,154,"Colt Knost",80,4.77,634,133,"EarlyPar5ScoringAverage",2011
154,154,"Zack Miller",86,4.77,706,148,"EarlyPar5ScoringAverage",2011
154,154,"Bryce Molder",82,4.77,577,121,"EarlyPar5ScoringAverage",2011
154,154,"Joe Ogilvie",75,4.77,591,124,"EarlyPar5ScoringAverage",2011
154,154,"Tim Petrovic",88,4.77,691,145,"EarlyPar5ScoringAverage",2011
154,154,"Martin Piller",63,4.77,463,97,"EarlyPar5ScoringAverage",2011
154,154,"Aron Price",58,4.77,415,87,"EarlyPar5ScoringAverage",2011
154,154,"Michael Thompson",79,4.77,558,117,"EarlyPar5ScoringAverage",2011
164,164,"Lee Janzen",62,4.78,573,120,"EarlyPar5ScoringAverage",2011
164,164,"Troy Merritt",63,4.78,540,113,"EarlyPar5ScoringAverage",2011
164,164,"Sean OHair",71,4.78,478,100,"EarlyPar5ScoringAverage",2011
164,164,"Jim Renner",65,4.78,502,105,"EarlyPar5ScoringAverage",2011
168,168,"Rich Beem",53,4.79,412,86,"EarlyPar5ScoringAverage",2011
168,168,"David Duval",67,4.79,561,117,"EarlyPar5ScoringAverage",2011
168,168,"Tommy Gainey",104,4.79,704,147,"EarlyPar5ScoringAverage",2011
