"ScoringAverageActual_RANKTHISWEEK_2011","ScoringAverageActual_RANKLASTWEEK_2011","ScoringAverageActual_PLAYERNAME_2011","ScoringAverageActual_ROUNDS_2011","ScoringAverageActual_AVG_2011","ScoringAverageActual_TOTALSTROKES_2011","ScoringAverageActual_TOTALROUNDS_2011","stat_name","year"
1,1,"Webb Simpson",98,69.16,6778,98,"ScoringAverageActual",2011
2,2,"Luke Donald",73,69.3,4643,67,"ScoringAverageActual",2011
3,3,"Steve Stricker",70,69.33,4784,69,"ScoringAverageActual",2011
4,4,"David Toms",78,69.55,5425,78,"ScoringAverageActual",2011
5,5,"Nick Watney",80,69.57,5357,77,"ScoringAverageActual",2011
6,6,"Matt Kuchar",94,69.6,6125,88,"ScoringAverageActual",2011
7,7,"Charles Howell III",108,69.85,7544,108,"ScoringAverageActual",2011
8,8,"Jason Day",76,69.86,5100,73,"ScoringAverageActual",2011
9,9,"Brandt Snedeker",85,69.94,5945,85,"ScoringAverageActual",2011
10,10,"Hunter Mahan",92,69.98,6228,89,"ScoringAverageActual",2011
11,11,"Spencer Levin",113,70,7910,113,"ScoringAverageActual",2011
12,12,"Zach Johnson",79,70.08,5466,78,"ScoringAverageActual",2011
13,13,"Bill Haas",93,70.11,6450,92,"ScoringAverageActual",2011
13,13,"John Merrick",71,70.11,4978,71,"ScoringAverageActual",2011
13,13,"Gary Woodland",93,70.11,6520,93,"ScoringAverageActual",2011
16,16,"Freddie Jacobson",92,70.16,6455,92,"ScoringAverageActual",2011
17,17,"Martin Laird",77,70.17,5333,76,"ScoringAverageActual",2011
17,17,"Bryce Molder",82,70.17,5754,82,"ScoringAverageActual",2011
19,19,"Chris Couch",73,70.18,5123,73,"ScoringAverageActual",2011
20,20,"Brendon de Jonge",105,70.19,7370,105,"ScoringAverageActual",2011
21,21,"Phil Mickelson",79,70.21,5406,77,"ScoringAverageActual",2011
22,22,"Aaron Baddeley",77,70.22,5407,77,"ScoringAverageActual",2011
23,23,"Sergio Garcia",61,70.23,4284,61,"ScoringAverageActual",2011
24,24,"Jerry Kelly",85,70.24,5970,85,"ScoringAverageActual",2011
24,24,"Adam Scott",60,70.24,4144,59,"ScoringAverageActual",2011
26,26,"Carl Pettersson",95,70.25,6674,95,"ScoringAverageActual",2011
27,27,"John Senden",94,70.28,6606,94,"ScoringAverageActual",2011
28,28,"Chris Kirk",87,70.29,6115,87,"ScoringAverageActual",2011
29,29,"Bo Van Pelt",92,70.3,6327,90,"ScoringAverageActual",2011
