"ScoringAverage_RANKTHISWEEK_2009","ScoringAverage_RANKLASTWEEK_2009","ScoringAverage_PLAYERNAME_2009","ScoringAverage_ROUNDS_2009","ScoringAverage_AVG_2009","ScoringAverage_TOTALSTROKES_2009","ScoringAverage_TOTALADJUSTMENT_2009","ScoringAverage_TOTALROUNDS_2009","stat_name","year"
1,1,"Tiger Woods",64,68.052,4268,NA,62,"ScoringAverage",2009
2,2,"Steve Stricker",81,69.286,5491,NA,79,"ScoringAverage",2009
3,3,"Jim Furyk",86,69.477,5812,NA,83,"ScoringAverage",2009
4,4,"Zach Johnson",94,69.601,6423,NA,92,"ScoringAverage",2009
5,5,"Tim Clark",81,69.658,5435,NA,78,"ScoringAverage",2009
6,6,"Hunter Mahan",94,69.691,6450,NA,92,"ScoringAverage",2009
7,7,"David Toms",98,69.73,6836,NA,98,"ScoringAverage",2009
8,8,"Kenny Perry",92,69.789,6383,NA,91,"ScoringAverage",2009
9,9,"Steve Marino",98,69.903,6869,NA,98,"ScoringAverage",2009
10,10,"Sean OHair",80,69.947,5354,NA,76,"ScoringAverage",2009
11,11,"Retief Goosen",74,69.961,5162,NA,73,"ScoringAverage",2009
12,12,"Lucas Glover",93,69.97,6542,NA,93,"ScoringAverage",2009
13,13,"Luke Donald",79,70.012,5356,NA,76,"ScoringAverage",2009
14,14,"Scott Verplank",88,70.037,6159,4.29,88,"ScoringAverage",2009
15,15,"Sergio Garcia",59,70.056,4096,NA,58,"ScoringAverage",2009
16,16,"John Senden",100,70.057,7018,NA,100,"ScoringAverage",2009
17,17,"Robert Allenby",71,70.067,4957,NA,70,"ScoringAverage",2009
18,18,"Nick Watney",86,70.071,6053,NA,86,"ScoringAverage",2009
19,19,"Justin Leonard",95,70.094,6362,16.583,91,"ScoringAverage",2009
20,20,"Ian Poulter",59,70.101,3967,NA,56,"ScoringAverage",2009
21,21,"Matt Kuchar",82,70.112,5748,1.222,82,"ScoringAverage",2009
22,22,"Jerry Kelly",90,70.119,6301,9.748,90,"ScoringAverage",2009
23,23,"Kevin Na",91,70.128,6389,NA,91,"ScoringAverage",2009
24,24,"Jason Day",61,70.132,4275,3.069,61,"ScoringAverage",2009
25,25,"Angel Cabrera",55,70.175,3842,NA,54,"ScoringAverage",2009
26,26,"Bryce Molder",69,70.208,4838,6.336,69,"ScoringAverage",2009
27,27,"Ernie Els",70,70.212,4670,NA,66,"ScoringAverage",2009
28,28,"Phil Mickelson",66,70.218,4462,NA,63,"ScoringAverage",2009
29,29,"George McNeill",82,70.228,5774,NA,82,"ScoringAverage",2009
29,29,"Mike Weir",85,70.228,5915,NA,84,"ScoringAverage",2009
31,31,"Padraig Harrington",66,70.229,4618,NA,65,"ScoringAverage",2009
32,32,"Stephen Ames",77,70.248,5264,4.598,75,"ScoringAverage",2009
33,33,"Camilo Villegas",76,70.29,5170,NA,73,"ScoringAverage",2009
34,34,"Jason Dufner",90,70.307,6343,NA,90,"ScoringAverage",2009
35,35,"Mark Wilson",99,70.313,6951,10.025,99,"ScoringAverage",2009
36,36,"Geoff Ogilvy",78,70.316,5089,NA,72,"ScoringAverage",2009
37,37,"Bo Van Pelt",100,70.357,7012,23.705,100,"ScoringAverage",2009
38,38,"JJ Henry",97,70.362,6833,NA,97,"ScoringAverage",2009
39,39,"Ben Crane",93,70.376,6542,3.011,93,"ScoringAverage",2009
40,40,"Justin Rose",71,70.389,4955,NA,70,"ScoringAverage",2009
41,41,"Brian Gay",96,70.4,6753,5.381,96,"ScoringAverage",2009
42,42,"Dustin Johnson",85,70.414,5920,NA,84,"ScoringAverage",2009
43,43,"Boo Weekley",79,70.427,5458,NA,77,"ScoringAverage",2009
44,44,"Nick OHern",90,70.429,6335,3.591,90,"ScoringAverage",2009
45,45,"Chad Campbell",90,70.43,6328,10.671,90,"ScoringAverage",2009
46,46,"Charley Hoffman",97,70.438,6821,11.5,97,"ScoringAverage",2009
47,47,"Charles Howell III",99,70.459,6991,NA,99,"ScoringAverage",2009
48,48,"YE Yang",83,70.46,5870,NA,83,"ScoringAverage",2009
49,49,"Stewart Cink",79,70.465,5190,NA,73,"ScoringAverage",2009
50,50,"Brandt Snedeker",81,70.474,5716,NA,81,"ScoringAverage",2009
51,51,"Greg Chalmers",85,70.507,5949,44.061,85,"ScoringAverage",2009
51,51,"Anthony Kim",76,70.507,5226,NA,74,"ScoringAverage",2009
53,53,"Woody Austin",84,70.527,5937,NA,84,"ScoringAverage",2009
54,54,"Bill Haas",91,70.53,6403,15.235,91,"ScoringAverage",2009
55,55,"Chris Riley",77,70.535,5400,31.193,77,"ScoringAverage",2009
56,56,"Harrison Frazar",93,70.538,6528,32.011,93,"ScoringAverage",2009
57,57,"Rory Sabbatini",81,70.544,5649,NA,80,"ScoringAverage",2009
58,58,"Davis Love III",89,70.55,6150,NA,87,"ScoringAverage",2009
59,59,"Kevin Sutherland",96,70.561,6717,NA,95,"ScoringAverage",2009
60,60,"Bob Estes",78,70.568,5498,6.301,78,"ScoringAverage",2009
61,61,"Marc Leishman",91,70.587,6425,NA,91,"ScoringAverage",2009
62,62,"Kevin Streelman",97,70.591,6839,8.311,97,"ScoringAverage",2009
63,63,"Ryan Moore",89,70.598,6271,12.2,89,"ScoringAverage",2009
64,64,"Rod Pampling",72,70.607,5030,NA,71,"ScoringAverage",2009
65,65,"Bubba Watson",73,70.61,5170,NA,73,"ScoringAverage",2009
66,66,"Heath Slocum",95,70.612,6700,8.128,95,"ScoringAverage",2009
67,67,"Freddie Jacobson",83,70.617,5864,NA,83,"ScoringAverage",2009
68,68,"Bill Lunde",83,70.623,5846,15.707,83,"ScoringAverage",2009
69,69,"James Nitties",86,70.637,6078,NA,86,"ScoringAverage",2009
70,70,"Briny Baird",89,70.641,6267,20.071,89,"ScoringAverage",2009
