"ProximitytoHolefromRough_RANKTHISWEEK_2012","ProximitytoHolefromRough_RANKLASTWEEK_2012","ProximitytoHolefromRough_PLAYERNAME_2012","ProximitytoHolefromRough_ROUNDS_2012","ProximitytoHolefromRough_AVGDTP_2012","ProximitytoHolefromRough_TOTALDISTANCEFEET_2012","ProximitytoHolefromRough_OFSHOTS_2012","ProximitytoHolefromRough_SCRAMBLINGRANK_2012","stat_name","year"
1,1,"David Toms",60,NA,664.75,104,13,"ProximitytoHolefromRough",2012
2,2,"Stephen Ames",54,NA,690.5,104,112,"ProximitytoHolefromRough",2012
3,3,"Luke Donald",63,NA,693.917,102,5,"ProximitytoHolefromRough",2012
3,3,"Jason Dufner",83,NA,981.25,144,8,"ProximitytoHolefromRough",2012
3,3,"Rickie Fowler",84,NA,1367.167,200,106,"ProximitytoHolefromRough",2012
3,3,"Tom Pernice Jr",62,NA,934.917,137,117,"ProximitytoHolefromRough",2012
3,3,"Brandt Snedeker",81,NA,1316.917,192,10,"ProximitytoHolefromRough",2012
8,8,"Bud Cauley",99,NA,1757.333,255,8,"ProximitytoHolefromRough",2012
8,8,"Gavin Coles",72,NA,874.25,126,38,"ProximitytoHolefromRough",2012
8,8,"Jerry Kelly",84,NA,1159.833,168,41,"ProximitytoHolefromRough",2012
11,11,"Jonas Blixt",72,NA,1187.583,168,16,"ProximitytoHolefromRough",2012
11,11,"Brandt Jobe",57,NA,727.333,103,157,"ProximitytoHolefromRough",2012
11,11,"Nick OHern",78,NA,1064.5,151,62,"ProximitytoHolefromRough",2012
14,14,"Charles Howell III",98,NA,1376.583,192,118,"ProximitytoHolefromRough",2012
14,14,"Freddie Jacobson",61,NA,763.417,106,92,"ProximitytoHolefromRough",2012
14,14,"JJ Killeen",101,NA,1659.583,231,28,"ProximitytoHolefromRough",2012
17,17,"Jason Day",57,NA,946.667,130,19,"ProximitytoHolefromRough",2012
17,17,"Brian Harman",101,NA,1518,210,49,"ProximitytoHolefromRough",2012
17,17,"Trevor Immelman",76,NA,1054.25,145,109,"ProximitytoHolefromRough",2012
17,17,"Andres Romero",68,NA,1192.917,164,124,"ProximitytoHolefromRough",2012
17,17,"Chris Stroud",86,NA,1414.25,194,18,"ProximitytoHolefromRough",2012
22,22,"Hunter Haas",69,NA,924.583,126,142,"ProximitytoHolefromRough",2012
22,22,"Charlie Wi",86,NA,1726.167,235,45,"ProximitytoHolefromRough",2012
24,24,"Padraig Harrington",67,NA,1027.5,139,39,"ProximitytoHolefromRough",2012
24,24,"Dustin Johnson",70,NA,1299.917,176,32,"ProximitytoHolefromRough",2012
24,24,"Matt Kuchar",86,NA,1296,174,7,"ProximitytoHolefromRough",2012
24,24,"Danny Lee",74,NA,1044.667,141,108,"ProximitytoHolefromRough",2012
24,24,"Jeff Overton",101,NA,1830.833,246,42,"ProximitytoHolefromRough",2012
29,29,"Justin Leonard",79,NA,1075.417,143,44,"ProximitytoHolefromRough",2012
29,29,"Justin Rose",69,NA,1026.833,137,12,"ProximitytoHolefromRough",2012
