"TenthTeeLateScoringAverage_RANKTHISWEEK_2011","TenthTeeLateScoringAverage_RANKLASTWEEK_2011","TenthTeeLateScoringAverage_PLAYERNAME_2011","TenthTeeLateScoringAverage_ROUNDS_2011","TenthTeeLateScoringAverage_AVG_2011","TenthTeeLateScoringAverage_TOTALSTROKES_2011","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2011","stat_name","year"
1,1,"David Toms",78,68.67,412,6,"TenthTeeLateScoringAverage",2011
2,2,"Nick Watney",80,68.71,481,7,"TenthTeeLateScoringAverage",2011
3,3,"JB Holmes",57,68.73,756,11,"TenthTeeLateScoringAverage",2011
4,4,"Bill Haas",93,68.82,757,11,"TenthTeeLateScoringAverage",2011
5,5,"Chris Couch",73,69,483,7,"TenthTeeLateScoringAverage",2011
5,5,"Luke Donald",73,69,138,2,"TenthTeeLateScoringAverage",2011
7,7,"Martin Laird",77,69.07,967,14,"TenthTeeLateScoringAverage",2011
8,8,"Webb Simpson",98,69.1,691,10,"TenthTeeLateScoringAverage",2011
9,9,"Hunter Mahan",92,69.11,622,9,"TenthTeeLateScoringAverage",2011
10,10,"Aaron Baddeley",77,69.18,761,11,"TenthTeeLateScoringAverage",2011
11,11,"Rickie Fowler",84,69.2,692,10,"TenthTeeLateScoringAverage",2011
12,12,"Jerry Kelly",85,69.37,1318,19,"TenthTeeLateScoringAverage",2011
13,13,"Jimmy Walker",79,69.4,1041,15,"TenthTeeLateScoringAverage",2011
14,14,"Steve Stricker",70,69.43,486,7,"TenthTeeLateScoringAverage",2011
15,15,"Paul Stankowski",78,69.54,904,13,"TenthTeeLateScoringAverage",2011
16,16,"Matt Kuchar",94,69.57,487,7,"TenthTeeLateScoringAverage",2011
17,17,"Charles Howell III",108,69.58,1322,19,"TenthTeeLateScoringAverage",2011
18,18,"Aron Price",58,69.6,696,10,"TenthTeeLateScoringAverage",2011
19,19,"David Hearn",88,69.63,557,8,"TenthTeeLateScoringAverage",2011
20,20,"Jason Dufner",78,69.67,1045,15,"TenthTeeLateScoringAverage",2011
21,21,"Boo Weekley",66,69.77,907,13,"TenthTeeLateScoringAverage",2011
22,22,"Steve Elkington",50,69.78,628,9,"TenthTeeLateScoringAverage",2011
22,22,"Ian Poulter",52,69.78,628,9,"TenthTeeLateScoringAverage",2011
22,22,"Charl Schwartzel",58,69.78,628,9,"TenthTeeLateScoringAverage",2011
25,25,"Mark Wilson",89,69.8,1047,15,"TenthTeeLateScoringAverage",2011
26,26,"Michael Putnam",67,69.85,908,13,"TenthTeeLateScoringAverage",2011
27,27,"Ben Crane",76,69.93,1049,15,"TenthTeeLateScoringAverage",2011
28,28,"Kris Blanks",92,69.94,1119,16,"TenthTeeLateScoringAverage",2011
29,29,"Geoff Ogilvy",69,70,630,9,"TenthTeeLateScoringAverage",2011
29,29,"Camilo Villegas",69,70,560,8,"TenthTeeLateScoringAverage",2011
29,29,"Gary Woodland",93,70,560,8,"TenthTeeLateScoringAverage",2011
