"SubParRounds_RANKTHISWEEK_2016","SubParRounds_RANKLASTWEEK_2016","SubParRounds_PLAYERNAME_2016","SubParRounds_EVENTS_2016","stat_name","year"
1,1,"Charles Howell III",17,"SubParRounds",2016
2,2,"Jamie Lovemark",17,"SubParRounds",2016
3,10,"Roberto Castro",16,"SubParRounds",2016
3,6,"Mark Hubbard",20,"SubParRounds",2016
3,3,"Si Woo Kim",19,"SubParRounds",2016
6,18,"Lucas Glover",16,"SubParRounds",2016
6,8,"Brian Harman",18,"SubParRounds",2016
6,3,"Smylie Kaufman",16,"SubParRounds",2016
6,3,"Chez Reavie",16,"SubParRounds",2016
10,10,"William McGirt",15,"SubParRounds",2016
10,6,"Nick Taylor",17,"SubParRounds",2016
12,8,"Aaron Baddeley",15,"SubParRounds",2016
12,10,"Michael Kim",18,"SubParRounds",2016
14,18,"Ricky Barnes",18,"SubParRounds",2016
14,10,"Chad Campbell",18,"SubParRounds",2016
14,10,"Jon Curran",18,"SubParRounds",2016
14,10,"Freddie Jacobson",16,"SubParRounds",2016
14,18,"Patton Kizzire",16,"SubParRounds",2016
14,10,"Spencer Levin",19,"SubParRounds",2016
14,10,"Kyle Reifers",19,"SubParRounds",2016
14,18,"Harold Varner III",18,"SubParRounds",2016
22,22,"Scott Brown",17,"SubParRounds",2016
22,26,"Kevin Chappell",14,"SubParRounds",2016
22,22,"KJ Choi",14,"SubParRounds",2016
22,39,"Rickie Fowler",12,"SubParRounds",2016
22,26,"Colt Knost",15,"SubParRounds",2016
22,34,"Martin Laird",13,"SubParRounds",2016
22,22,"Seung Yul Noh",17,"SubParRounds",2016
22,39,"Daniel Summerhays",15,"SubParRounds",2016
22,22,"Tyrone Van Aswegen",20,"SubParRounds",2016
22,26,"Jhonattan Vegas",14,"SubParRounds",2016
32,26,"Zac Blair",18,"SubParRounds",2016
32,39,"Tony Finau",15,"SubParRounds",2016
32,34,"Adam Hadwin",16,"SubParRounds",2016
32,26,"David Hearn",18,"SubParRounds",2016
32,26,"Jason Kokrak",17,"SubParRounds",2016
32,26,"Ben Martin",14,"SubParRounds",2016
32,26,"Patrick Rodgers",16,"SubParRounds",2016
39,47,"Daniel Berger",15,"SubParRounds",2016
39,39,"Alex Cejka",15,"SubParRounds",2016
39,39,"Ben Crane",17,"SubParRounds",2016
39,58,"Harris English",15,"SubParRounds",2016
39,34,"Jim Herman",17,"SubParRounds",2016
39,34,"John Huh",16,"SubParRounds",2016
39,34,"Russell Knox",14,"SubParRounds",2016
39,58,"Sean OHair",14,"SubParRounds",2016
39,47,"Patrick Reed",14,"SubParRounds",2016
39,47,"Tim Wilkinson",11,"SubParRounds",2016
49,58,"Graham DeLaet",14,"SubParRounds",2016
49,39,"Marc Leishman",12,"SubParRounds",2016
49,47,"Luke List",17,"SubParRounds",2016
49,69,"Hideki Matsuyama",12,"SubParRounds",2016
49,58,"Brendan Steele",14,"SubParRounds",2016
49,47,"Kevin Streelman",15,"SubParRounds",2016
49,39,"Hudson Swafford",17,"SubParRounds",2016
49,39,"Justin Thomas",15,"SubParRounds",2016
57,47,"Tyler Aldridge",18,"SubParRounds",2016
57,47,"Stewart Cink",14,"SubParRounds",2016
57,69,"Danny Lee",16,"SubParRounds",2016
57,47,"Peter Malnati",19,"SubParRounds",2016
57,47,"Bryce Molder",16,"SubParRounds",2016
57,47,"Kevin Na",14,"SubParRounds",2016
57,58,"Greg Owen",18,"SubParRounds",2016
57,47,"Brett Stegmaier",19,"SubParRounds",2016
65,69,"Jonas Blixt",16,"SubParRounds",2016
65,58,"Brendon de Jonge",19,"SubParRounds",2016
65,69,"Luke Donald",13,"SubParRounds",2016
65,58,"Derek Fathauer",18,"SubParRounds",2016
65,86,"Fabian Gomez",15,"SubParRounds",2016
65,58,"Sung Kang",16,"SubParRounds",2016
65,58,"Jerry Kelly",12,"SubParRounds",2016
65,58,"Chris Kirk",15,"SubParRounds",2016
65,58,"Brandt Snedeker",14,"SubParRounds",2016
65,69,"Cameron Tringale",14,"SubParRounds",2016
65,80,"Dawie van der Walt",16,"SubParRounds",2016
76,69,"Bronson Burgoon",17,"SubParRounds",2016
76,69,"Jason Dufner",15,"SubParRounds",2016
76,86,"Emiliano Grillo",13,"SubParRounds",2016
76,69,"Charley Hoffman",14,"SubParRounds",2016
76,69,"Dustin Johnson",9,"SubParRounds",2016
76,98,"David Lingmerth",15,"SubParRounds",2016
76,98,"Andrew Loupe",16,"SubParRounds",2016
76,86,"Jeff Overton",17,"SubParRounds",2016
76,69,"Scott Piercy",12,"SubParRounds",2016
76,69,"Michael Thompson",14,"SubParRounds",2016
76,80,"Boo Weekley",17,"SubParRounds",2016
87,98,"Paul Casey",11,"SubParRounds",2016
87,80,"Zach Johnson",12,"SubParRounds",2016
87,80,"Matt Kuchar",12,"SubParRounds",2016
87,86,"Anirban Lahiri",13,"SubParRounds",2016
87,80,"Scott Pinckney",18,"SubParRounds",2016
87,98,"Adam Scott",10,"SubParRounds",2016
87,98,"Robert Streb",16,"SubParRounds",2016
87,86,"Chris Stroud",17,"SubParRounds",2016
87,98,"Camilo Villegas",16,"SubParRounds",2016
