"CurrentStreakwithouta3Putt_RANKTHISWEEK_2009","CurrentStreakwithouta3Putt_RANKLASTWEEK_2009","CurrentStreakwithouta3Putt_PLAYERNAME_2009","CurrentStreakwithouta3Putt_EVENTS_2009","CurrentStreakwithouta3Putt_VALUE_2009","stat_name","year"
1,1,"Patrick Sheehan",15,166,"CurrentStreakwithouta3Putt",2009
2,2,"Aaron Baddeley",23,134,"CurrentStreakwithouta3Putt",2009
3,3,"Carl Pettersson",29,117,"CurrentStreakwithouta3Putt",2009
4,4,"Ryuji Imada",25,115,"CurrentStreakwithouta3Putt",2009
5,5,"Hunter Mahan",25,111,"CurrentStreakwithouta3Putt",2009
6,6,"Ernie Els",19,102,"CurrentStreakwithouta3Putt",2009
7,7,"Steve Flesch",27,101,"CurrentStreakwithouta3Putt",2009
7,7,"Bill Lunde",27,101,"CurrentStreakwithouta3Putt",2009
9,9,"Chris Stroud",28,99,"CurrentStreakwithouta3Putt",2009
10,10,"Spencer Levin",25,98,"CurrentStreakwithouta3Putt",2009
11,11,"JJ Henry",28,90,"CurrentStreakwithouta3Putt",2009
12,12,"Pat Perez",22,87,"CurrentStreakwithouta3Putt",2009
13,13,"YE Yang",23,85,"CurrentStreakwithouta3Putt",2009
14,14,"Stuart Appleby",25,84,"CurrentStreakwithouta3Putt",2009
15,15,"Greg Owen",30,83,"CurrentStreakwithouta3Putt",2009
15,15,"Kevin Stadler",20,83,"CurrentStreakwithouta3Putt",2009
17,17,"Bryce Molder",21,81,"CurrentStreakwithouta3Putt",2009
18,18,"Matt Jones",17,80,"CurrentStreakwithouta3Putt",2009
19,19,"Luke Donald",21,78,"CurrentStreakwithouta3Putt",2009
20,20,"Mike Weir",24,77,"CurrentStreakwithouta3Putt",2009
21,21,"Kevin Na",26,76,"CurrentStreakwithouta3Putt",2009
22,22,"Bart Bryant",17,73,"CurrentStreakwithouta3Putt",2009
22,22,"Ben Crane",27,73,"CurrentStreakwithouta3Putt",2009
22,22,"Steve Elkington",23,73,"CurrentStreakwithouta3Putt",2009
22,22,"Ryan Palmer",26,73,"CurrentStreakwithouta3Putt",2009
26,26,"Chris DiMarco",29,72,"CurrentStreakwithouta3Putt",2009
26,26,"George McNeill",26,72,"CurrentStreakwithouta3Putt",2009
28,28,"Scott McCarron",27,69,"CurrentStreakwithouta3Putt",2009
29,29,"Jerry Kelly",26,68,"CurrentStreakwithouta3Putt",2009
29,29,"James Nitties",27,68,"CurrentStreakwithouta3Putt",2009
31,31,"Tommy Armour III",19,63,"CurrentStreakwithouta3Putt",2009
31,31,"Parker McLachlin",25,63,"CurrentStreakwithouta3Putt",2009
31,31,"Jeff Overton",28,63,"CurrentStreakwithouta3Putt",2009
31,31,"Dean Wilson",29,63,"CurrentStreakwithouta3Putt",2009
35,35,"Anthony Kim",22,61,"CurrentStreakwithouta3Putt",2009
36,36,"Stewart Cink",22,59,"CurrentStreakwithouta3Putt",2009
37,37,"Phil Mickelson",18,57,"CurrentStreakwithouta3Putt",2009
38,38,"Charley Hoffman",27,56,"CurrentStreakwithouta3Putt",2009
