"CareerEarnings_RANKTHISWEEK_2011","CareerEarnings_RANKLASTWEEK_2011","CareerEarnings_PLAYERNAME_2011","CareerEarnings__2011","CareerEarnings_MONEY_2011","stat_name","year"
1,1,"Tiger Woods",NA,94817542,"CareerEarnings",2011
2,2,"Vijay Singh",NA,65691439,"CareerEarnings",2011
3,3,"Phil Mickelson",NA,63440877,"CareerEarnings",2011
4,4,"Jim Furyk",NA,49095654,"CareerEarnings",2011
5,5,"Ernie Els",NA,41318291,"CareerEarnings",2011
6,6,"Davis Love III",NA,41218723,"CareerEarnings",2011
7,7,"David Toms",NA,37207350,"CareerEarnings",2011
8,8,"Kenny Perry",NA,31720992,"CareerEarnings",2011
9,9,"Steve Stricker",NA,31659540,"CareerEarnings",2011
10,10,"Justin Leonard",NA,31321245,"CareerEarnings",2011
11,11,"Stewart Cink",NA,30359822,"CareerEarnings",2011
12,12,"Sergio Garcia",NA,28072459,"CareerEarnings",2011
13,13,"Scott Verplank",NA,27369774,"CareerEarnings",2011
14,14,"Retief Goosen",NA,26954468,"CareerEarnings",2011
15,15,"Mike Weir",NA,26821949,"CareerEarnings",2011
16,16,"KJ Choi",NA,26404797,"CareerEarnings",2011
17,17,"Stuart Appleby",NA,26380298,"CareerEarnings",2011
18,18,"Robert Allenby",NA,25599894,"CareerEarnings",2011
19,19,"Adam Scott",NA,25406897,"CareerEarnings",2011
20,20,"Luke Donald",NA,25348410,"CareerEarnings",2011
21,21,"Geoff Ogilvy",NA,24482934,"CareerEarnings",2011
22,22,"Rory Sabbatini",NA,24336018,"CareerEarnings",2011
23,23,"Mark Calcavecchia",NA,24023484,"CareerEarnings",2011
24,24,"Jerry Kelly",NA,23199462,"CareerEarnings",2011
25,25,"Charles Howell III",NA,22464003,"CareerEarnings",2011
26,26,"Fred Couples",NA,22087938,"CareerEarnings",2011
27,27,"Chris DiMarco",NA,22006220,"CareerEarnings",2011
28,28,"Zach Johnson",NA,21773048,"CareerEarnings",2011
29,29,"Tom Lehman",NA,21428810,"CareerEarnings",2011
30,30,"Fred Funk",NA,21052458,"CareerEarnings",2011
31,31,"Nick Price",NA,20576104,"CareerEarnings",2011
32,32,"Chad Campbell",NA,20386018,"CareerEarnings",2011
33,33,"Padraig Harrington",NA,20099542,"CareerEarnings",2011
34,34,"Bob Estes",NA,19600692,"CareerEarnings",2011
35,35,"Billy Mayfair",NA,19468273,"CareerEarnings",2011
36,36,"Stephen Ames",NA,19186730,"CareerEarnings",2011
37,37,"David Duval",NA,18813237,"CareerEarnings",2011
38,38,"Scott Hoch",NA,18530156,"CareerEarnings",2011
39,39,"Jeff Sluman",NA,18165266,"CareerEarnings",2011
40,40,"Steve Flesch",NA,18030350,"CareerEarnings",2011
41,41,"Tim Clark",NA,17974497,"CareerEarnings",2011
42,42,"Brad Faxon",NA,17769249,"CareerEarnings",2011
43,43,"Hunter Mahan",NA,17703700,"CareerEarnings",2011
44,44,"Tim Herron",NA,17605861,"CareerEarnings",2011
45,45,"Jeff Maggert",NA,17299336,"CareerEarnings",2011
46,46,"Matt Kuchar",NA,16896154,"CareerEarnings",2011
47,47,"Justin Rose",NA,16840687,"CareerEarnings",2011
48,48,"Rocco Mediate",NA,16550263,"CareerEarnings",2011
49,49,"Corey Pavin",NA,15962250,"CareerEarnings",2011
50,50,"Bob Tway",NA,15785815,"CareerEarnings",2011
51,51,"Nick Watney",NA,15688051,"CareerEarnings",2011
52,52,"Lee Janzen",NA,15649122,"CareerEarnings",2011
53,53,"Carl Pettersson",NA,15601866,"CareerEarnings",2011
54,54,"Woody Austin",NA,15568262,"CareerEarnings",2011
55,55,"Sean OHair",NA,15543433,"CareerEarnings",2011
56,56,"Steve Elkington",NA,15505418,"CareerEarnings",2011
57,57,"Kevin Sutherland",NA,15412187,"CareerEarnings",2011
58,58,"Ben Crane",NA,15278462,"CareerEarnings",2011
59,59,"Hal Sutton",NA,15267685,"CareerEarnings",2011
60,60,"Jesper Parnevik",NA,15254801,"CareerEarnings",2011
61,61,"John Rollins",NA,15155080,"CareerEarnings",2011
62,62,"Loren Roberts",NA,15154767,"CareerEarnings",2011
63,63,"Steve Lowery",NA,15114746,"CareerEarnings",2011
64,64,"John Huston",NA,14967146,"CareerEarnings",2011
65,65,"Lucas Glover",NA,14907873,"CareerEarnings",2011
66,66,"Jonathan Byrd",NA,14868549,"CareerEarnings",2011
67,67,"Bo Van Pelt",NA,14848528,"CareerEarnings",2011
68,68,"Brian Gay",NA,14803323,"CareerEarnings",2011
69,69,"Tom Pernice Jr",NA,14760687,"CareerEarnings",2011
70,70,"Heath Slocum",NA,14606562,"CareerEarnings",2011
71,71,"Greg Norman",NA,14484458,"CareerEarnings",2011
72,72,"Paul Azinger",NA,14467496,"CareerEarnings",2011
73,73,"Jay Haas",NA,14440317,"CareerEarnings",2011
74,74,"Camilo Villegas",NA,14358419,"CareerEarnings",2011
75,75,"Mark OMeara",NA,14169805,"CareerEarnings",2011
76,76,"Aaron Baddeley",NA,14098158,"CareerEarnings",2011
77,77,"Kirk Triplett",NA,14089515,"CareerEarnings",2011
78,78,"Shigeki Maruyama",NA,13809170,"CareerEarnings",2011
79,79,"Dustin Johnson",NA,13550879,"CareerEarnings",2011
