"AverageDistanceafterGoingforitShot_RANKTHISWEEK_2014","AverageDistanceafterGoingforitShot_RANKLASTWEEK_2014","AverageDistanceafterGoingforitShot_PLAYERNAME_2014","AverageDistanceafterGoingforitShot_ROUNDS_2014","AverageDistanceafterGoingforitShot_AVG_2014","AverageDistanceafterGoingforitShot_TOTALDISTAFTERGFGSHOT_2014","AverageDistanceafterGoingforitShot_TOTALGFGSHOTS_2014","stat_name","year"
1,1,"Paul Casey",56,19,49202,72,"AverageDistanceafterGoingforitShot",2014
1,1,"Hideki Matsuyama",82,19,86813,127,"AverageDistanceafterGoingforitShot",2014
3,3,"Martin Laird",66,20,87769,122,"AverageDistanceafterGoingforitShot",2014
4,4,"Charlie Beljan",76,20.1,89721,124,"AverageDistanceafterGoingforitShot",2014
4,4,"Ryan Moore",86,20.1,84543,117,"AverageDistanceafterGoingforitShot",2014
6,6,"Brad Fritsch",50,20.3,48956,67,"AverageDistanceafterGoingforitShot",2014
7,7,"Lucas Glover",68,20.4,72818,99,"AverageDistanceafterGoingforitShot",2014
8,8,"Jason Day",54,20.6,49721,67,"AverageDistanceafterGoingforitShot",2014
8,8,"Johnson Wagner",69,20.6,64611,87,"AverageDistanceafterGoingforitShot",2014
10,10,"Tyrone Van Aswegen",79,20.8,65823,88,"AverageDistanceafterGoingforitShot",2014
11,11,"Jason Dufner",57,20.9,56557,75,"AverageDistanceafterGoingforitShot",2014
11,11,"Brendan Steele",89,20.9,103853,138,"AverageDistanceafterGoingforitShot",2014
13,13,"Dustin Johnson",58,21,80285,106,"AverageDistanceafterGoingforitShot",2014
14,14,"Kevin Tway",64,21.3,66015,86,"AverageDistanceafterGoingforitShot",2014
15,15,"Jonas Blixt",64,21.4,51707,67,"AverageDistanceafterGoingforitShot",2014
15,15,"Rory McIlroy",66,21.4,106524,138,"AverageDistanceafterGoingforitShot",2014
15,15,"Sean OHair",77,21.4,103913,135,"AverageDistanceafterGoingforitShot",2014
18,18,"Will Wilcox",51,21.5,65107,84,"AverageDistanceafterGoingforitShot",2014
19,19,"Russell Knox",92,21.8,88795,113,"AverageDistanceafterGoingforitShot",2014
20,20,"Keegan Bradley",89,21.9,113713,144,"AverageDistanceafterGoingforitShot",2014
21,21,"Justin Hicks",103,22,99682,126,"AverageDistanceafterGoingforitShot",2014
21,21,"Nicholas Thompson",85,22,87967,111,"AverageDistanceafterGoingforitShot",2014
23,23,"Jim Herman",62,22.1,71727,90,"AverageDistanceafterGoingforitShot",2014
23,23,"Martin Kaymer",65,22.1,87699,110,"AverageDistanceafterGoingforitShot",2014
25,25,"Robert Allenby",83,22.3,80152,100,"AverageDistanceafterGoingforitShot",2014
25,25,"Stewart Cink",91,22.3,94808,118,"AverageDistanceafterGoingforitShot",2014
27,27,"Kevin Chappell",100,22.4,128745,160,"AverageDistanceafterGoingforitShot",2014
27,27,"Bill Haas",107,22.4,123591,153,"AverageDistanceafterGoingforitShot",2014
27,27,"Zach Johnson",97,22.4,104625,130,"AverageDistanceafterGoingforitShot",2014
27,27,"Bubba Watson",76,22.4,111458,138,"AverageDistanceafterGoingforitShot",2014
31,31,"James Hahn",82,22.5,97814,121,"AverageDistanceafterGoingforitShot",2014
31,31,"Ben Martin",80,22.5,85062,105,"AverageDistanceafterGoingforitShot",2014
33,33,"James Driscoll",71,22.6,76478,94,"AverageDistanceafterGoingforitShot",2014
33,33,"Gonzalo Fdez Castano",83,22.6,95255,117,"AverageDistanceafterGoingforitShot",2014
33,33,"Wes Roach",67,22.6,71553,88,"AverageDistanceafterGoingforitShot",2014
33,33,"Bo Van Pelt",83,22.6,83913,103,"AverageDistanceafterGoingforitShot",2014
33,33,"Nick Watney",80,22.6,82279,101,"AverageDistanceafterGoingforitShot",2014
38,38,"Steven Bowditch",93,22.7,135733,166,"AverageDistanceafterGoingforitShot",2014
38,38,"Marc Leishman",81,22.7,116013,142,"AverageDistanceafterGoingforitShot",2014
38,38,"Kyle Stanley",87,22.7,129660,159,"AverageDistanceafterGoingforitShot",2014
41,41,"Ian Poulter",57,22.8,56721,69,"AverageDistanceafterGoingforitShot",2014
42,42,"Martin Flores",85,22.9,97906,119,"AverageDistanceafterGoingforitShot",2014
42,42,"Davis Love III",74,22.9,84837,103,"AverageDistanceafterGoingforitShot",2014
44,44,"Carl Pettersson",91,23,131846,159,"AverageDistanceafterGoingforitShot",2014
44,44,"Josh Teater",90,23,111070,134,"AverageDistanceafterGoingforitShot",2014
46,46,"Henrik Stenson",56,23.1,79097,95,"AverageDistanceafterGoingforitShot",2014
46,46,"Hudson Swafford",75,23.1,85635,103,"AverageDistanceafterGoingforitShot",2014
48,48,"Graham DeLaet",80,23.2,111106,133,"AverageDistanceafterGoingforitShot",2014
48,48,"Tommy Gainey",73,23.2,87644,105,"AverageDistanceafterGoingforitShot",2014
48,48,"Charley Hoffman",93,23.2,139356,167,"AverageDistanceafterGoingforitShot",2014
48,48,"Adam Scott",68,23.2,110865,133,"AverageDistanceafterGoingforitShot",2014
48,48,"Michael Thompson",74,23.2,82729,99,"AverageDistanceafterGoingforitShot",2014
53,53,"Angel Cabrera",69,23.3,109742,131,"AverageDistanceafterGoingforitShot",2014
53,53,"Chad Campbell",57,23.3,52741,63,"AverageDistanceafterGoingforitShot",2014
53,53,"Jim Furyk",84,23.3,62002,74,"AverageDistanceafterGoingforitShot",2014
53,53,"Robert Garrigus",80,23.3,148526,177,"AverageDistanceafterGoingforitShot",2014
53,53,"Charl Schwartzel",64,23.3,102477,122,"AverageDistanceafterGoingforitShot",2014
53,53,"Kevin Streelman",79,23.3,101495,121,"AverageDistanceafterGoingforitShot",2014
59,59,"Harris English",95,23.4,142404,169,"AverageDistanceafterGoingforitShot",2014
59,59,"Charles Howell III",106,23.4,162895,193,"AverageDistanceafterGoingforitShot",2014
59,59,"Brooks Koepka",56,23.4,74058,88,"AverageDistanceafterGoingforitShot",2014
59,59,"Andrew Svoboda",77,23.4,90087,107,"AverageDistanceafterGoingforitShot",2014
59,59,"Camilo Villegas",95,23.4,116314,138,"AverageDistanceafterGoingforitShot",2014
64,64,"Aaron Baddeley",74,23.5,94878,112,"AverageDistanceafterGoingforitShot",2014
64,64,"Ben Curtis",77,23.5,61692,73,"AverageDistanceafterGoingforitShot",2014
