"Total3Putts1520_RANKTHISWEEK_2011","Total3Putts1520_RANKLASTWEEK_2011","Total3Putts1520_PLAYERNAME_2011","Total3Putts1520_ROUNDS_2011","Total3Putts1520_TOTAL3PUTTS1520_2011","Total3Putts1520_TOTAL3PUTTS_2011","stat_name","year"
1,1,"Jason Dufner",78,6,38,"Total3Putts1520",2011
1,1,"Justin Hicks",60,6,50,"Total3Putts1520",2011
1,1,"Troy Matteson",91,6,44,"Total3Putts1520",2011
1,1,"Boo Weekley",66,6,61,"Total3Putts1520",2011
5,5,"Cameron Beckman",71,5,45,"Total3Putts1520",2011
5,5,"Matt Bettencourt",84,5,43,"Total3Putts1520",2011
5,5,"Joseph Bramlett",73,5,48,"Total3Putts1520",2011
5,5,"DJ Brigman",67,5,37,"Total3Putts1520",2011
5,5,"Fabian Gomez",84,5,43,"Total3Putts1520",2011
5,5,"Nathan Green",81,5,49,"Total3Putts1520",2011
5,5,"Zack Miller",86,5,61,"Total3Putts1520",2011
5,5,"Sean OHair",71,5,34,"Total3Putts1520",2011
5,5,"Will Strickler",51,5,36,"Total3Putts1520",2011
5,5,"Jimmy Walker",79,5,41,"Total3Putts1520",2011
15,15,"Chad Campbell",99,4,67,"Total3Putts1520",2011
15,15,"Kevin Chappell",78,4,38,"Total3Putts1520",2011
15,15,"Brendon de Jonge",105,4,34,"Total3Putts1520",2011
15,15,"Steve Flesch",88,4,36,"Total3Putts1520",2011
15,15,"Tommy Gainey",104,4,60,"Total3Putts1520",2011
15,15,"Paul Goydos",81,4,44,"Total3Putts1520",2011
15,15,"Marc Leishman",87,4,46,"Total3Putts1520",2011
15,15,"Justin Leonard",82,4,36,"Total3Putts1520",2011
15,15,"Jarrod Lyle",83,4,58,"Total3Putts1520",2011
15,15,"William McGirt",103,4,47,"Total3Putts1520",2011
15,15,"Phil Mickelson",79,4,34,"Total3Putts1520",2011
15,15,"Bryce Molder",82,4,24,"Total3Putts1520",2011
15,15,"Aron Price",58,4,27,"Total3Putts1520",2011
15,15,"Roland Thatcher",67,4,38,"Total3Putts1520",2011
15,15,"Michael Thompson",79,4,39,"Total3Putts1520",2011
30,30,"Stephen Ames",69,3,36,"Total3Putts1520",2011
30,30,"Arjun Atwal",91,3,45,"Total3Putts1520",2011
30,30,"Aaron Baddeley",77,3,27,"Total3Putts1520",2011
30,30,"Briny Baird",60,3,28,"Total3Putts1520",2011
30,30,"Rich Beem",53,3,30,"Total3Putts1520",2011
30,30,"Alex Cejka",59,3,30,"Total3Putts1520",2011
30,30,"Greg Chalmers",88,3,28,"Total3Putts1520",2011
30,30,"Ben Curtis",66,3,32,"Total3Putts1520",2011
30,30,"Brian Davis",105,3,45,"Total3Putts1520",2011
30,30,"Joe Durant",71,3,57,"Total3Putts1520",2011
30,30,"Robert Garrigus",83,3,48,"Total3Putts1520",2011
30,30,"Tom Gillis",55,3,43,"Total3Putts1520",2011
30,30,"Brandt Jobe",100,3,56,"Total3Putts1520",2011
30,30,"Kent Jones",76,3,43,"Total3Putts1520",2011
30,30,"Derek Lamely",65,3,45,"Total3Putts1520",2011
30,30,"Matt McQuillan",59,3,22,"Total3Putts1520",2011
30,30,"Shaun Micheel",77,3,42,"Total3Putts1520",2011
30,30,"Jeff Overton",92,3,35,"Total3Putts1520",2011
30,30,"Tim Petrovic",88,3,30,"Total3Putts1520",2011
30,30,"Martin Piller",63,3,30,"Total3Putts1520",2011
30,30,"Tag Ridings",87,3,32,"Total3Putts1520",2011
30,30,"Heath Slocum",89,3,33,"Total3Putts1520",2011
30,30,"Kevin Stadler",88,3,43,"Total3Putts1520",2011
30,30,"Chris Stroud",88,3,51,"Total3Putts1520",2011
30,30,"DJ Trahan",91,3,67,"Total3Putts1520",2011
30,30,"Camilo Villegas",69,3,34,"Total3Putts1520",2011
30,30,"Bubba Watson",85,3,35,"Total3Putts1520",2011
30,30,"Garrett Willis",71,3,38,"Total3Putts1520",2011
58,58,"Stuart Appleby",65,2,31,"Total3Putts1520",2011
58,58,"Kris Blanks",92,2,55,"Total3Putts1520",2011
58,58,"Steven Bowditch",86,2,48,"Total3Putts1520",2011
58,58,"Keegan Bradley",91,2,43,"Total3Putts1520",2011
58,58,"Angel Cabrera",50,2,21,"Total3Putts1520",2011
58,58,"Michael Connell",76,2,40,"Total3Putts1520",2011
