"TotalDrivingEfficiency_RANKTHISWEEK_2009","TotalDrivingEfficiency_RANKLASTWEEK_2009","TotalDrivingEfficiency_PLAYERNAME_2009","TotalDrivingEfficiency_ROUNDS_2009","TotalDrivingEfficiency_COMBINEDRANK_2009","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2009","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2009","stat_name","year"
1,1,"Vijay Singh",71,5,2,3,"TotalDrivingEfficiency",2009
1,1,"Darron Stiles",52,5,4,1,"TotalDrivingEfficiency",2009
3,3,"Anthony Kim",76,11,1,10,"TotalDrivingEfficiency",2009
4,4,"Webb Simpson",94,12,2,10,"TotalDrivingEfficiency",2009
5,5,"David Toms",98,24,17,7,"TotalDrivingEfficiency",2009
6,6,"Ryan Palmer",78,27,9,18,"TotalDrivingEfficiency",2009
7,7,"Mark Wilson",99,29,7,22,"TotalDrivingEfficiency",2009
8,8,"Joe Ogilvie",85,31,13,18,"TotalDrivingEfficiency",2009
9,9,"John Mallinger",90,32,18,14,"TotalDrivingEfficiency",2009
10,10,"Geoff Ogilvy",78,33,24,9,"TotalDrivingEfficiency",2009
11,11,"Kenny Perry",92,38,25,13,"TotalDrivingEfficiency",2009
12,12,"Steve Marino",98,40,6,34,"TotalDrivingEfficiency",2009
13,13,"Jeff Maggert",79,48,44,4,"TotalDrivingEfficiency",2009
13,13,"Parker McLachlin",71,48,41,7,"TotalDrivingEfficiency",2009
15,15,"KJ Choi",65,51,45,6,"TotalDrivingEfficiency",2009
15,15,"Kevin Sutherland",96,51,11,40,"TotalDrivingEfficiency",2009
17,17,"Jason Gore",74,55,33,22,"TotalDrivingEfficiency",2009
18,18,"Heath Slocum",95,56,40,16,"TotalDrivingEfficiency",2009
19,19,"Vaughn Taylor",88,57,14,43,"TotalDrivingEfficiency",2009
20,20,"Glen Day",79,58,25,33,"TotalDrivingEfficiency",2009
21,21,"Chez Reavie",81,60,58,2,"TotalDrivingEfficiency",2009
22,22,"Brian Davis",103,63,31,32,"TotalDrivingEfficiency",2009
22,22,"Peter Tomasulo",61,63,34,29,"TotalDrivingEfficiency",2009
24,24,"Robert Garrigus",83,64,9,55,"TotalDrivingEfficiency",2009
24,24,"Cliff Kresge",78,64,48,16,"TotalDrivingEfficiency",2009
26,26,"JB Holmes",74,65,5,60,"TotalDrivingEfficiency",2009
27,27,"Ernie Els",70,66,48,18,"TotalDrivingEfficiency",2009
28,28,"Aron Price",89,68,29,39,"TotalDrivingEfficiency",2009
29,29,"Brandt Snedeker",81,72,38,34,"TotalDrivingEfficiency",2009
30,30,"Hunter Mahan",94,76,58,18,"TotalDrivingEfficiency",2009
31,31,"DA Points",99,77,48,29,"TotalDrivingEfficiency",2009
32,32,"Camilo Villegas",76,78,54,24,"TotalDrivingEfficiency",2009
33,33,"Nick OHern",90,79,75,4,"TotalDrivingEfficiency",2009
34,34,"John Merrick",91,81,21,60,"TotalDrivingEfficiency",2009
35,35,"Carl Pettersson",86,82,70,12,"TotalDrivingEfficiency",2009
36,36,"Mathew Goggin",76,83,34,49,"TotalDrivingEfficiency",2009
36,36,"Ian Poulter",59,83,58,25,"TotalDrivingEfficiency",2009
38,38,"Andres Romero",58,89,16,73,"TotalDrivingEfficiency",2009
39,39,"Fred Couples",54,90,30,60,"TotalDrivingEfficiency",2009
40,40,"Dustin Johnson",85,93,12,81,"TotalDrivingEfficiency",2009
41,41,"Matt Bettencourt",98,95,45,50,"TotalDrivingEfficiency",2009
42,42,"Bo Van Pelt",100,98,32,66,"TotalDrivingEfficiency",2009
42,42,"Matt Weibring",65,98,27,71,"TotalDrivingEfficiency",2009
44,44,"Stewart Cink",79,100,54,46,"TotalDrivingEfficiency",2009
45,45,"Jason Bohn",88,101,48,53,"TotalDrivingEfficiency",2009
45,45,"Davis Love III",89,101,15,86,"TotalDrivingEfficiency",2009
47,47,"Bob Heintz",59,104,38,66,"TotalDrivingEfficiency",2009
47,47,"Kirk Triplett",60,104,70,34,"TotalDrivingEfficiency",2009
49,49,"Steve Elkington",70,107,57,50,"TotalDrivingEfficiency",2009
50,50,"Harrison Frazar",93,108,7,101,"TotalDrivingEfficiency",2009
50,50,"Martin Laird",72,108,19,89,"TotalDrivingEfficiency",2009
52,52,"Alex Cejka",82,110,70,40,"TotalDrivingEfficiency",2009
53,53,"Bill Lunde",83,116,58,58,"TotalDrivingEfficiency",2009
54,54,"Billy Mayfair",83,119,48,71,"TotalDrivingEfficiency",2009
55,55,"Zach Johnson",94,120,94,26,"TotalDrivingEfficiency",2009
56,56,"Nicholas Thompson",96,122,34,88,"TotalDrivingEfficiency",2009
57,57,"Tom Pernice Jr",82,123,89,34,"TotalDrivingEfficiency",2009
57,57,"Jay Williamson",69,123,89,34,"TotalDrivingEfficiency",2009
59,59,"Daniel Chopra",89,126,79,47,"TotalDrivingEfficiency",2009
59,59,"Greg Kraft",51,126,111,15,"TotalDrivingEfficiency",2009
61,61,"Rich Beem",77,128,54,74,"TotalDrivingEfficiency",2009
62,62,"Jason Day",61,131,21,110,"TotalDrivingEfficiency",2009
63,63,"Kevin Stadler",65,136,41,95,"TotalDrivingEfficiency",2009
63,63,"Chris Stroud",88,136,45,91,"TotalDrivingEfficiency",2009
65,65,"Marc Leishman",91,137,19,118,"TotalDrivingEfficiency",2009
66,66,"Scott Verplank",88,140,85,55,"TotalDrivingEfficiency",2009
67,67,"Colt Knost",71,141,98,43,"TotalDrivingEfficiency",2009
68,68,"Phil Mickelson",66,142,37,105,"TotalDrivingEfficiency",2009
68,68,"Bryce Molder",69,142,64,78,"TotalDrivingEfficiency",2009
70,70,"Matt Jones",56,143,21,122,"TotalDrivingEfficiency",2009
71,71,"Brian Bateman",55,144,63,81,"TotalDrivingEfficiency",2009
72,72,"Ted Purdy",101,146,48,98,"TotalDrivingEfficiency",2009
73,73,"Scott Piercy",85,148,27,121,"TotalDrivingEfficiency",2009
74,74,"Steve Lowery",83,149,89,60,"TotalDrivingEfficiency",2009
75,75,"Peter Lonard",86,150,80,70,"TotalDrivingEfficiency",2009
76,76,"Ben Crane",93,151,82,69,"TotalDrivingEfficiency",2009
77,77,"Cameron Beckman",87,153,93,60,"TotalDrivingEfficiency",2009
78,78,"Tim Clark",81,154,114,40,"TotalDrivingEfficiency",2009
78,78,"Rory Sabbatini",81,154,80,74,"TotalDrivingEfficiency",2009
80,80,"Pat Perez",74,159,58,101,"TotalDrivingEfficiency",2009
81,81,"Ben Curtis",63,160,84,76,"TotalDrivingEfficiency",2009
82,82,"John Rollins",92,161,85,76,"TotalDrivingEfficiency",2009
82,82,"Charles Warren",63,161,66,95,"TotalDrivingEfficiency",2009
84,84,"Rocco Mediate",79,164,85,79,"TotalDrivingEfficiency",2009
85,85,"Mark Brooks",55,165,105,60,"TotalDrivingEfficiency",2009
86,86,"Paul Goydos",79,167,109,58,"TotalDrivingEfficiency",2009
87,87,"David Mathis",82,169,140,29,"TotalDrivingEfficiency",2009
88,88,"Justin Rose",71,173,123,50,"TotalDrivingEfficiency",2009
89,89,"Lucas Glover",93,175,121,54,"TotalDrivingEfficiency",2009
89,89,"Boo Weekley",79,175,132,43,"TotalDrivingEfficiency",2009
91,91,"Charley Hoffman",97,176,41,135,"TotalDrivingEfficiency",2009
92,92,"Matt Kuchar",82,177,130,47,"TotalDrivingEfficiency",2009
93,93,"Tommy Armour III",58,178,123,55,"TotalDrivingEfficiency",2009
94,94,"Rick Price",54,180,66,114,"TotalDrivingEfficiency",2009
94,94,"Steve Stricker",81,180,66,114,"TotalDrivingEfficiency",2009
96,96,"Michael Letzig",96,183,75,108,"TotalDrivingEfficiency",2009
97,97,"Tag Ridings",50,188,66,122,"TotalDrivingEfficiency",2009
98,98,"Justin Leonard",95,189,163,26,"TotalDrivingEfficiency",2009
99,99,"Brian Gay",96,190,162,28,"TotalDrivingEfficiency",2009
100,100,"Marc Turnesa",77,192,111,81,"TotalDrivingEfficiency",2009
101,101,"Jeff Quinney",78,193,127,66,"TotalDrivingEfficiency",2009
102,102,"Tim Herron",87,195,82,113,"TotalDrivingEfficiency",2009
103,103,"Kent Jones",73,200,99,101,"TotalDrivingEfficiency",2009
103,103,"Jerry Kelly",90,200,109,91,"TotalDrivingEfficiency",2009
103,103,"Brian Vranesh",51,200,105,95,"TotalDrivingEfficiency",2009
106,106,"Troy Matteson",95,203,75,128,"TotalDrivingEfficiency",2009
106,106,"Sean OHair",80,203,117,86,"TotalDrivingEfficiency",2009
108,108,"Brett Quigley",92,206,64,142,"TotalDrivingEfficiency",2009
109,109,"Todd Hamilton",83,209,129,80,"TotalDrivingEfficiency",2009
109,109,"Padraig Harrington",66,209,95,114,"TotalDrivingEfficiency",2009
111,111,"DJ Trahan",96,210,126,84,"TotalDrivingEfficiency",2009
111,111,"Casey Wittenberg",71,210,85,125,"TotalDrivingEfficiency",2009
113,113,"Leif Olson",51,217,78,139,"TotalDrivingEfficiency",2009
114,114,"Johnson Wagner",81,218,134,84,"TotalDrivingEfficiency",2009
115,115,"Brendon de Jonge",90,222,102,120,"TotalDrivingEfficiency",2009
116,116,"Robert Allenby",71,224,95,129,"TotalDrivingEfficiency",2009
117,117,"George McNeill",82,225,74,151,"TotalDrivingEfficiency",2009
118,118,"Will Ma Kenzie",69,227,122,105,"TotalDrivingEfficiency",2009
119,119,"Angel Cabrera",55,228,99,129,"TotalDrivingEfficiency",2009
119,119,"Chad Campbell",90,228,102,126,"TotalDrivingEfficiency",2009
121,121,"Kevin Streelman",97,230,95,135,"TotalDrivingEfficiency",2009
122,122,"Patrick Sheehan",51,232,141,91,"TotalDrivingEfficiency",2009
123,123,"Jeff Klauk",97,233,89,144,"TotalDrivingEfficiency",2009
124,124,"Bubba Watson",73,234,73,161,"TotalDrivingEfficiency",2009
125,125,"Tim Petrovic",97,239,148,91,"TotalDrivingEfficiency",2009
125,125,"Mike Weir",85,239,130,109,"TotalDrivingEfficiency",2009
127,127,"Richard Johnson",85,244,146,98,"TotalDrivingEfficiency",2009
128,128,"Adam Scott",53,245,135,110,"TotalDrivingEfficiency",2009
129,129,"Ryan Moore",89,246,145,101,"TotalDrivingEfficiency",2009
130,130,"Brendon Todd",53,248,119,129,"TotalDrivingEfficiency",2009
131,131,"Mark Calcavecchia",72,251,111,140,"TotalDrivingEfficiency",2009
132,132,"Rod Pampling",72,254,156,98,"TotalDrivingEfficiency",2009
133,133,"Luke Donald",79,255,107,148,"TotalDrivingEfficiency",2009
133,133,"Freddie Jacobson",83,255,166,89,"TotalDrivingEfficiency",2009
135,135,"Stuart Appleby",79,261,119,142,"TotalDrivingEfficiency",2009
135,135,"Woody Austin",84,261,123,138,"TotalDrivingEfficiency",2009
137,137,"Chris DiMarco",97,262,116,146,"TotalDrivingEfficiency",2009
138,138,"Spencer Levin",75,264,159,105,"TotalDrivingEfficiency",2009
139,139,"Jonathan Byrd",89,265,102,163,"TotalDrivingEfficiency",2009
