"3PlusPuttsperRound_RANKTHISWEEK_2011","3PlusPuttsperRound_RANKLASTWEEK_2011","3PlusPuttsperRound_PLAYERNAME_2011","3PlusPuttsperRound_ROUNDS_2011","3PlusPuttsperRound_AVG_2011","3PlusPuttsperRound_TOTAL3PUTTS_2011","3PlusPuttsperRound_TOTALROUNDS_2011","stat_name","year"
1,1,"DJ Trahan",91,0.07,6,91,"3PlusPuttsperRound",2011
2,2,"David Duval",67,0.04,3,67,"3PlusPuttsperRound",2011
2,2,"Paul Goydos",81,0.04,3,81,"3PlusPuttsperRound",2011
2,2,"Billy Horschel",75,0.04,3,75,"3PlusPuttsperRound",2011
2,2,"Steve Marino",76,0.04,3,76,"3PlusPuttsperRound",2011
2,2,"Billy Mayfair",94,0.04,4,94,"3PlusPuttsperRound",2011
7,7,"Ricky Barnes",78,0.03,2,78,"3PlusPuttsperRound",2011
7,7,"Ernie Els",71,0.03,2,69,"3PlusPuttsperRound",2011
7,7,"Scott Gutschewski",67,0.03,2,67,"3PlusPuttsperRound",2011
7,7,"Jim Herman",69,0.03,2,69,"3PlusPuttsperRound",2011
7,7,"Troy Merritt",63,0.03,2,63,"3PlusPuttsperRound",2011
7,7,"Geoff Ogilvy",69,0.03,2,66,"3PlusPuttsperRound",2011
7,7,"Pat Perez",76,0.03,2,76,"3PlusPuttsperRound",2011
7,7,"Michael Putnam",67,0.03,2,67,"3PlusPuttsperRound",2011
7,7,"Andres Romero",77,0.03,2,77,"3PlusPuttsperRound",2011
7,7,"Vijay Singh",79,0.03,2,79,"3PlusPuttsperRound",2011
7,7,"Kevin Stadler",88,0.03,3,88,"3PlusPuttsperRound",2011
18,18,"Arjun Atwal",91,0.02,2,91,"3PlusPuttsperRound",2011
18,18,"Keegan Bradley",91,0.02,2,91,"3PlusPuttsperRound",2011
18,18,"Chad Campbell",99,0.02,2,99,"3PlusPuttsperRound",2011
18,18,"Brian Davis",105,0.02,2,105,"3PlusPuttsperRound",2011
18,18,"Harrison Frazar",58,0.02,1,58,"3PlusPuttsperRound",2011
18,18,"Tommy Gainey",104,0.02,2,104,"3PlusPuttsperRound",2011
18,18,"Robert Garrigus",83,0.02,2,83,"3PlusPuttsperRound",2011
18,18,"Tom Gillis",55,0.02,1,55,"3PlusPuttsperRound",2011
18,18,"Fabian Gomez",84,0.02,2,84,"3PlusPuttsperRound",2011
18,18,"David Hearn",88,0.02,2,88,"3PlusPuttsperRound",2011
18,18,"Lee Janzen",62,0.02,1,62,"3PlusPuttsperRound",2011
18,18,"Brandt Jobe",100,0.02,2,100,"3PlusPuttsperRound",2011
18,18,"Derek Lamely",65,0.02,1,65,"3PlusPuttsperRound",2011
18,18,"Marc Leishman",87,0.02,2,87,"3PlusPuttsperRound",2011
18,18,"Zack Miller",86,0.02,2,86,"3PlusPuttsperRound",2011
18,18,"Jeff Overton",92,0.02,2,91,"3PlusPuttsperRound",2011
18,18,"Martin Piller",63,0.02,1,63,"3PlusPuttsperRound",2011
18,18,"Chez Reavie",92,0.02,2,92,"3PlusPuttsperRound",2011
18,18,"Rory Sabbatini",85,0.02,2,85,"3PlusPuttsperRound",2011
18,18,"Adam Scott",60,0.02,1,59,"3PlusPuttsperRound",2011
18,18,"Brendan Steele",89,0.02,2,89,"3PlusPuttsperRound",2011
18,18,"Kevin Streelman",90,0.02,2,90,"3PlusPuttsperRound",2011
18,18,"Will Strickler",51,0.02,1,51,"3PlusPuttsperRound",2011
18,18,"Jhonattan Vegas",84,0.02,2,84,"3PlusPuttsperRound",2011
18,18,"Johnson Wagner",81,0.02,2,81,"3PlusPuttsperRound",2011
18,18,"Dean Wilson",62,0.02,1,62,"3PlusPuttsperRound",2011
18,18,"Mark Wilson",89,0.02,2,87,"3PlusPuttsperRound",2011
45,45,"Blake Adams",116,0.01,1,116,"3PlusPuttsperRound",2011
45,45,"Stephen Ames",69,0.01,1,69,"3PlusPuttsperRound",2011
45,45,"Aaron Baddeley",77,0.01,1,77,"3PlusPuttsperRound",2011
45,45,"Matt Bettencourt",84,0.01,1,84,"3PlusPuttsperRound",2011
45,45,"Joseph Bramlett",73,0.01,1,73,"3PlusPuttsperRound",2011
45,45,"DJ Brigman",67,0.01,1,67,"3PlusPuttsperRound",2011
45,45,"Michael Connell",76,0.01,1,76,"3PlusPuttsperRound",2011
45,45,"Jason Day",76,0.01,1,73,"3PlusPuttsperRound",2011
45,45,"Chris DiMarco",93,0.01,1,93,"3PlusPuttsperRound",2011
45,45,"Rickie Fowler",84,0.01,1,81,"3PlusPuttsperRound",2011
45,45,"Hunter Haas",96,0.01,1,96,"3PlusPuttsperRound",2011
45,45,"Charley Hoffman",93,0.01,1,92,"3PlusPuttsperRound",2011
45,45,"Ryuji Imada",83,0.01,1,83,"3PlusPuttsperRound",2011
45,45,"Freddie Jacobson",92,0.01,1,92,"3PlusPuttsperRound",2011
45,45,"Matt Jones",71,0.01,1,71,"3PlusPuttsperRound",2011
45,45,"Jerry Kelly",85,0.01,1,85,"3PlusPuttsperRound",2011
45,45,"Bio Kim",71,0.01,1,71,"3PlusPuttsperRound",2011
45,45,"Chris Kirk",87,0.01,1,87,"3PlusPuttsperRound",2011
45,45,"Matt Kuchar",94,0.01,1,88,"3PlusPuttsperRound",2011
45,45,"Martin Laird",77,0.01,1,76,"3PlusPuttsperRound",2011
45,45,"Justin Leonard",82,0.01,1,82,"3PlusPuttsperRound",2011
45,45,"Ben Martin",74,0.01,1,74,"3PlusPuttsperRound",2011
45,45,"Phil Mickelson",79,0.01,1,77,"3PlusPuttsperRound",2011
45,45,"Sean OHair",71,0.01,1,70,"3PlusPuttsperRound",2011
45,45,"Nick OHern",89,0.01,1,89,"3PlusPuttsperRound",2011
45,45,"Rod Pampling",72,0.01,1,72,"3PlusPuttsperRound",2011
45,45,"DA Points",89,0.01,1,89,"3PlusPuttsperRound",2011
45,45,"Alex Prugh",82,0.01,1,82,"3PlusPuttsperRound",2011
45,45,"John Rollins",85,0.01,1,85,"3PlusPuttsperRound",2011
45,45,"John Senden",94,0.01,1,94,"3PlusPuttsperRound",2011
45,45,"Scott Stallings",84,0.01,1,84,"3PlusPuttsperRound",2011
45,45,"Paul Stankowski",78,0.01,1,78,"3PlusPuttsperRound",2011
45,45,"Kyle Stanley",98,0.01,1,98,"3PlusPuttsperRound",2011
45,45,"Steve Stricker",70,0.01,1,69,"3PlusPuttsperRound",2011
45,45,"Roland Thatcher",67,0.01,1,67,"3PlusPuttsperRound",2011
45,45,"David Toms",78,0.01,1,78,"3PlusPuttsperRound",2011
45,45,"Cameron Tringale",110,0.01,1,110,"3PlusPuttsperRound",2011
45,45,"Bo Van Pelt",92,0.01,1,90,"3PlusPuttsperRound",2011
45,45,"Charlie Wi",83,0.01,1,83,"3PlusPuttsperRound",2011
45,45,"Garrett Willis",71,0.01,1,71,"3PlusPuttsperRound",2011
