"Par5GoingfortheGreen_RANKTHISWEEK_2008","Par5GoingfortheGreen_RANKLASTWEEK_2008","Par5GoingfortheGreen_PLAYERNAME_2008","Par5GoingfortheGreen_ROUNDS_2008","Par5GoingfortheGreen_Pct_2008","Par5GoingfortheGreen_ATTEMPTS_2008","Par5GoingfortheGreen_NONATTEMPTS_2008","stat_name","year"
1,1,"Robert Garrigus",90,72.63,199,75,"Par5GoingfortheGreen",2008
2,2,"Nick Watney",96,70.29,194,82,"Par5GoingfortheGreen",2008
3,3,"Bubba Watson",97,68.75,165,75,"Par5GoingfortheGreen",2008
4,4,"Phil Mickelson",80,65.75,119,62,"Par5GoingfortheGreen",2008
5,5,"Vijay Singh",82,65.17,116,62,"Par5GoingfortheGreen",2008
6,6,"Steve Allan",58,64,96,54,"Par5GoingfortheGreen",2008
7,7,"JB Holmes",86,63.55,136,78,"Par5GoingfortheGreen",2008
8,8,"Angel Cabrera",55,63.33,76,44,"Par5GoingfortheGreen",2008
9,9,"Tag Ridings",88,62.2,158,96,"Par5GoingfortheGreen",2008
10,10,"Sergio Garcia",72,62.18,97,59,"Par5GoingfortheGreen",2008
11,11,"Jimmy Walker",73,62.03,116,71,"Par5GoingfortheGreen",2008
12,12,"Dustin Johnson",92,61.66,156,97,"Par5GoingfortheGreen",2008
13,13,"Martin Laird",98,61.54,160,100,"Par5GoingfortheGreen",2008
14,14,"Tommy Gainey",60,61.43,86,54,"Par5GoingfortheGreen",2008
15,15,"DJ Trahan",94,61.11,143,91,"Par5GoingfortheGreen",2008
16,16,"Mathias Gronberg",87,60.71,153,99,"Par5GoingfortheGreen",2008
17,17,"Charles Warren",79,60.66,148,96,"Par5GoingfortheGreen",2008
18,18,"Mathew Goggin",91,60.55,155,101,"Par5GoingfortheGreen",2008
19,19,"Andres Romero",69,60.42,87,57,"Par5GoingfortheGreen",2008
20,20,"Charley Hoffman",94,59.92,157,105,"Par5GoingfortheGreen",2008
21,21,"Anthony Kim",81,59.89,109,73,"Par5GoingfortheGreen",2008
22,22,"Bill Haas",99,59.42,164,112,"Par5GoingfortheGreen",2008
23,23,"Jason Day",81,59.35,146,100,"Par5GoingfortheGreen",2008
24,24,"Ryan Moore",72,59.11,120,83,"Par5GoingfortheGreen",2008
25,25,"Robert Allenby",108,59.04,160,111,"Par5GoingfortheGreen",2008
26,26,"James Driscoll",85,58.47,145,103,"Par5GoingfortheGreen",2008
27,27,"Matt Jones",95,58.21,156,112,"Par5GoingfortheGreen",2008
28,28,"Pat Perez",93,58.2,142,102,"Par5GoingfortheGreen",2008
29,29,"Camilo Villegas",79,58.15,107,77,"Par5GoingfortheGreen",2008
30,30,"Adam Scott",51,57.94,62,45,"Par5GoingfortheGreen",2008
31,31,"Nicholas Thompson",113,57.58,171,126,"Par5GoingfortheGreen",2008
32,32,"Fred Couples",60,57.47,100,74,"Par5GoingfortheGreen",2008
33,33,"Richard Johnson",77,57.21,119,89,"Par5GoingfortheGreen",2008
34,34,"George McNeill",97,56.83,158,120,"Par5GoingfortheGreen",2008
35,35,"Jason Gore",94,56.62,154,118,"Par5GoingfortheGreen",2008
36,36,"Boo Weekley",86,56.57,112,86,"Par5GoingfortheGreen",2008
37,37,"Aaron Baddeley",76,56.48,109,84,"Par5GoingfortheGreen",2008
38,38,"Jason Allred",63,56.38,84,65,"Par5GoingfortheGreen",2008
39,39,"Troy Matteson",94,56.25,162,126,"Par5GoingfortheGreen",2008
40,40,"Davis Love III",78,56.22,113,88,"Par5GoingfortheGreen",2008
41,41,"Harrison Frazar",73,56.12,110,86,"Par5GoingfortheGreen",2008
42,42,"Jeff Overton",103,55.78,164,130,"Par5GoingfortheGreen",2008
43,43,"Kevin Streelman",114,55.17,160,130,"Par5GoingfortheGreen",2008
44,44,"John Merrick",98,55.08,130,106,"Par5GoingfortheGreen",2008
45,45,"Michael Letzig",88,54.91,123,101,"Par5GoingfortheGreen",2008
46,46,"Jonathan Byrd",88,54.88,135,111,"Par5GoingfortheGreen",2008
47,47,"Stewart Cink",87,54.76,115,95,"Par5GoingfortheGreen",2008
48,48,"Ted Purdy",68,54.59,101,84,"Par5GoingfortheGreen",2008
49,49,"Todd Demsey",80,54.34,119,100,"Par5GoingfortheGreen",2008
50,50,"Charles Howell III",101,54.24,160,135,"Par5GoingfortheGreen",2008
51,51,"Ryan Palmer",69,54.14,98,83,"Par5GoingfortheGreen",2008
52,52,"Lucas Glover",91,54.13,131,111,"Par5GoingfortheGreen",2008
53,53,"Kevin Sutherland",98,53.85,140,120,"Par5GoingfortheGreen",2008
54,54,"Nick Flanagan",89,53.73,137,118,"Par5GoingfortheGreen",2008
55,55,"YE Yang",89,53.57,135,117,"Par5GoingfortheGreen",2008
56,56,"Rod Pampling",83,53.27,114,100,"Par5GoingfortheGreen",2008
57,57,"Kevin Stadler",90,52.72,126,113,"Par5GoingfortheGreen",2008
58,58,"Sean OHair",81,52.6,101,91,"Par5GoingfortheGreen",2008
59,59,"Jesper Parnevik",88,52.59,122,110,"Par5GoingfortheGreen",2008
60,60,"Tim Herron",97,52.42,130,118,"Par5GoingfortheGreen",2008
61,61,"Daniel Chopra",84,52.21,118,108,"Par5GoingfortheGreen",2008
62,62,"Brad Adamonis",87,52.14,122,112,"Par5GoingfortheGreen",2008
