"DrivingDistanceAllDrives_RANKTHISWEEK_2015","DrivingDistanceAllDrives_RANKLASTWEEK_2015","DrivingDistanceAllDrives_PLAYERNAME_2015","DrivingDistanceAllDrives_ROUNDS_2015","DrivingDistanceAllDrives_ALLDRIVES_2015","DrivingDistanceAllDrives_TOTALDISTANCE_2015","DrivingDistanceAllDrives_OFDRIVES_2015","stat_name","year"
1,1,"Bubba Watson",71,307.4,242243,788,"DrivingDistanceAllDrives",2015
2,2,"Dustin Johnson",75,303.3,229332,756,"DrivingDistanceAllDrives",2015
3,3,"Jason Day",75,301.7,241964,802,"DrivingDistanceAllDrives",2015
4,4,"JB Holmes",89,300.6,278935,928,"DrivingDistanceAllDrives",2015
5,5,"Patrick Rodgers",57,298,191305,642,"DrivingDistanceAllDrives",2015
6,6,"Brooks Koepka",84,296.5,269770,910,"DrivingDistanceAllDrives",2015
7,7,"Adam Scott",51,294.6,131392,446,"DrivingDistanceAllDrives",2015
8,8,"Tony Finau",106,294.2,377715,1284,"DrivingDistanceAllDrives",2015
9,9,"Ryan Palmer",80,292.9,220858,754,"DrivingDistanceAllDrives",2015
10,10,"Charles Howell III",105,292.4,403509,1380,"DrivingDistanceAllDrives",2015
11,11,"Jason Kokrak",88,292.3,325644,1114,"DrivingDistanceAllDrives",2015
12,12,"Gary Woodland",81,291.5,219770,754,"DrivingDistanceAllDrives",2015
13,13,"Charlie Beljan",76,291.3,231554,795,"DrivingDistanceAllDrives",2015
13,13,"Justin Rose",69,291.3,199269,684,"DrivingDistanceAllDrives",2015
13,13,"Justin Thomas",106,291.3,389786,1338,"DrivingDistanceAllDrives",2015
16,16,"Charley Hoffman",97,291.2,309885,1064,"DrivingDistanceAllDrives",2015
17,17,"Steven Bowditch",103,290.3,357927,1233,"DrivingDistanceAllDrives",2015
18,18,"Keegan Bradley",87,289.9,259174,894,"DrivingDistanceAllDrives",2015
19,19,"Robert Garrigus",70,289.8,221379,764,"DrivingDistanceAllDrives",2015
19,19,"Carlos Ortiz",100,289.8,335342,1157,"DrivingDistanceAllDrives",2015
19,19,"Jimmy Walker",89,289.8,260852,900,"DrivingDistanceAllDrives",2015
22,22,"Sergio Garcia",59,289.6,145960,504,"DrivingDistanceAllDrives",2015
23,23,"Charl Schwartzel",67,289.1,165929,574,"DrivingDistanceAllDrives",2015
24,24,"Angel Cabrera",53,289,171073,592,"DrivingDistanceAllDrives",2015
24,24,"Phil Mickelson",70,289,221915,768,"DrivingDistanceAllDrives",2015
26,26,"Hunter Mahan",88,288.9,264083,914,"DrivingDistanceAllDrives",2015
27,27,"Brendan Steele",88,288.8,306717,1062,"DrivingDistanceAllDrives",2015
28,28,"Russell Henley",87,288.3,271583,942,"DrivingDistanceAllDrives",2015
29,29,"Rickie Fowler",76,288.2,230001,798,"DrivingDistanceAllDrives",2015
