"ProximitytoHole_RANKTHISWEEK_2016","ProximitytoHole_RANKLASTWEEK_2016","ProximitytoHole_PLAYERNAME_2016","ProximitytoHole_ROUNDS_2016","ProximitytoHole_AVG_2016","ProximitytoHole_TOTALDISTANCEFEET_2016","ProximitytoHole_OFATTEMPTS_2016","ProximitytoHole_GIRRANK_2016","stat_name","year"
1,1,"Jason Gore",51,NA,21461.667,645,54,"ProximitytoHole",2016
2,7,"Shane Bertsch",30,NA,11514.5,342,90,"ProximitytoHole",2016
2,6,"David Hearn",55,NA,25259.917,750,41,"ProximitytoHole",2016
4,2,"Vaughn Taylor",30,NA,15104.583,447,148,"ProximitytoHole",2016
5,9,"Justin Leonard",28,NA,13411.75,395,197,"ProximitytoHole",2016
6,12,"Billy Hurley III",22,NA,10365.083,303,186,"ProximitytoHole",2016
6,3,"Adam Scott",39,NA,14563.917,426,14,"ProximitytoHole",2016
8,14,"Zach Johnson",42,NA,20226.583,589,48,"ProximitytoHole",2016
8,14,"Darron Stiles",28,NA,9823.25,286,188,"ProximitytoHole",2016
10,4,"Tim Wilkinson",40,NA,16038.25,466,111,"ProximitytoHole",2016
11,17,"Ken Duke",26,NA,12370.833,359,196,"ProximitytoHole",2016
11,5,"Tom Hoge",47,NA,21620.167,627,164,"ProximitytoHole",2016
11,17,"Chez Reavie",56,NA,28411.667,823,64,"ProximitytoHole",2016
14,19,"KJ Choi",47,NA,24714.75,714,112,"ProximitytoHole",2016
14,19,"Jerry Kelly",44,NA,17427.917,504,137,"ProximitytoHole",2016
16,10,"David Toms",38,NA,19905.667,574,89,"ProximitytoHole",2016
17,7,"Henrik Norlander",41,NA,16153.25,465,37,"ProximitytoHole",2016
18,25,"Graeme McDowell",33,NA,14288.25,409,109,"ProximitytoHole",2016
19,19,"Justin Hicks",26,NA,14998.5,428,65,"ProximitytoHole",2016
19,10,"Brian Stuard",24,NA,11256.917,321,142,"ProximitytoHole",2016
21,12,"Jason Bohn",37,NA,18242.083,517,31,"ProximitytoHole",2016
21,26,"Lucas Glover",53,NA,29603.417,839,2,"ProximitytoHole",2016
23,33,"Dicky Pride",33,NA,14436.75,409,201,"ProximitytoHole",2016
24,37,"Russell Knox",48,NA,18404.5,520,3,"ProximitytoHole",2016
24,23,"Kyle Stanley",57,NA,29078.083,821,96,"ProximitytoHole",2016
24,37,"Bubba Watson",30,NA,10849.583,306,1,"ProximitytoHole",2016
27,45,"Colt Knost",56,NA,26740,753,114,"ProximitytoHole",2016
27,42,"Cameron Percy",22,NA,8949.417,252,12,"ProximitytoHole",2016
29,45,"Matt Kuchar",46,NA,19734.333,555,71,"ProximitytoHole",2016
29,45,"Hudson Swafford",52,NA,24686.667,693,56,"ProximitytoHole",2016
31,50,"Keegan Bradley",40,NA,17238.333,483,26,"ProximitytoHole",2016
31,45,"Rob Oppenheim",37,NA,17941.75,503,122,"ProximitytoHole",2016
31,33,"Michael Thompson",46,NA,19786.75,555,124,"ProximitytoHole",2016
34,54,"Russell Henley",42,NA,23628.833,661,46,"ProximitytoHole",2016
34,28,"Spencer Levin",62,NA,30665.333,857,59,"ProximitytoHole",2016
