"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2012","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2012","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2012","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2012","ofPotentialPtswonFedExCupRegularSeason_Pct_2012","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2012","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2012","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2012","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2012","stat_name","year"
1,1,"Rory McIlroy",16,31.45,2092,6650,2,7,"ofPotentialPtswonFedExCupRegularSeason",2012
2,2,"Tiger Woods",19,27.84,2269,8150,3,6,"ofPotentialPtswonFedExCupRegularSeason",2012
3,3,"Bubba Watson",19,22.08,1777,8050,1,5,"ofPotentialPtswonFedExCupRegularSeason",2012
4,4,"Jason Dufner",22,20.79,2110,10150,2,8,"ofPotentialPtswonFedExCupRegularSeason",2012
5,5,"Zach Johnson",25,18.96,2019,10650,2,6,"ofPotentialPtswonFedExCupRegularSeason",2012
6,6,"Luke Donald",17,18.1,1294,7150,1,6,"ofPotentialPtswonFedExCupRegularSeason",2012
7,7,"Steve Stricker",19,17.86,1456,8150,1,7,"ofPotentialPtswonFedExCupRegularSeason",2012
8,8,"Justin Rose",19,17.5,1426,8150,1,7,"ofPotentialPtswonFedExCupRegularSeason",2012
9,9,"Hunter Mahan",23,17.13,1739,10150,2,4,"ofPotentialPtswonFedExCupRegularSeason",2012
10,10,"Matt Kuchar",22,16.58,1600,9650,1,8,"ofPotentialPtswonFedExCupRegularSeason",2012
11,11,"Ernie Els",22,16.07,1447,9000,1,5,"ofPotentialPtswonFedExCupRegularSeason",2012
12,12,"Ben Curtis",19,15.83,997,6300,1,3,"ofPotentialPtswonFedExCupRegularSeason",2012
13,13,"Webb Simpson",22,14.99,1424,9500,1,6,"ofPotentialPtswonFedExCupRegularSeason",2012
14,14,"Keegan Bradley",25,14.98,1670,11150,1,5,"ofPotentialPtswonFedExCupRegularSeason",2012
15,15,"Carl Pettersson",26,14.77,1691,11450,1,6,"ofPotentialPtswonFedExCupRegularSeason",2012
16,16,"Adam Scott",16,14.52,966,6650,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2012
17,17,"Graeme McDowell",16,14.51,1037,7150,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2012
18,18,"Phil Mickelson",22,14.3,1373,9600,1,5,"ofPotentialPtswonFedExCupRegularSeason",2012
19,19,"Dustin Johnson",19,13.8,1097,7950,1,5,"ofPotentialPtswonFedExCupRegularSeason",2012
20,20,"Sergio Garcia",16,13.08,935,7150,1,2,"ofPotentialPtswonFedExCupRegularSeason",2012
21,21,"Jim Furyk",24,12.71,1284,10100,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2012
22,22,"Brandt Snedeker",22,12.51,1194,9550,1,4,"ofPotentialPtswonFedExCupRegularSeason",2012
23,23,"Rickie Fowler",23,12.27,1246,10150,1,5,"ofPotentialPtswonFedExCupRegularSeason",2012
24,24,"Lee Westwood",15,11.6,713,6150,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2012
25,25,"Louis Oosthuizen",19,11.38,928,8150,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2012
26,26,"Robert Garrigus",26,11.1,1155,10400,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2012
