"LateScoringAverage_RANKTHISWEEK_2016","LateScoringAverage_RANKLASTWEEK_2016","LateScoringAverage_PLAYERNAME_2016","LateScoringAverage_ROUNDS_2016","LateScoringAverage_AVG_2016","LateScoringAverage_TOTALSTROKES_2016","LateScoringAverage_TOTALLATEROUNDS_2016","stat_name","year"
81,79,"JB Holmes",39,70.94,1135,16,"LateScoringAverage",2016
81,62,"Mark Hubbard",73,70.94,2270,32,"LateScoringAverage",2016
84,86,"Scott Pinckney",53,70.96,1703,24,"LateScoringAverage",2016
85,76,"Spencer Levin",62,70.97,2129,30,"LateScoringAverage",2016
85,83,"Nick Taylor",57,70.97,2058,29,"LateScoringAverage",2016
87,91,"Jon Curran",55,71,1633,23,"LateScoringAverage",2016
87,91,"Charley Hoffman",49,71,2059,29,"LateScoringAverage",2016
87,70,"Robert Streb",51,71,1420,20,"LateScoringAverage",2016
87,76,"Chris Stroud",52,71,1704,24,"LateScoringAverage",2016
91,99,"Jerry Kelly",44,71.05,1421,20,"LateScoringAverage",2016
92,105,"Hudson Swafford",52,71.08,1777,25,"LateScoringAverage",2016
93,90,"Adam Hadwin",53,71.09,1635,23,"LateScoringAverage",2016
93,123,"James Hahn",45,71.09,1635,23,"LateScoringAverage",2016
95,108,"John Huh",51,71.11,1920,27,"LateScoringAverage",2016
95,91,"David Toms",38,71.11,1351,19,"LateScoringAverage",2016
97,64,"Padraig Harrington",38,71.13,1138,16,"LateScoringAverage",2016
97,91,"Scott Stallings",46,71.13,1636,23,"LateScoringAverage",2016
97,103,"Tyrone Van Aswegen",67,71.13,2205,31,"LateScoringAverage",2016
100,98,"David Hearn",55,71.14,1992,28,"LateScoringAverage",2016
101,91,"Patrick Rodgers",49,71.15,1921,27,"LateScoringAverage",2016
102,99,"Harris English",51,71.17,1708,24,"LateScoringAverage",2016
102,121,"Andrew Loupe",50,71.17,1708,24,"LateScoringAverage",2016
104,118,"Danny Lee",53,71.2,2136,30,"LateScoringAverage",2016
105,114,"KJ Choi",47,71.21,1994,28,"LateScoringAverage",2016
105,91,"Davis Love III",40,71.21,997,14,"LateScoringAverage",2016
107,103,"Tim Wilkinson",40,71.24,1211,17,"LateScoringAverage",2016
108,106,"Vaughn Taylor",30,71.25,855,12,"LateScoringAverage",2016
109,102,"Scott Langley",41,71.26,1354,19,"LateScoringAverage",2016
110,130,"Daniel Summerhays",55,71.28,1782,25,"LateScoringAverage",2016
111,111,"Sung Kang",51,71.29,1996,28,"LateScoringAverage",2016
112,127,"Hunter Mahan",43,71.31,1141,16,"LateScoringAverage",2016
112,110,"John Senden",48,71.31,1854,26,"LateScoringAverage",2016
114,107,"David Lingmerth",54,71.32,1569,22,"LateScoringAverage",2016
