"ScramblingFringeRTPScore_RANKTHISWEEK_2010","ScramblingFringeRTPScore_RANKLASTWEEK_2010","ScramblingFringeRTPScore_PLAYERNAME_2010","ScramblingFringeRTPScore_ROUNDS_2010","ScramblingFringeRTPScore_AVGRTP_2010","ScramblingFringeRTPScore_TOTALHOLES_2010","ScramblingFringeRTPScore_TOTALRTP_2010","stat_name","year"
1,1,"Retief Goosen",75,-0.114,44,-5,"ScramblingFringeRTPScore",2010
2,2,"Webb Simpson",98,-0.089,90,-8,"ScramblingFringeRTPScore",2010
2,2,"Chris Tidland",77,-0.089,56,-5,"ScramblingFringeRTPScore",2010
4,4,"Luke Donald",71,-0.07,43,-3,"ScramblingFringeRTPScore",2010
5,5,"Chris Couch",66,-0.067,45,-3,"ScramblingFringeRTPScore",2010
6,6,"Paul Casey",64,-0.065,31,-2,"ScramblingFringeRTPScore",2010
7,7,"Blake Adams",84,-0.06,67,-4,"ScramblingFringeRTPScore",2010
8,8,"Pat Perez",90,-0.059,51,-3,"ScramblingFringeRTPScore",2010
9,9,"JB Holmes",100,-0.056,108,-6,"ScramblingFringeRTPScore",2010
9,9,"Brandt Snedeker",89,-0.056,90,-5,"ScramblingFringeRTPScore",2010
11,11,"Matt Every",60,-0.048,63,-3,"ScramblingFringeRTPScore",2010
12,12,"James Driscoll",78,-0.046,65,-3,"ScramblingFringeRTPScore",2010
13,13,"Aaron Baddeley",94,-0.045,67,-3,"ScramblingFringeRTPScore",2010
14,14,"Chad Campbell",95,-0.043,70,-3,"ScramblingFringeRTPScore",2010
14,14,"Bryce Molder",84,-0.043,70,-3,"ScramblingFringeRTPScore",2010
16,16,"John Mallinger",78,-0.037,54,-2,"ScramblingFringeRTPScore",2010
16,16,"George McNeill",79,-0.037,54,-2,"ScramblingFringeRTPScore",2010
18,18,"Kevin Streelman",90,-0.033,61,-2,"ScramblingFringeRTPScore",2010
19,19,"Kevin Sutherland",86,-0.032,62,-2,"ScramblingFringeRTPScore",2010
20,20,"Roland Thatcher",72,-0.027,75,-2,"ScramblingFringeRTPScore",2010
21,21,"Kevin Na",94,-0.025,80,-2,"ScramblingFringeRTPScore",2010
22,22,"Carl Pettersson",99,-0.023,87,-2,"ScramblingFringeRTPScore",2010
22,22,"Mike Weir",59,-0.023,44,-1,"ScramblingFringeRTPScore",2010
24,24,"Craig Bowden",56,-0.021,48,-1,"ScramblingFringeRTPScore",2010
25,25,"Henrik Bjornstad",72,-0.02,49,-1,"ScramblingFringeRTPScore",2010
25,25,"Michael Letzig",84,-0.02,49,-1,"ScramblingFringeRTPScore",2010
27,27,"Ryan Moore",80,-0.019,52,-1,"ScramblingFringeRTPScore",2010
28,28,"Scott Piercy",88,-0.017,58,-1,"ScramblingFringeRTPScore",2010
29,29,"Cameron Beckman",68,-0.016,62,-1,"ScramblingFringeRTPScore",2010
29,29,"Alex Cejka",81,-0.016,61,-1,"ScramblingFringeRTPScore",2010
29,29,"DA Points",90,-0.016,62,-1,"ScramblingFringeRTPScore",2010
29,29,"Scott Verplank",74,-0.016,64,-1,"ScramblingFringeRTPScore",2010
33,33,"Matt Jones",89,-0.015,66,-1,"ScramblingFringeRTPScore",2010
33,33,"Jerry Kelly",99,-0.015,68,-1,"ScramblingFringeRTPScore",2010
35,35,"Steve Elkington",74,-0.014,71,-1,"ScramblingFringeRTPScore",2010
35,35,"Jeff Quinney",91,-0.014,71,-1,"ScramblingFringeRTPScore",2010
37,37,"Bo Van Pelt",104,-0.013,78,-1,"ScramblingFringeRTPScore",2010
38,38,"Tim Petrovic",105,-0.011,90,-1,"ScramblingFringeRTPScore",2010
39,39,"Stuart Appleby",101,-0.01,96,-1,"ScramblingFringeRTPScore",2010
39,39,"Rickie Fowler",98,-0.01,97,-1,"ScramblingFringeRTPScore",2010
