"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2011","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2011","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2011","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2011","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2011","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2011","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2011","stat_name","year"
1,1,"JB Holmes",57,57.12,50809.3,88957,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
2,2,"Bubba Watson",85,56.66,62375,110082,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
3,3,"Robert Garrigus",83,56.43,70267.6,124511,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
4,4,"Gary Woodland",93,56.42,67556.8,119741,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
5,5,"Dustin Johnson",72,56.39,54490.5,96623,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
6,6,"Kyle Stanley",98,54.99,73957.6,134487,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
7,7,"Angel Cabrera",50,54.95,33480.7,60927,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
8,8,"Jhonattan Vegas",84,54.91,65291.5,118899,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
9,9,"Scott Piercy",78,54.56,60189.8,110319,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
10,10,"Martin Laird",77,54.52,61788,113338,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
11,11,"Tag Ridings",87,54.43,66172.7,121571,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
12,12,"Will Strickler",51,54.41,39086.3,71841,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
13,13,"Steven Bowditch",86,54.37,71338.1,131198,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
13,13,"Davis Love III",70,54.37,46626,85763,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
13,13,"Josh Teater",104,54.37,83518.8,153623,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
16,16,"Chris Couch",73,54.1,63410.9,117214,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
17,17,"Aaron Baddeley",77,54.08,57456.2,106246,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
18,18,"Keegan Bradley",91,54.05,69361.8,128320,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
19,19,"DJ Trahan",91,54.02,74571.3,138056,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
20,20,"Rickie Fowler",84,53.96,60795.7,112678,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
20,20,"Nick Watney",80,53.96,56786.7,105246,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
22,22,"Jim Herman",69,53.93,53407.7,99038,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
22,22,"Phil Mickelson",79,53.93,57746.5,107072,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
24,24,"Marc Leishman",87,53.87,74079.4,137524,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
25,25,"Alex Prugh",82,53.86,66245.1,122985,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
26,26,"Jason Day",76,53.83,52557.4,97637,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
27,27,"Troy Matteson",91,53.8,77534.8,144106,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
28,28,"Scott Stallings",84,53.78,62576.4,116364,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
29,29,"Bo Van Pelt",92,53.68,62614.3,116634,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
30,30,"Bill Haas",93,53.61,66418.8,123893,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
31,31,"Zack Miller",86,53.55,69270.1,129345,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
32,32,"Jimmy Walker",79,53.51,65151.3,121755,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
33,33,"Charley Hoffman",93,53.49,73656.5,137694,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
34,34,"Adam Scott",60,53.46,38896.8,72761,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
35,35,"Derek Lamely",65,53.44,54971.9,102866,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
36,36,"Robert Karlsson",61,53.42,40774.4,76325,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
37,37,"Michael Putnam",67,53.41,45500.7,85198,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
38,38,"Scott Gutschewski",67,53.39,51055.2,95624,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
39,39,"Bio Kim",71,53.38,52740.3,98796,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
40,40,"Sergio Garcia",61,53.36,39756.9,74509,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
41,41,"Charles Howell III",108,53.29,81586.9,153113,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
41,41,"George McNeill",69,53.29,50939.5,95582,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
43,43,"Brandt Jobe",100,53.28,75642.1,141972,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
44,44,"Webb Simpson",98,53.24,74045,139070,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
45,45,"Harrison Frazar",58,53.22,36057.8,67748,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
46,46,"Kevin Chappell",78,53.11,55265.2,104060,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
47,47,"John Rollins",85,53.1,65126.1,122637,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
48,48,"Ryan Palmer",82,53.08,58523,110248,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
49,49,"Bobby Gates",82,53.07,62763.8,118265,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
49,49,"Steve Marino",76,53.07,56716.1,106865,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
51,51,"Vijay Singh",79,53.02,64248.7,121187,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
52,52,"Boo Weekley",66,53.01,50737,95712,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
53,53,"Tommy Gainey",104,52.98,80343,151634,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
53,53,"Charl Schwartzel",58,52.98,37665.6,71099,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
55,55,"James Driscoll",71,52.97,56208.8,106109,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
56,56,"Lucas Glover",74,52.94,53171.1,100446,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
57,57,"Jeff Overton",92,52.92,62716.9,118512,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
58,58,"Jim Renner",65,52.89,48707.7,92101,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
59,59,"David Duval",67,52.86,54853.7,103779,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
60,60,"John Merrick",71,52.8,49536.6,93823,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
61,61,"Sung Kang",63,52.77,45337.5,85910,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
61,61,"Camilo Villegas",69,52.77,50025.8,94801,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
63,63,"Brendan Steele",89,52.76,70773.8,134139,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
64,64,"Andres Romero",77,52.75,59873.3,113495,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
65,65,"Padraig Harrington",60,52.74,40217.4,76253,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
66,66,"Bill Lunde",92,52.71,74276.4,140920,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
67,67,"Matt Jones",71,52.7,62699.4,118968,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
68,68,"Jonathan Byrd",83,52.67,63933.7,121382,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
68,68,"Chris Kirk",87,52.67,68602.3,130248,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
70,70,"Hunter Mahan",92,52.63,69417,131889,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
70,70,"Cameron Tringale",110,52.63,83520,158700,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
72,72,"Lee Janzen",62,52.62,43831.6,83292,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
72,72,"Martin Piller",63,52.62,46140.8,87687,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
74,74,"Pat Perez",76,52.57,66385.7,126288,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
75,75,"Chez Reavie",92,52.52,75042.2,142881,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
76,76,"Blake Adams",116,52.5,94546,180098,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
77,77,"Tom Gillis",55,52.49,37993.3,72384,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
78,78,"Carl Pettersson",95,52.45,76472.2,145806,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
79,79,"Joseph Bramlett",73,52.43,54958.8,104819,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
80,80,"Stewart Cink",72,52.42,51241.5,97753,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
80,80,"Anthony Kim",72,52.42,49459.1,94352,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
82,82,"Ricky Barnes",78,52.4,54976,104924,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
83,83,"John Senden",94,52.39,75170.3,143486,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
84,84,"Chris Stroud",88,52.34,68487.8,130849,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
85,85,"Kevin Stadler",88,52.3,67684.3,129405,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
86,86,"Sean OHair",71,52.27,48327.6,92449,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
87,87,"Robert Allenby",84,52.25,61669.7,118035,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
87,87,"Tim Herron",85,52.25,66040.6,126403,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
89,89,"Scott McCarron",65,52.24,46067.9,88187,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
90,90,"Andres Gonzales",60,52.23,39459.8,75544,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
90,90,"Ben Martin",74,52.23,59411.7,113755,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
92,92,"Rory Sabbatini",85,52.21,55109.6,105561,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
93,93,"Joe Ogilvie",75,52.16,52357.5,100376,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
93,93,"Michael Thompson",79,52.16,59835.6,114719,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
95,95,"JJ Henry",96,52.12,72897.2,139870,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
96,96,"William McGirt",103,52.11,78333.6,150336,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
97,97,"Matt Bettencourt",84,52.1,66639.5,127902,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
98,98,"David Hearn",88,52.09,63240.2,121415,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
99,99,"Rod Pampling",72,52.08,50689.5,97325,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
100,100,"Ryan Moore",79,52.07,54323.8,104333,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
101,101,"Kevin Streelman",90,52.04,63737.2,122477,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
102,102,"Jason Dufner",78,51.99,55524.8,106791,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
103,103,"Alexandre Rocha",65,51.98,40177.3,77293,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
104,104,"Ernie Els",71,51.96,51464.2,99054,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
105,105,"Chad Campbell",99,51.95,74719,143833,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
105,105,"Roland Thatcher",67,51.95,54627,105148,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
107,107,"DJ Brigman",67,51.82,45018.2,86882,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
108,108,"Justin Rose",79,51.79,59183.3,114267,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
109,109,"YE Yang",63,51.78,35412.4,68394,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
110,110,"Jason Bohn",74,51.73,60512.1,116985,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
111,111,"Brandt Snedeker",85,51.71,55993.3,108279,"PercentageofYardagecoveredbyTeeShotsPar5s",2011
