"DistancefromCenterofFairway_RANKTHISWEEK_2015","DistancefromCenterofFairway_RANKLASTWEEK_2015","DistancefromCenterofFairway_PLAYERNAME_2015","DistancefromCenterofFairway_EVENTS_2015","DistancefromCenterofFairway_AVG_2015","DistancefromCenterofFairway_TOTALDISTANCEFEET_2015","DistancefromCenterofFairway_TOTALSTROKES_2015","stat_name","year"
1,1,"Jamie Donaldson",16,NA,5396.5,249,"DistancefromCenterofFairway",2015
2,2,"Jonas Blixt",26,NA,9125.917,417,"DistancefromCenterofFairway",2015
3,3,"Ian Poulter",19,NA,9118.167,408,"DistancefromCenterofFairway",2015
3,3,"Shawn Stefani",26,NA,16618.583,745,"DistancefromCenterofFairway",2015
5,5,"Jordan Spieth",25,NA,12598.417,563,"DistancefromCenterofFairway",2015
6,6,"Vijay Singh",23,NA,12641.083,562,"DistancefromCenterofFairway",2015
7,7,"Bo Van Pelt",28,NA,11991.917,531,"DistancefromCenterofFairway",2015
8,8,"Scott Pinckney",27,NA,14011.417,617,"DistancefromCenterofFairway",2015
8,8,"Lee Westwood",15,NA,5737.667,252,"DistancefromCenterofFairway",2015
10,10,"Ken Duke",30,NA,16629.75,728,"DistancefromCenterofFairway",2015
11,11,"Brandt Snedeker",27,NA,14058,612,"DistancefromCenterofFairway",2015
12,12,"Adam Hadwin",30,NA,16855.167,729,"DistancefromCenterofFairway",2015
12,12,"Carl Pettersson",32,NA,17821,771,"DistancefromCenterofFairway",2015
14,14,"David Lingmerth",28,NA,15356.833,662,"DistancefromCenterofFairway",2015
15,15,"Oscar Fraustro",21,NA,7737.417,333,"DistancefromCenterofFairway",2015
15,15,"Martin Laird",24,NA,13531.5,582,"DistancefromCenterofFairway",2015
15,15,"Pat Perez",26,NA,17346.417,745,"DistancefromCenterofFairway",2015
15,15,"Chez Reavie",19,NA,11425.333,492,"DistancefromCenterofFairway",2015
19,19,"Lucas Glover",26,NA,14636.167,628,"DistancefromCenterofFairway",2015
20,20,"Kevin Chappell",26,NA,15214.417,649,"DistancefromCenterofFairway",2015
20,20,"Russell Knox",28,NA,18903.75,808,"DistancefromCenterofFairway",2015
22,22,"Greg Chalmers",17,NA,6766,288,"DistancefromCenterofFairway",2015
22,22,"Danny Lee",36,NA,20336,866,"DistancefromCenterofFairway",2015
22,22,"Greg Owen",19,NA,7597.083,323,"DistancefromCenterofFairway",2015
22,22,"Michael Putnam",28,NA,13166.667,560,"DistancefromCenterofFairway",2015
22,22,"Justin Rose",20,NA,9827,418,"DistancefromCenterofFairway",2015
27,27,"Jason Bohn",27,NA,20307.167,859,"DistancefromCenterofFairway",2015
27,27,"John Merrick",27,NA,12741.667,539,"DistancefromCenterofFairway",2015
27,27,"Francesco Molinari",16,NA,10425.25,440,"DistancefromCenterofFairway",2015
30,30,"Jim Herman",27,NA,16920.25,713,"DistancefromCenterofFairway",2015
30,30,"John Peterson",25,NA,16905.667,713,"DistancefromCenterofFairway",2015
30,30,"Sam Saunders",28,NA,13249.167,557,"DistancefromCenterofFairway",2015
33,33,"Kevin Kisner",30,NA,20457.417,857,"DistancefromCenterofFairway",2015
33,33,"Louis Oosthuizen",20,NA,9080.583,381,"DistancefromCenterofFairway",2015
35,35,"Retief Goosen",25,NA,10560.25,442,"DistancefromCenterofFairway",2015
35,35,"Morgan Hoffmann",26,NA,12004.5,502,"DistancefromCenterofFairway",2015
35,35,"Cameron Tringale",28,NA,17215.25,720,"DistancefromCenterofFairway",2015
38,38,"Brendon de Jonge",31,NA,19728.5,823,"DistancefromCenterofFairway",2015
38,38,"Brice Garnett",29,NA,12717.75,530,"DistancefromCenterofFairway",2015
38,38,"Bill Haas",25,NA,14496.833,603,"DistancefromCenterofFairway",2015
38,38,"Cameron Percy",23,NA,11608,483,"DistancefromCenterofFairway",2015
38,38,"Patrick Rodgers",17,NA,8649.5,360,"DistancefromCenterofFairway",2015
38,38,"Webb Simpson",22,NA,13877.583,579,"DistancefromCenterofFairway",2015
38,38,"Nicholas Thompson",31,NA,15679.75,654,"DistancefromCenterofFairway",2015
45,45,"Keegan Bradley",24,NA,13524.583,561,"DistancefromCenterofFairway",2015
45,45,"Scott Brown",30,NA,16498.917,686,"DistancefromCenterofFairway",2015
45,45,"Chad Collins",24,NA,13540.167,563,"DistancefromCenterofFairway",2015
45,45,"Charles Howell III",30,NA,17189.25,714,"DistancefromCenterofFairway",2015
45,45,"Brooks Koepka",23,NA,11865.167,492,"DistancefromCenterofFairway",2015
45,45,"Charl Schwartzel",19,NA,8231.083,342,"DistancefromCenterofFairway",2015
45,45,"Henrik Stenson",16,NA,9549.167,397,"DistancefromCenterofFairway",2015
52,52,"Jerry Kelly",24,NA,15565.667,644,"DistancefromCenterofFairway",2015
52,52,"William McGirt",30,NA,21830.583,904,"DistancefromCenterofFairway",2015
52,52,"George McNeill",27,NA,19059.583,790,"DistancefromCenterofFairway",2015
52,52,"Daniel Summerhays",29,NA,17978.583,744,"DistancefromCenterofFairway",2015
56,56,"Luke Guthrie",27,NA,13266.583,548,"DistancefromCenterofFairway",2015
56,56,"Scott Piercy",28,NA,16299.25,672,"DistancefromCenterofFairway",2015
56,56,"Hudson Swafford",30,NA,17678,729,"DistancefromCenterofFairway",2015
56,56,"Mark Wilson",28,NA,17313.917,715,"DistancefromCenterofFairway",2015
60,60,"Jon Curran",28,NA,14722.333,603,"DistancefromCenterofFairway",2015
60,60,"Derek Ernst",26,NA,13508,553,"DistancefromCenterofFairway",2015
60,60,"Martin Flores",30,NA,14751,604,"DistancefromCenterofFairway",2015
60,60,"Jim Furyk",19,NA,11784.25,483,"DistancefromCenterofFairway",2015
60,60,"Brian Harman",29,NA,16943.75,695,"DistancefromCenterofFairway",2015
60,60,"Billy Horschel",28,NA,14982,614,"DistancefromCenterofFairway",2015
60,60,"Troy Merritt",29,NA,17067.5,698,"DistancefromCenterofFairway",2015
60,60,"Rory Sabbatini",25,NA,12989.583,532,"DistancefromCenterofFairway",2015
60,60,"Robert Streb",30,NA,18731.917,768,"DistancefromCenterofFairway",2015
60,60,"Andrew Svoboda",30,NA,13815.25,565,"DistancefromCenterofFairway",2015
60,60,"Michael Thompson",27,NA,14819.833,606,"DistancefromCenterofFairway",2015
71,71,"Stewart Cink",23,NA,12633.917,516,"DistancefromCenterofFairway",2015
71,71,"Harris English",29,NA,16932.167,691,"DistancefromCenterofFairway",2015
71,71,"Max Homa",27,NA,11635,475,"DistancefromCenterofFairway",2015
71,71,"Scott Langley",28,NA,16683.667,680,"DistancefromCenterofFairway",2015
75,75,"Sangmoon Bae",30,NA,17460.75,710,"DistancefromCenterofFairway",2015
75,75,"Paul Casey",24,NA,13040.75,531,"DistancefromCenterofFairway",2015
75,75,"Brian Davis",31,NA,16100.917,656,"DistancefromCenterofFairway",2015
75,75,"Jason Dufner",21,NA,10192.5,415,"DistancefromCenterofFairway",2015
75,75,"Colt Knost",29,NA,17706.083,720,"DistancefromCenterofFairway",2015
75,75,"Ben Martin",27,NA,16792.583,684,"DistancefromCenterofFairway",2015
75,75,"David Toms",21,NA,13831,562,"DistancefromCenterofFairway",2015
75,75,"Nick Watney",28,NA,16610.417,675,"DistancefromCenterofFairway",2015
83,83,"Ben Crane",22,NA,12021.917,487,"DistancefromCenterofFairway",2015
83,83,"Billy Hurley III",28,NA,13702.5,555,"DistancefromCenterofFairway",2015
85,85,"Tom Hoge",26,NA,12891.417,520,"DistancefromCenterofFairway",2015
85,85,"Heath Slocum",22,NA,8900.25,360,"DistancefromCenterofFairway",2015
85,85,"Jhonattan Vegas",27,NA,13714.833,555,"DistancefromCenterofFairway",2015
85,85,"Boo Weekley",24,NA,14232,576,"DistancefromCenterofFairway",2015
89,89,"Robert Garrigus",25,NA,10384.917,418,"DistancefromCenterofFairway",2015
89,89,"Fabian Gomez",26,NA,14284.667,575,"DistancefromCenterofFairway",2015
89,89,"Spencer Levin",31,NA,19757.833,796,"DistancefromCenterofFairway",2015
89,89,"Hideki Matsuyama",25,NA,15321.583,616,"DistancefromCenterofFairway",2015
89,89,"Brendan Steele",24,NA,15535.25,625,"DistancefromCenterofFairway",2015
89,89,"Tim Wilkinson",28,NA,12403.583,500,"DistancefromCenterofFairway",2015
89,89,"Gary Woodland",24,NA,9947.5,401,"DistancefromCenterofFairway",2015
96,96,"Steven Alker",22,NA,12059.75,484,"DistancefromCenterofFairway",2015
96,96,"Gonzalo Fdez Castano",28,NA,13615.75,547,"DistancefromCenterofFairway",2015
96,96,"David Hearn",30,NA,18674,750,"DistancefromCenterofFairway",2015
96,96,"Marc Leishman",23,NA,9767,392,"DistancefromCenterofFairway",2015
96,96,"Bryce Molder",26,NA,17704.167,711,"DistancefromCenterofFairway",2015
96,96,"Kevin Na",27,NA,14617.917,586,"DistancefromCenterofFairway",2015
96,96,"Kevin Streelman",27,NA,17242.917,693,"DistancefromCenterofFairway",2015
103,103,"Robert Allenby",25,NA,11140.5,445,"DistancefromCenterofFairway",2015
103,103,"Ricky Barnes",27,NA,11789.333,471,"DistancefromCenterofFairway",2015
103,103,"KJ Choi",19,NA,12348.917,494,"DistancefromCenterofFairway",2015
