"GoingfortheGreenBirdieorBetter_RANKTHISWEEK_2011","GoingfortheGreenBirdieorBetter_RANKLASTWEEK_2011","GoingfortheGreenBirdieorBetter_PLAYERNAME_2011","GoingfortheGreenBirdieorBetter_ROUNDS_2011","GoingfortheGreenBirdieorBetter_Pct_2011","GoingfortheGreenBirdieorBetter_OFBIRDIEORBETTER_2011","GoingfortheGreenBirdieorBetter_ATTEMPTS_2011","GoingfortheGreenBirdieorBetter_RTPSUCCESSES_2011","GoingfortheGreenBirdieorBetter_RTPNOTGOINGFORTHEGRN_2011","stat_name","year"
1,1,"Retief Goosen",50,72.46,50,69,-51,12,"GoingfortheGreenBirdieorBetter",2011
2,2,"Steve Stricker",70,69.15,65,94,-69,-32,"GoingfortheGreenBirdieorBetter",2011
3,3,"Trevor Immelman",84,68.57,72,105,-76,1,"GoingfortheGreenBirdieorBetter",2011
4,4,"Vijay Singh",79,67.91,91,134,-94,-5,"GoingfortheGreenBirdieorBetter",2011
5,5,"Brian Gay",90,67.8,40,59,-41,-46,"GoingfortheGreenBirdieorBetter",2011
6,6,"Adam Scott",60,67.59,73,108,-78,1,"GoingfortheGreenBirdieorBetter",2011
7,7,"Luke Donald",73,67.47,56,83,-58,-30,"GoingfortheGreenBirdieorBetter",2011
8,8,"Justin Rose",79,66.67,92,138,-96,-7,"GoingfortheGreenBirdieorBetter",2011
9,9,"Lucas Glover",74,66.1,78,118,-87,-14,"GoingfortheGreenBirdieorBetter",2011
9,9,"Brandt Snedeker",85,66.1,78,118,-85,-13,"GoingfortheGreenBirdieorBetter",2011
11,11,"Brendon de Jonge",105,65.79,100,152,-105,-16,"GoingfortheGreenBirdieorBetter",2011
12,12,"Bio Kim",71,65.77,73,111,-76,8,"GoingfortheGreenBirdieorBetter",2011
13,13,"Joe Ogilvie",75,65.35,66,101,-71,8,"GoingfortheGreenBirdieorBetter",2011
14,14,"Jerry Kelly",85,65.17,58,89,-63,-21,"GoingfortheGreenBirdieorBetter",2011
15,15,"Phil Mickelson",79,65.1,97,149,-102,0,"GoingfortheGreenBirdieorBetter",2011
16,16,"Jonathan Byrd",83,64.78,103,159,-109,-11,"GoingfortheGreenBirdieorBetter",2011
17,17,"Webb Simpson",98,64.48,118,183,-129,-24,"GoingfortheGreenBirdieorBetter",2011
18,18,"Nate Smith",66,64.41,38,59,-42,-6,"GoingfortheGreenBirdieorBetter",2011
19,19,"Chris Riley",76,63.95,55,86,-58,-13,"GoingfortheGreenBirdieorBetter",2011
20,20,"YE Yang",63,63.75,51,80,-52,0,"GoingfortheGreenBirdieorBetter",2011
21,21,"George McNeill",69,63.48,73,115,-78,4,"GoingfortheGreenBirdieorBetter",2011
22,22,"Jarrod Lyle",83,63.41,78,123,-84,-3,"GoingfortheGreenBirdieorBetter",2011
23,23,"Blake Adams",116,63.37,109,172,-113,-21,"GoingfortheGreenBirdieorBetter",2011
24,24,"Nick OHern",89,63.33,57,90,-61,-37,"GoingfortheGreenBirdieorBetter",2011
25,25,"Dustin Johnson",72,63.23,98,155,-105,11,"GoingfortheGreenBirdieorBetter",2011
26,26,"Andres Romero",77,63.06,99,157,-106,11,"GoingfortheGreenBirdieorBetter",2011
27,27,"Heath Slocum",89,63,63,100,-67,-13,"GoingfortheGreenBirdieorBetter",2011
28,28,"Brendan Steele",89,62.91,95,151,-102,-12,"GoingfortheGreenBirdieorBetter",2011
29,29,"Jason Dufner",78,62.75,64,102,-67,-17,"GoingfortheGreenBirdieorBetter",2011
29,29,"Zach Johnson",79,62.75,64,102,-69,-34,"GoingfortheGreenBirdieorBetter",2011
29,29,"Nick Watney",80,62.75,96,153,-104,-4,"GoingfortheGreenBirdieorBetter",2011
32,32,"Charley Hoffman",93,62.56,132,211,-139,13,"GoingfortheGreenBirdieorBetter",2011
33,33,"Chris Stroud",88,62.33,91,146,-98,-9,"GoingfortheGreenBirdieorBetter",2011
34,34,"DA Points",89,62.16,92,148,-101,-5,"GoingfortheGreenBirdieorBetter",2011
35,35,"Bubba Watson",85,62.03,116,187,-130,2,"GoingfortheGreenBirdieorBetter",2011
36,36,"Josh Teater",104,61.72,129,209,-138,1,"GoingfortheGreenBirdieorBetter",2011
37,37,"Ryuji Imada",83,61.6,77,125,-80,-2,"GoingfortheGreenBirdieorBetter",2011
38,38,"Charles Howell III",108,61.54,112,182,-120,-21,"GoingfortheGreenBirdieorBetter",2011
