"GreensorFringeinRegulation_RANKTHISWEEK_2010","GreensorFringeinRegulation_RANKLASTWEEK_2010","GreensorFringeinRegulation_PLAYERNAME_2010","GreensorFringeinRegulation_ROUNDS_2010","GreensorFringeinRegulation_Pct_2010","GreensorFringeinRegulation_TOTALHIT_2010","GreensorFringeinRegulation_TOTALATTEMPTS_2010","GreensorFringeinRegulation_RTPSCORE_2010","stat_name","year"
1,1,"John Senden",103,77.52,1214,1566,-269,"GreensorFringeinRegulation",2010
2,2,"Charles Warren",64,76.67,759,990,-175,"GreensorFringeinRegulation",2010
3,3,"Joe Durant",67,76.51,785,1026,-178,"GreensorFringeinRegulation",2010
4,4,"Troy Matteson",84,76.28,1071,1404,-219,"GreensorFringeinRegulation",2010
5,5,"Kris Blanks",91,75.83,1010,1332,-191,"GreensorFringeinRegulation",2010
6,6,"DJ Trahan",92,75.68,1117,1476,-263,"GreensorFringeinRegulation",2010
7,7,"Kevin Sutherland",86,75.64,1062,1404,-237,"GreensorFringeinRegulation",2010
8,8,"Cameron Percy",73,75.61,803,1062,-165,"GreensorFringeinRegulation",2010
9,9,"Mark Wilson",87,75.39,1072,1422,-224,"GreensorFringeinRegulation",2010
10,10,"Graham DeLaet",88,75.29,1030,1368,-240,"GreensorFringeinRegulation",2010
11,11,"Garth Mulroy",53,75.26,569,756,-113,"GreensorFringeinRegulation",2010
11,11,"Paul Stankowski",62,75.26,718,954,-186,"GreensorFringeinRegulation",2010
13,13,"Kenny Perry",69,75.1,757,1008,-168,"GreensorFringeinRegulation",2010
14,14,"Bill Haas",87,75.04,1013,1350,-253,"GreensorFringeinRegulation",2010
15,15,"Garrett Willis",82,74.96,958,1278,-215,"GreensorFringeinRegulation",2010
16,16,"Davis Love III",79,74.83,889,1188,-209,"GreensorFringeinRegulation",2010
17,17,"Cameron Tringale",55,74.81,606,810,-118,"GreensorFringeinRegulation",2010
18,18,"Brendon de Jonge",114,74.54,1221,1638,-320,"GreensorFringeinRegulation",2010
18,18,"Chris Stroud",90,74.54,966,1296,-218,"GreensorFringeinRegulation",2010
20,20,"Jonathan Byrd",85,74.53,1100,1476,-263,"GreensorFringeinRegulation",2010
21,21,"Steve Stricker",73,74.4,750,1008,-226,"GreensorFringeinRegulation",2010
22,22,"JJ Henry",92,74.33,1057,1422,-242,"GreensorFringeinRegulation",2010
22,22,"Tom Pernice Jr",74,74.33,776,1044,-174,"GreensorFringeinRegulation",2010
24,24,"Rocco Mediate",71,74.32,816,1098,-160,"GreensorFringeinRegulation",2010
24,24,"Boo Weekley",88,74.32,990,1332,-208,"GreensorFringeinRegulation",2010
26,26,"Nick Watney",91,74.24,922,1242,-261,"GreensorFringeinRegulation",2010
27,27,"Rickie Fowler",98,74.23,1109,1494,-285,"GreensorFringeinRegulation",2010
28,28,"Bo Van Pelt",104,74.2,1162,1566,-304,"GreensorFringeinRegulation",2010
29,29,"Chad Campbell",95,74.14,1081,1458,-254,"GreensorFringeinRegulation",2010
30,30,"John Merrick",109,74.09,1227,1656,-280,"GreensorFringeinRegulation",2010
31,31,"Matt Kuchar",97,74.07,1000,1350,-298,"GreensorFringeinRegulation",2010
32,32,"Briny Baird",87,74.05,1053,1422,-210,"GreensorFringeinRegulation",2010
33,33,"Robert Allenby",76,74.04,813,1098,-223,"GreensorFringeinRegulation",2010
34,34,"Will Ma Kenzie",72,74.02,906,1224,-203,"GreensorFringeinRegulation",2010
35,35,"Steve Elkington",74,74.01,786,1062,-173,"GreensorFringeinRegulation",2010
35,35,"Charles Howell III",103,74.01,1199,1620,-304,"GreensorFringeinRegulation",2010
37,37,"John Rollins",81,74,999,1350,-247,"GreensorFringeinRegulation",2010
38,38,"Brett Quigley",96,73.93,1171,1584,-263,"GreensorFringeinRegulation",2010
39,39,"David Toms",86,73.89,931,1260,-234,"GreensorFringeinRegulation",2010
40,40,"Dean Wilson",54,73.88,625,846,-150,"GreensorFringeinRegulation",2010
41,41,"Jay Williamson",76,73.86,811,1098,-168,"GreensorFringeinRegulation",2010
42,42,"Aron Price",70,73.84,824,1116,-196,"GreensorFringeinRegulation",2010
43,43,"Brett Wetterich",54,73.58,702,954,-167,"GreensorFringeinRegulation",2010
44,44,"Vijay Singh",75,73.56,754,1025,-182,"GreensorFringeinRegulation",2010
45,45,"Mathew Goggin",85,73.54,1006,1368,-221,"GreensorFringeinRegulation",2010
46,46,"Jim Furyk",76,73.52,794,1080,-200,"GreensorFringeinRegulation",2010
47,47,"Jason Bohn",84,73.5,979,1332,-258,"GreensorFringeinRegulation",2010
48,48,"Stewart Cink",84,73.42,859,1170,-218,"GreensorFringeinRegulation",2010
48,48,"Billy Mayfair",78,73.42,859,1170,-163,"GreensorFringeinRegulation",2010
50,50,"Ben Crane",85,73.4,872,1188,-224,"GreensorFringeinRegulation",2010
51,51,"Heath Slocum",97,73.36,964,1314,-218,"GreensorFringeinRegulation",2010
52,52,"Stephen Ames",75,73.35,911,1242,-224,"GreensorFringeinRegulation",2010
53,53,"Ben Curtis",78,73.32,871,1188,-182,"GreensorFringeinRegulation",2010
54,54,"Jerry Kelly",99,73.31,1082,1476,-245,"GreensorFringeinRegulation",2010
55,55,"Ricky Barnes",103,73.29,1095,1494,-271,"GreensorFringeinRegulation",2010
55,55,"Richard Johnson",90,73.29,963,1314,-208,"GreensorFringeinRegulation",2010
57,57,"Henrik Bjornstad",72,73.26,778,1062,-178,"GreensorFringeinRegulation",2010
58,58,"Sean OHair",84,73.25,857,1170,-188,"GreensorFringeinRegulation",2010
59,59,"Mathias Gronberg",61,73.22,659,900,-141,"GreensorFringeinRegulation",2010
60,60,"Greg Owen",69,73.21,817,1116,-164,"GreensorFringeinRegulation",2010
61,61,"Spencer Levin",110,73.19,1291,1764,-315,"GreensorFringeinRegulation",2010
62,62,"Zach Johnson",93,73.11,987,1350,-274,"GreensorFringeinRegulation",2010
63,63,"Hunter Mahan",85,72.97,880,1206,-216,"GreensorFringeinRegulation",2010
64,64,"Roger Tambellini",77,72.94,814,1116,-141,"GreensorFringeinRegulation",2010
65,65,"Brent Delahoussaye",57,72.93,617,846,-115,"GreensorFringeinRegulation",2010
66,66,"Michael Bradley",77,72.88,892,1224,-189,"GreensorFringeinRegulation",2010
67,67,"Robert Garrigus",71,72.84,799,1097,-201,"GreensorFringeinRegulation",2010
67,67,"Cliff Kresge",50,72.84,590,810,-114,"GreensorFringeinRegulation",2010
69,69,"John Mallinger",78,72.65,850,1170,-200,"GreensorFringeinRegulation",2010
