"SubParRounds_RANKTHISWEEK_2012","SubParRounds_RANKLASTWEEK_2012","SubParRounds_PLAYERNAME_2012","SubParRounds_EVENTS_2012","stat_name","year"
1,1,"Brendon de Jonge",31,"SubParRounds",2012
2,2,"Jeff Overton",29,"SubParRounds",2012
3,3,"Ken Duke",30,"SubParRounds",2012
4,4,"Jimmy Walker",28,"SubParRounds",2012
5,5,"Seung Yul Noh",28,"SubParRounds",2012
6,6,"Blake Adams",32,"SubParRounds",2012
7,7,"Charles Howell III",29,"SubParRounds",2012
8,8,"Will Claxton",28,"SubParRounds",2012
8,8,"David Hearn",28,"SubParRounds",2012
8,8,"Scott Piercy",28,"SubParRounds",2012
8,8,"Vijay Singh",27,"SubParRounds",2012
12,12,"Keegan Bradley",25,"SubParRounds",2012
12,12,"Jim Furyk",24,"SubParRounds",2012
12,12,"John Huh",28,"SubParRounds",2012
12,12,"Ryan Moore",24,"SubParRounds",2012
16,16,"William McGirt",30,"SubParRounds",2012
16,16,"Phil Mickelson",22,"SubParRounds",2012
16,16,"Carl Pettersson",26,"SubParRounds",2012
16,16,"Bo Van Pelt",24,"SubParRounds",2012
20,20,"Roberto Castro",27,"SubParRounds",2012
20,20,"Tommy Gainey",32,"SubParRounds",2012
20,20,"Matt Kuchar",22,"SubParRounds",2012
20,20,"DA Points",29,"SubParRounds",2012
24,24,"Bud Cauley",28,"SubParRounds",2012
24,24,"Robert Garrigus",26,"SubParRounds",2012
24,24,"Steve Stricker",19,"SubParRounds",2012
24,24,"Josh Teater",30,"SubParRounds",2012
28,28,"Zach Johnson",25,"SubParRounds",2012
28,28,"Chris Kirk",27,"SubParRounds",2012
28,28,"Sean OHair",24,"SubParRounds",2012
28,28,"Brandt Snedeker",22,"SubParRounds",2012
32,32,"Brian Harman",30,"SubParRounds",2012
32,32,"Jerry Kelly",26,"SubParRounds",2012
32,32,"Kevin Streelman",26,"SubParRounds",2012
32,32,"Johnson Wagner",27,"SubParRounds",2012
32,32,"Nick Watney",26,"SubParRounds",2012
32,32,"Bubba Watson",19,"SubParRounds",2012
38,38,"Jonas Blixt",21,"SubParRounds",2012
38,38,"Jason Dufner",22,"SubParRounds",2012
38,38,"Harris English",27,"SubParRounds",2012
38,38,"Bill Lunde",25,"SubParRounds",2012
38,38,"Chris Stroud",28,"SubParRounds",2012
38,38,"Cameron Tringale",26,"SubParRounds",2012
44,44,"Brian Davis",29,"SubParRounds",2012
44,44,"Martin Flores",30,"SubParRounds",2012
44,44,"Rickie Fowler",23,"SubParRounds",2012
44,44,"Tim Herron",27,"SubParRounds",2012
44,44,"Greg Owen",27,"SubParRounds",2012
44,44,"Ryan Palmer",24,"SubParRounds",2012
44,44,"Pat Perez",23,"SubParRounds",2012
44,44,"Heath Slocum",29,"SubParRounds",2012
52,52,"Brian Gay",28,"SubParRounds",2012
52,52,"Justin Rose",19,"SubParRounds",2012
52,52,"John Senden",22,"SubParRounds",2012
55,55,"JB Holmes",25,"SubParRounds",2012
55,55,"JJ Killeen",33,"SubParRounds",2012
55,55,"Troy Matteson",32,"SubParRounds",2012
55,55,"John Merrick",26,"SubParRounds",2012
55,55,"Webb Simpson",22,"SubParRounds",2012
55,55,"Daniel Summerhays",26,"SubParRounds",2012
55,55,"Charlie Wi",25,"SubParRounds",2012
55,55,"Tiger Woods",19,"SubParRounds",2012
63,63,"JJ Henry",28,"SubParRounds",2012
63,63,"Billy Mayfair",28,"SubParRounds",2012
63,63,"George McNeill",25,"SubParRounds",2012
63,63,"Bryce Molder",25,"SubParRounds",2012
