"FairwayBunkerTendency_RANKTHISWEEK_2005","FairwayBunkerTendency_RANKLASTWEEK_2005","FairwayBunkerTendency_PLAYERNAME_2005","FairwayBunkerTendency_ROUNDS_2005","FairwayBunkerTendency_Pct_2005","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2005","FairwayBunkerTendency_POSSIBLEFWYS_2005","FairwayBunkerTendency_RELATIVETOPAR_2005","stat_name","year"
1,1,"Retief Goosen",71,2.4,15,630,-0.133,"FairwayBunkerTendency",2005
2,2,"Tom Byrum",83,2.7,30,1129,0.267,"FairwayBunkerTendency",2005
2,2,"Fred Funk",102,2.7,34,1239,0.088,"FairwayBunkerTendency",2005
2,2,"Loren Roberts",54,2.7,19,712,0.158,"FairwayBunkerTendency",2005
5,5,"Stephen Leaney",89,2.8,33,1166,0.091,"FairwayBunkerTendency",2005
6,6,"Chris Riley",67,3.2,23,721,0.478,"FairwayBunkerTendency",2005
7,7,"Gavin Coles",70,3.3,32,979,0.313,"FairwayBunkerTendency",2005
8,8,"Bart Bryant",91,3.4,39,1158,0.179,"FairwayBunkerTendency",2005
9,9,"Mathias Gronberg",60,3.5,28,807,0.286,"FairwayBunkerTendency",2005
9,9,"Heath Slocum",103,3.5,47,1325,0.149,"FairwayBunkerTendency",2005
9,9,"Scott Verplank",87,3.5,35,1002,0.314,"FairwayBunkerTendency",2005
9,9,"Jay Williamson",53,3.5,26,739,0.577,"FairwayBunkerTendency",2005
13,13,"Rocco Mediate",73,3.6,34,957,0.294,"FairwayBunkerTendency",2005
13,13,"Hidemichi Tanaka",106,3.6,51,1420,0.235,"FairwayBunkerTendency",2005
15,15,"Stuart Appleby",84,3.7,34,924,0.029,"FairwayBunkerTendency",2005
15,15,"Luke Donald",67,3.7,23,615,0.043,"FairwayBunkerTendency",2005
15,15,"Richard Johnson",50,3.7,25,667,0.12,"FairwayBunkerTendency",2005
15,15,"Skip Kendall",80,3.7,40,1086,0.35,"FairwayBunkerTendency",2005
15,15,"Corey Pavin",77,3.7,36,962,0.25,"FairwayBunkerTendency",2005
15,15,"Omar Uresti",84,3.7,41,1117,0.366,"FairwayBunkerTendency",2005
15,15,"Tjaart van der Walt",56,3.7,29,780,0.276,"FairwayBunkerTendency",2005
22,22,"Joe Durant",81,3.8,40,1046,0.075,"FairwayBunkerTendency",2005
22,22,"Bo Van Pelt",112,3.8,54,1418,0.444,"FairwayBunkerTendency",2005
22,22,"Tiger Woods",76,3.8,31,816,-0.065,"FairwayBunkerTendency",2005
25,25,"Mark Calcavecchia",92,3.9,44,1140,0.341,"FairwayBunkerTendency",2005
25,25,"Jim Carter",62,3.9,33,837,0.424,"FairwayBunkerTendency",2005
25,25,"Alex Cejka",84,3.9,42,1069,0.381,"FairwayBunkerTendency",2005
25,25,"Steve Elkington",67,3.9,32,818,0.219,"FairwayBunkerTendency",2005
25,25,"Billy Mayfair",114,3.9,58,1506,0.31,"FairwayBunkerTendency",2005
25,25,"Justin Rose",99,3.9,52,1324,0.173,"FairwayBunkerTendency",2005
31,31,"Mark Brooks",72,4,39,972,0.205,"FairwayBunkerTendency",2005
31,31,"Brent Geiberger",61,4,32,794,0.188,"FairwayBunkerTendency",2005
31,31,"Jeff Maggert",79,4,36,892,0.278,"FairwayBunkerTendency",2005
31,31,"Kevin Sutherland",89,4,46,1159,0.065,"FairwayBunkerTendency",2005
31,31,"Brett Wetterich",76,4,41,1031,0.244,"FairwayBunkerTendency",2005
36,36,"Olin Browne",99,4.1,52,1263,0.212,"FairwayBunkerTendency",2005
36,36,"Jose Coceres",56,4.1,31,754,0.355,"FairwayBunkerTendency",2005
36,36,"Sean OHair",103,4.1,52,1269,0.25,"FairwayBunkerTendency",2005
36,36,"John Senden",101,4.1,57,1379,0.158,"FairwayBunkerTendency",2005
40,40,"Jeff Hart",63,4.2,36,849,0.222,"FairwayBunkerTendency",2005
40,40,"Charles Howell III",95,4.2,46,1087,0.13,"FairwayBunkerTendency",2005
40,40,"Jerry Kelly",101,4.2,49,1179,0.367,"FairwayBunkerTendency",2005
40,40,"Neal Lancaster",95,4.2,55,1325,0.291,"FairwayBunkerTendency",2005
40,40,"Larry Mize",54,4.2,28,669,0.25,"FairwayBunkerTendency",2005
40,40,"John Rollins",97,4.2,52,1243,0.173,"FairwayBunkerTendency",2005
