"ScramblingAverageDistancetoHole_RANKTHISWEEK_2007","ScramblingAverageDistancetoHole_RANKLASTWEEK_2007","ScramblingAverageDistancetoHole_PLAYERNAME_2007","ScramblingAverageDistancetoHole_ROUNDS_2007","ScramblingAverageDistancetoHole_AVGDTP_2007","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2007","ScramblingAverageDistancetoHole_ATTEMPTS_2007","stat_name","year"
107,107,"Jason Schultz",63,NA,2745.167,312,"ScramblingAverageDistancetoHole",2007
107,107,"Brandt Snedeker",105,NA,3949.917,449,"ScramblingAverageDistancetoHole",2007
107,107,"Jaco Van Zyl",51,NA,2244.333,255,"ScramblingAverageDistancetoHole",2007
119,119,"Stephen Ames",81,NA,2941.5,330,"ScramblingAverageDistancetoHole",2007
119,119,"Bubba Dickerson",51,NA,2326.917,261,"ScramblingAverageDistancetoHole",2007
119,119,"Ken Duke",112,NA,4536.75,510,"ScramblingAverageDistancetoHole",2007
119,119,"Peter Lonard",85,NA,3865.417,432,"ScramblingAverageDistancetoHole",2007
119,119,"George McNeill",95,NA,4066.333,458,"ScramblingAverageDistancetoHole",2007
119,119,"Henrik Stenson",52,NA,1810.917,204,"ScramblingAverageDistancetoHole",2007
125,125,"Cameron Beckman",96,NA,3677.917,410,"ScramblingAverageDistancetoHole",2007
125,125,"Michael Boyd",61,NA,2795.667,312,"ScramblingAverageDistancetoHole",2007
125,125,"Chris DiMarco",79,NA,3215.333,358,"ScramblingAverageDistancetoHole",2007
125,125,"Tripp Isenhour",86,NA,4066,451,"ScramblingAverageDistancetoHole",2007
125,125,"Davis Love III",66,NA,2566,285,"ScramblingAverageDistancetoHole",2007
125,125,"Parker McLachlin",83,NA,4123.75,460,"ScramblingAverageDistancetoHole",2007
125,125,"Rocco Mediate",72,NA,3325,370,"ScramblingAverageDistancetoHole",2007
125,125,"Chris Stroud",66,NA,2660,296,"ScramblingAverageDistancetoHole",2007
125,125,"Kevin Sutherland",85,NA,3379.167,377,"ScramblingAverageDistancetoHole",2007
125,125,"Boo Weekley",101,NA,3960.833,439,"ScramblingAverageDistancetoHole",2007
135,135,"Brendon de Jonge",76,NA,3373.917,372,"ScramblingAverageDistancetoHole",2007
135,135,"Jason Gore",86,NA,3948.5,435,"ScramblingAverageDistancetoHole",2007
135,135,"Cliff Kresge",107,NA,4949.917,545,"ScramblingAverageDistancetoHole",2007
135,135,"Craig Lile",77,NA,3643.75,400,"ScramblingAverageDistancetoHole",2007
