"TotalBirdies_RANKTHISWEEK_2007","TotalBirdies_RANKLASTWEEK_2007","TotalBirdies_PLAYERNAME_2007","TotalBirdies_ROUNDS_2007","TotalBirdies_TOTAL_2007","stat_name","year"
1,1,"Briny Baird",115,411,"TotalBirdies",2007
2,2,"Carl Pettersson",111,401,"TotalBirdies",2007
3,3,"Daniel Chopra",106,389,"TotalBirdies",2007
4,4,"Charles Warren",101,380,"TotalBirdies",2007
5,5,"Steve Marino",106,378,"TotalBirdies",2007
5,5,"Joe Ogilvie",102,378,"TotalBirdies",2007
7,7,"Ryuji Imada",104,377,"TotalBirdies",2007
8,8,"Bo Van Pelt",104,376,"TotalBirdies",2007
9,9,"Tim Petrovic",106,374,"TotalBirdies",2007
10,10,"Ken Duke",112,372,"TotalBirdies",2007
11,11,"Ryan Armour",107,370,"TotalBirdies",2007
11,11,"Brian Gay",107,370,"TotalBirdies",2007
13,13,"Craig Kanada",109,368,"TotalBirdies",2007
14,14,"Lucas Glover",98,366,"TotalBirdies",2007
15,15,"Vijay Singh",102,361,"TotalBirdies",2007
16,16,"Mark Calcavecchia",93,360,"TotalBirdies",2007
16,16,"Cliff Kresge",107,360,"TotalBirdies",2007
18,18,"Brian Davis",101,359,"TotalBirdies",2007
18,18,"Charley Hoffman",97,359,"TotalBirdies",2007
20,20,"Nathan Green",103,355,"TotalBirdies",2007
21,21,"Heath Slocum",101,354,"TotalBirdies",2007
21,21,"Brandt Snedeker",105,354,"TotalBirdies",2007
23,23,"Will Ma Kenzie",100,351,"TotalBirdies",2007
24,24,"Cameron Beckman",96,348,"TotalBirdies",2007
24,24,"Sean OHair",98,348,"TotalBirdies",2007
26,26,"Robert Garrigus",95,347,"TotalBirdies",2007
26,26,"Boo Weekley",101,347,"TotalBirdies",2007
28,28,"Tom Pernice Jr",104,346,"TotalBirdies",2007
28,28,"Bob Tway",103,346,"TotalBirdies",2007
30,30,"Anthony Kim",93,345,"TotalBirdies",2007
