"ConsecutiveHolesBelowPar_RANKTHISWEEK_2012","ConsecutiveHolesBelowPar_RANKLASTWEEK_2012","ConsecutiveHolesBelowPar_PLAYERNAME_2012","ConsecutiveHolesBelowPar_EVENTS_2012","ConsecutiveHolesBelowPar_NUMBEROFHOLES_2012","stat_name","year"
1,1,"Brian Gay",28,7,"ConsecutiveHolesBelowPar",2012
1,1,"Louis Oosthuizen",19,7,"ConsecutiveHolesBelowPar",2012
3,3,"Jonathan Byrd",21,6,"ConsecutiveHolesBelowPar",2012
3,3,"Martin Flores",30,6,"ConsecutiveHolesBelowPar",2012
3,3,"Charley Hoffman",27,6,"ConsecutiveHolesBelowPar",2012
3,3,"Bio Kim",1,6,"ConsecutiveHolesBelowPar",2012
3,3,"Matt Kuchar",22,6,"ConsecutiveHolesBelowPar",2012
3,3,"Ryan Moore",24,6,"ConsecutiveHolesBelowPar",2012
3,3,"DA Points",29,6,"ConsecutiveHolesBelowPar",2012
3,3,"John Rollins",26,6,"ConsecutiveHolesBelowPar",2012
3,3,"Brandt Snedeker",22,6,"ConsecutiveHolesBelowPar",2012
3,3,"Scott Stallings",27,6,"ConsecutiveHolesBelowPar",2012
3,3,"Daniel Summerhays",26,6,"ConsecutiveHolesBelowPar",2012
3,3,"Brendon Todd",29,6,"ConsecutiveHolesBelowPar",2012
3,3,"Tiger Woods",19,6,"ConsecutiveHolesBelowPar",2012
16,16,"Blake Adams",32,5,"ConsecutiveHolesBelowPar",2012
16,16,"Robert Allenby",27,5,"ConsecutiveHolesBelowPar",2012
16,16,"Mark Anderson",25,5,"ConsecutiveHolesBelowPar",2012
16,16,"Aaron Baddeley",22,5,"ConsecutiveHolesBelowPar",2012
16,16,"Matt Bettencourt",31,5,"ConsecutiveHolesBelowPar",2012
16,16,"Jonas Blixt",21,5,"ConsecutiveHolesBelowPar",2012
16,16,"Jason Bohn",28,5,"ConsecutiveHolesBelowPar",2012
16,16,"Greg Chalmers",25,5,"ConsecutiveHolesBelowPar",2012
16,16,"Gary Christian",28,5,"ConsecutiveHolesBelowPar",2012
16,16,"Chad Collins",9,5,"ConsecutiveHolesBelowPar",2012
16,16,"Ben Crane",23,5,"ConsecutiveHolesBelowPar",2012
16,16,"Ben Curtis",19,5,"ConsecutiveHolesBelowPar",2012
16,16,"Ken Duke",30,5,"ConsecutiveHolesBelowPar",2012
16,16,"Robert Garrigus",26,5,"ConsecutiveHolesBelowPar",2012
16,16,"Bill Haas",23,5,"ConsecutiveHolesBelowPar",2012
16,16,"Padraig Harrington",18,5,"ConsecutiveHolesBelowPar",2012
16,16,"Tim Herron",27,5,"ConsecutiveHolesBelowPar",2012
16,16,"Billy Horschel",17,5,"ConsecutiveHolesBelowPar",2012
16,16,"John Huh",28,5,"ConsecutiveHolesBelowPar",2012
16,16,"Ryuji Imada",28,5,"ConsecutiveHolesBelowPar",2012
16,16,"Trevor Immelman",24,5,"ConsecutiveHolesBelowPar",2012
16,16,"Chris Kirk",27,5,"ConsecutiveHolesBelowPar",2012
16,16,"Justin Leonard",26,5,"ConsecutiveHolesBelowPar",2012
16,16,"Zack Miller",12,5,"ConsecutiveHolesBelowPar",2012
16,16,"Garth Mulroy",20,5,"ConsecutiveHolesBelowPar",2012
16,16,"Kevin Na",25,5,"ConsecutiveHolesBelowPar",2012
16,16,"Seung Yul Noh",28,5,"ConsecutiveHolesBelowPar",2012
16,16,"Jeff Overton",29,5,"ConsecutiveHolesBelowPar",2012
16,16,"Carl Pettersson",26,5,"ConsecutiveHolesBelowPar",2012
16,16,"Ted Potter Jr",25,5,"ConsecutiveHolesBelowPar",2012
16,16,"Ian Poulter",15,5,"ConsecutiveHolesBelowPar",2012
16,16,"Vijay Singh",27,5,"ConsecutiveHolesBelowPar",2012
