"Approaches_RANKTHISWEEK_2012","Approaches_RANKLASTWEEK_2012","Approaches_PLAYERNAME_2012","Approaches_ROUNDS_2012","Approaches_AVGRTP_2012","stat_name","year"
94,NA,"Rory Sabbatini",84,0.188,"Approaches",2012
95,NA,"Rocco Mediate",70,0.192,"Approaches",2012
96,NA,"Chris DiMarco",83,0.194,"Approaches",2012
97,NA,"David Hearn",95,0.2,"Approaches",2012
97,NA,"Jeff Maggert",83,0.2,"Approaches",2012
97,NA,"Seung Yul Noh",105,0.2,"Approaches",2012
100,NA,"Johnson Wagner",88,0.206,"Approaches",2012
101,NA,"Chris Couch",61,0.208,"Approaches",2012
102,NA,"Jonas Blixt",72,0.212,"Approaches",2012
103,NA,"Josh Teater",97,0.214,"Approaches",2012
104,NA,"Freddie Jacobson",61,0.217,"Approaches",2012
105,NA,"Nathan Green",73,0.222,"Approaches",2012
105,NA,"Kyle Stanley",86,0.222,"Approaches",2012
105,NA,"Jimmy Walker",101,0.222,"Approaches",2012
108,NA,"Sean OHair",84,0.225,"Approaches",2012
109,NA,"Billy Mayfair",90,0.226,"Approaches",2012
110,NA,"Scott Piercy",95,0.229,"Approaches",2012
111,NA,"Martin Flores",95,0.236,"Approaches",2012
112,NA,"Michael Thompson",80,0.238,"Approaches",2012
113,NA,"Zach Johnson",95,0.24,"Approaches",2012
114,NA,"Charlie Wi",86,0.243,"Approaches",2012
115,NA,"Greg Chalmers",88,0.25,"Approaches",2012
115,NA,"Will Claxton",99,0.25,"Approaches",2012
115,NA,"Chris Kirk",93,0.25,"Approaches",2012
115,NA,"Louis Oosthuizen",65,0.25,"Approaches",2012
119,NA,"Tom Pernice Jr",62,0.263,"Approaches",2012
119,NA,"Scott Stallings",78,0.263,"Approaches",2012
121,NA,"Bud Cauley",99,0.267,"Approaches",2012
122,NA,"Sang Moon Bae",81,0.269,"Approaches",2012
122,NA,"Kevin Kisner",69,0.269,"Approaches",2012
124,NA,"Edward Loar",59,0.273,"Approaches",2012
124,NA,"Davis Love III",64,0.273,"Approaches",2012
124,NA,"Camilo Villegas",79,0.273,"Approaches",2012
127,NA,"Scott Brown",65,0.278,"Approaches",2012
128,NA,"Phil Mickelson",79,0.281,"Approaches",2012
129,NA,"Cameron Beckman",81,0.286,"Approaches",2012
129,NA,"Scott Dunlap",57,0.286,"Approaches",2012
129,NA,"Tommy Gainey",98,0.286,"Approaches",2012
129,NA,"Boo Weekley",74,0.286,"Approaches",2012
133,NA,"Vijay Singh",99,0.289,"Approaches",2012
134,NA,"Gary Woodland",70,0.292,"Approaches",2012
135,NA,"Dicky Pride",62,0.294,"Approaches",2012
136,NA,"Kevin Stadler",85,0.3,"Approaches",2012
137,NA,"Hunter Haas",69,0.304,"Approaches",2012
138,NA,"Troy Matteson",100,0.306,"Approaches",2012
139,NA,"Tiger Woods",69,0.308,"Approaches",2012
140,NA,"Ryan Palmer",81,0.31,"Approaches",2012
141,NA,"Harris English",98,0.313,"Approaches",2012
142,NA,"Ben Curtis",62,0.316,"Approaches",2012
143,NA,"Heath Slocum",93,0.318,"Approaches",2012
144,NA,"Marco Dawson",60,0.32,"Approaches",2012
144,NA,"Bob Estes",78,0.32,"Approaches",2012
146,NA,"Brendon Todd",78,0.321,"Approaches",2012
147,NA,"Russell Knox",72,0.333,"Approaches",2012
147,NA,"Derek Lamely",64,0.333,"Approaches",2012
147,NA,"Graeme McDowell",55,0.333,"Approaches",2012
150,NA,"Bo Van Pelt",84,0.348,"Approaches",2012
151,NA,"Kevin Na",80,0.35,"Approaches",2012
152,NA,"Kevin Chappell",91,0.353,"Approaches",2012
152,NA,"Ryan Moore",89,0.353,"Approaches",2012
154,NA,"Ryuji Imada",78,0.355,"Approaches",2012
155,NA,"David Mathis",83,0.36,"Approaches",2012
156,NA,"Sergio Garcia",57,0.364,"Approaches",2012
156,NA,"Cameron Tringale",88,0.364,"Approaches",2012
158,NA,"Chad Campbell",84,0.367,"Approaches",2012
159,NA,"Billy Hurley III",70,0.371,"Approaches",2012
160,NA,"Jason Dufner",83,0.375,"Approaches",2012
160,NA,"Stephen Gangluff",57,0.375,"Approaches",2012
162,NA,"Hunter Mahan",88,0.385,"Approaches",2012
163,NA,"John Huh",99,0.391,"Approaches",2012
163,NA,"Vaughn Taylor",81,0.391,"Approaches",2012
165,NA,"Carl Pettersson",92,0.394,"Approaches",2012
166,NA,"Charley Hoffman",88,0.405,"Approaches",2012
167,NA,"Nick OHern",78,0.407,"Approaches",2012
167,NA,"Steve Wheatcroft",56,0.407,"Approaches",2012
169,NA,"Trevor Immelman",76,0.409,"Approaches",2012
169,NA,"Kevin Streelman",89,0.409,"Approaches",2012
171,NA,"JJ Henry",93,0.412,"Approaches",2012
172,NA,"George McNeill",85,0.419,"Approaches",2012
172,NA,"Rod Pampling",88,0.419,"Approaches",2012
174,NA,"Kyle Reifers",86,0.421,"Approaches",2012
175,NA,"Arjun Atwal",79,0.423,"Approaches",2012
176,NA,"Lee Westwood",60,0.429,"Approaches",2012
177,NA,"John Mallinger",74,0.435,"Approaches",2012
178,NA,"Brandt Snedeker",81,0.444,"Approaches",2012
179,NA,"Ricky Barnes",92,0.448,"Approaches",2012
180,NA,"YE Yang",64,0.462,"Approaches",2012
181,NA,"Jason Bohn",81,0.474,"Approaches",2012
182,NA,"Richard Lee",71,0.478,"Approaches",2012
183,NA,"Miguel Angel Carballo",73,0.5,"Approaches",2012
184,NA,"Gary Christian",91,0.522,"Approaches",2012
185,NA,"Tom Gillis",75,0.533,"Approaches",2012
185,NA,"Sung Kang",75,0.533,"Approaches",2012
187,NA,"Colt Knost",79,0.552,"Approaches",2012
188,NA,"Tommy Biershenk",74,0.585,"Approaches",2012
189,NA,"Alexandre Rocha",62,0.625,"Approaches",2012
190,NA,"Troy Kelly",68,0.696,"Approaches",2012
191,NA,"Robert Allenby",76,0.762,"Approaches",2012
