"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2013","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2013","BirdieorBetterPercentageRightRough_PLAYERNAME_2013","BirdieorBetterPercentageRightRough_ROUNDS_2013","BirdieorBetterPercentageRightRough_Pct_2013","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2013","BirdieorBetterPercentageRightRough_TOTALHOLES_2013","stat_name","year"
1,1,"Camilo Villegas",79,25.2,31,123,"BirdieorBetterPercentageRightRough",2013
2,2,"Steve Stricker",51,25,14,56,"BirdieorBetterPercentageRightRough",2013
3,3,"Luke List",65,24.76,26,105,"BirdieorBetterPercentageRightRough",2013
4,4,"Dustin Johnson",71,23.02,29,126,"BirdieorBetterPercentageRightRough",2013
5,5,"Jordan Spieth",82,22.61,26,115,"BirdieorBetterPercentageRightRough",2013
6,6,"Webb Simpson",92,21.67,26,120,"BirdieorBetterPercentageRightRough",2013
7,7,"Andres Romero",63,21.65,21,97,"BirdieorBetterPercentageRightRough",2013
8,8,"Luke Guthrie",82,20.87,24,115,"BirdieorBetterPercentageRightRough",2013
9,9,"Shawn Stefani",63,20.22,18,89,"BirdieorBetterPercentageRightRough",2013
10,10,"Sangmoon Bae",83,19.76,33,167,"BirdieorBetterPercentageRightRough",2013
11,11,"Russell Henley",80,19.75,16,81,"BirdieorBetterPercentageRightRough",2013
12,12,"Adam Scott",61,19.72,14,71,"BirdieorBetterPercentageRightRough",2013
13,13,"Stephen Ames",49,19.54,17,87,"BirdieorBetterPercentageRightRough",2013
14,14,"Dicky Pride",71,19.27,21,109,"BirdieorBetterPercentageRightRough",2013
15,15,"Scott Piercy",78,19.23,30,156,"BirdieorBetterPercentageRightRough",2013
16,16,"Chris Stroud",88,19.2,24,125,"BirdieorBetterPercentageRightRough",2013
17,17,"Ernie Els",63,19.1,17,89,"BirdieorBetterPercentageRightRough",2013
18,18,"Harris English",95,18.82,32,170,"BirdieorBetterPercentageRightRough",2013
19,19,"Graham DeLaet",94,18.7,23,123,"BirdieorBetterPercentageRightRough",2013
20,20,"Scott Gardiner",61,18.6,24,129,"BirdieorBetterPercentageRightRough",2013
21,21,"David Lingmerth",68,18.58,21,113,"BirdieorBetterPercentageRightRough",2013
22,22,"Troy Matteson",68,18.42,21,114,"BirdieorBetterPercentageRightRough",2013
23,23,"Cameron Percy",68,18.35,20,109,"BirdieorBetterPercentageRightRough",2013
23,23,"Pat Perez",69,18.35,20,109,"BirdieorBetterPercentageRightRough",2013
25,25,"Michael Bradley",56,18.31,13,71,"BirdieorBetterPercentageRightRough",2013
26,26,"Matt Every",89,18.18,28,154,"BirdieorBetterPercentageRightRough",2013
27,27,"Phil Mickelson",78,18.1,19,105,"BirdieorBetterPercentageRightRough",2013
28,28,"Jason Day",86,17.89,22,123,"BirdieorBetterPercentageRightRough",2013
29,29,"Jason Kokrak",78,17.86,25,140,"BirdieorBetterPercentageRightRough",2013
30,30,"Josh Teater",86,17.83,23,129,"BirdieorBetterPercentageRightRough",2013
31,31,"Freddie Jacobson",63,17.59,19,108,"BirdieorBetterPercentageRightRough",2013
31,31,"Richard Lee",81,17.59,19,108,"BirdieorBetterPercentageRightRough",2013
33,33,"Graeme McDowell",53,17.39,8,46,"BirdieorBetterPercentageRightRough",2013
34,34,"Marc Leishman",77,17.33,26,150,"BirdieorBetterPercentageRightRough",2013
35,35,"Zach Johnson",84,17.02,16,94,"BirdieorBetterPercentageRightRough",2013
36,36,"Keegan Bradley",88,16.92,22,130,"BirdieorBetterPercentageRightRough",2013
37,37,"Matt Jones",83,16.91,23,136,"BirdieorBetterPercentageRightRough",2013
38,38,"Lucas Glover",65,16.87,14,83,"BirdieorBetterPercentageRightRough",2013
39,39,"Charlie Beljan",62,16.82,18,107,"BirdieorBetterPercentageRightRough",2013
40,40,"Kevin Stadler",83,16.67,18,108,"BirdieorBetterPercentageRightRough",2013
40,40,"Mike Weir",60,16.67,21,126,"BirdieorBetterPercentageRightRough",2013
42,42,"Nicholas Thompson",99,16.54,21,127,"BirdieorBetterPercentageRightRough",2013
43,43,"Robert Garrigus",69,16.5,17,103,"BirdieorBetterPercentageRightRough",2013
44,44,"Justin Hicks",79,16.35,17,104,"BirdieorBetterPercentageRightRough",2013
45,45,"Angel Cabrera",73,16.28,21,129,"BirdieorBetterPercentageRightRough",2013
45,45,"Johnson Wagner",64,16.28,14,86,"BirdieorBetterPercentageRightRough",2013
47,47,"Sergio Garcia",65,16.22,12,74,"BirdieorBetterPercentageRightRough",2013
47,47,"Peter Hanson",45,16.22,12,74,"BirdieorBetterPercentageRightRough",2013
49,49,"Jason Bohn",70,16.19,17,105,"BirdieorBetterPercentageRightRough",2013
50,50,"DA Points",87,16.16,16,99,"BirdieorBetterPercentageRightRough",2013
51,51,"Ryan Palmer",79,16.06,22,137,"BirdieorBetterPercentageRightRough",2013
52,52,"Vaughn Taylor",50,16,12,75,"BirdieorBetterPercentageRightRough",2013
53,53,"James Hahn",78,15.94,22,138,"BirdieorBetterPercentageRightRough",2013
54,54,"KJ Choi",85,15.91,14,88,"BirdieorBetterPercentageRightRough",2013
55,55,"Henrik Norlander",70,15.83,19,120,"BirdieorBetterPercentageRightRough",2013
56,56,"Justin Rose",62,15.48,13,84,"BirdieorBetterPercentageRightRough",2013
57,57,"Greg Chalmers",77,15.44,21,136,"BirdieorBetterPercentageRightRough",2013
58,58,"Charles Howell III",87,15.35,31,202,"BirdieorBetterPercentageRightRough",2013
59,59,"Rory Sabbatini",86,15.33,23,150,"BirdieorBetterPercentageRightRough",2013
60,60,"Alistair Presnell",59,15.15,15,99,"BirdieorBetterPercentageRightRough",2013
61,61,"Tom Gillis",69,15.12,13,86,"BirdieorBetterPercentageRightRough",2013
62,62,"Lee Williams",62,14.94,13,87,"BirdieorBetterPercentageRightRough",2013
63,63,"DJ Trahan",48,14.93,10,67,"BirdieorBetterPercentageRightRough",2013
64,64,"Kevin Streelman",86,14.81,16,108,"BirdieorBetterPercentageRightRough",2013
65,65,"Jim Herman",59,14.77,13,88,"BirdieorBetterPercentageRightRough",2013
66,66,"Charley Hoffman",84,14.75,18,122,"BirdieorBetterPercentageRightRough",2013
67,67,"Carl Pettersson",82,14.74,14,95,"BirdieorBetterPercentageRightRough",2013
68,68,"Sean OHair",56,14.68,16,109,"BirdieorBetterPercentageRightRough",2013
69,69,"James Driscoll",76,14.66,17,116,"BirdieorBetterPercentageRightRough",2013
70,70,"Chez Reavie",72,14.61,13,89,"BirdieorBetterPercentageRightRough",2013
71,71,"John Senden",79,14.6,20,137,"BirdieorBetterPercentageRightRough",2013
72,72,"John Huh",88,14.5,19,131,"BirdieorBetterPercentageRightRough",2013
