"LeftRoughProximity_RANKTHISWEEK_2009","LeftRoughProximity_RANKLASTWEEK_2009","LeftRoughProximity_PLAYERNAME_2009","LeftRoughProximity_ROUNDS_2009","LeftRoughProximity_AVG_2009","LeftRoughProximity_ATTEMPTS_2009","LeftRoughProximity_TOTALDISTANCEFEET_2009","LeftRoughProximity_RELATIVETOPAR_2009","stat_name","year"
1,1,"Angel Cabrera",55,NA,87,2849.917,6,"LeftRoughProximity",2009
2,2,"Sergio Garcia",59,NA,82,2838.5,7,"LeftRoughProximity",2009
3,3,"Harrison Frazar",93,NA,153,5486.667,13,"LeftRoughProximity",2009
4,4,"Fred Couples",54,NA,82,2949.167,-7,"LeftRoughProximity",2009
5,5,"YE Yang",83,NA,132,4771.167,14,"LeftRoughProximity",2009
6,6,"Bob Heintz",59,NA,84,3058.25,5,"LeftRoughProximity",2009
6,6,"Vijay Singh",71,NA,92,3352.167,3,"LeftRoughProximity",2009
8,8,"Robert Garrigus",83,NA,108,3968.917,2,"LeftRoughProximity",2009
9,9,"Kirk Triplett",60,NA,55,2055.333,5,"LeftRoughProximity",2009
10,10,"Jay Williamson",69,NA,71,2678.583,15,"LeftRoughProximity",2009
11,11,"Glen Day",79,NA,114,4314.417,11,"LeftRoughProximity",2009
12,12,"Chris DiMarco",97,NA,119,4517.333,20,"LeftRoughProximity",2009
12,12,"Joe Ogilvie",85,NA,171,6497.75,9,"LeftRoughProximity",2009
12,12,"Adam Scott",53,NA,86,3265.083,6,"LeftRoughProximity",2009
15,15,"Ken Duke",87,NA,108,4132.167,7,"LeftRoughProximity",2009
16,16,"Heath Slocum",95,NA,91,3491.333,16,"LeftRoughProximity",2009
16,16,"Casey Wittenberg",71,NA,91,3492,20,"LeftRoughProximity",2009
18,18,"Stephen Ames",77,NA,81,3123.167,3,"LeftRoughProximity",2009
18,18,"Paul Goydos",79,NA,69,2660.083,11,"LeftRoughProximity",2009
20,20,"Greg Chalmers",85,NA,93,3599.667,9,"LeftRoughProximity",2009
21,21,"Sean OHair",80,NA,123,4764.333,7,"LeftRoughProximity",2009
22,22,"Freddie Jacobson",83,NA,132,5127.167,11,"LeftRoughProximity",2009
23,23,"Bo Van Pelt",100,NA,107,4163.5,17,"LeftRoughProximity",2009
24,24,"Kevin Streelman",97,NA,128,5009.667,-6,"LeftRoughProximity",2009
25,25,"Robert Allenby",71,NA,106,4160,0,"LeftRoughProximity",2009
25,25,"Matt Kuchar",82,NA,110,4319.417,-4,"LeftRoughProximity",2009
25,25,"Pat Perez",74,NA,93,3653.417,21,"LeftRoughProximity",2009
28,28,"Steve Flesch",77,NA,132,5208.417,17,"LeftRoughProximity",2009
28,28,"Andres Romero",58,NA,98,3860.333,11,"LeftRoughProximity",2009
30,30,"Geoff Ogilvy",78,NA,96,3793.083,0,"LeftRoughProximity",2009
31,31,"Ben Crane",93,NA,118,4683.583,4,"LeftRoughProximity",2009
31,31,"Tom Lehman",55,NA,47,1863.25,5,"LeftRoughProximity",2009
31,31,"Kenny Perry",92,NA,123,4883.833,-1,"LeftRoughProximity",2009
34,34,"Michael Letzig",96,NA,162,6434.417,17,"LeftRoughProximity",2009
34,34,"Patrick Sheehan",51,NA,55,2187.833,10,"LeftRoughProximity",2009
34,34,"Brandt Snedeker",81,NA,81,3221.417,6,"LeftRoughProximity",2009
37,37,"Anthony Kim",76,NA,115,4602.5,6,"LeftRoughProximity",2009
38,38,"Chris Stroud",88,NA,122,4885.083,23,"LeftRoughProximity",2009
