"StrokeDifferentialFieldAverage_RANKTHISWEEK_2015","StrokeDifferentialFieldAverage_RANKLASTWEEK_2015","StrokeDifferentialFieldAverage_PLAYERNAME_2015","StrokeDifferentialFieldAverage_ROUNDS_2015","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2015","StrokeDifferentialFieldAverage_PLAYERSSCORE_2015","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2015","stat_name","year"
1,1,"Jordan Spieth",91,2.22,69.09,71.31,"StrokeDifferentialFieldAverage",2015
2,2,"Jason Day",75,2.21,68.89,71.1,"StrokeDifferentialFieldAverage",2015
3,3,"Henrik Stenson",63,1.91,69.65,71.56,"StrokeDifferentialFieldAverage",2015
4,4,"Bubba Watson",71,1.88,69.29,71.17,"StrokeDifferentialFieldAverage",2015
5,5,"Dustin Johnson",75,1.58,69.82,71.4,"StrokeDifferentialFieldAverage",2015
6,6,"Justin Rose",69,1.53,69.91,71.44,"StrokeDifferentialFieldAverage",2015
7,7,"Jim Furyk",71,1.51,70.27,71.78,"StrokeDifferentialFieldAverage",2015
8,8,"Hideki Matsuyama",95,1.42,69.84,71.26,"StrokeDifferentialFieldAverage",2015
9,9,"Sergio Garcia",59,1.33,70.3,71.63,"StrokeDifferentialFieldAverage",2015
10,10,"Zach Johnson",90,1.22,69.67,70.89,"StrokeDifferentialFieldAverage",2015
11,11,"Brooks Koepka",84,1.19,69.95,71.14,"StrokeDifferentialFieldAverage",2015
12,12,"Matt Kuchar",97,1.16,69.87,71.03,"StrokeDifferentialFieldAverage",2015
13,13,"Rickie Fowler",76,1.11,70.33,71.44,"StrokeDifferentialFieldAverage",2015
14,14,"Paul Casey",87,1.09,69.77,70.86,"StrokeDifferentialFieldAverage",2015
15,15,"Louis Oosthuizen",68,1.08,70.24,71.32,"StrokeDifferentialFieldAverage",2015
15,15,"Will Wilcox",58,1.08,69.28,70.36,"StrokeDifferentialFieldAverage",2015
17,17,"Kevin Na",98,1.03,70.18,71.21,"StrokeDifferentialFieldAverage",2015
18,18,"Robert Streb",110,0.98,69.86,70.84,"StrokeDifferentialFieldAverage",2015
