"GIRPercentageLess100yards_RANKTHISWEEK_2008","GIRPercentageLess100yards_RANKLASTWEEK_2008","GIRPercentageLess100yards_PLAYERNAME_2008","GIRPercentageLess100yards_ROUNDS_2008","GIRPercentageLess100yards_Pct_2008","GIRPercentageLess100yards_GREENSHIT_2008","GIRPercentageLess100yards_TOTALHOLES_2008","GIRPercentageLess100yards_RELATIVETOPAR_2008","stat_name","year"
1,NA,"Tom Lehman",51,92.31,108,117,-0.49,"GIRPercentageLess100yards",2008
2,NA,"Kevin Sutherland",98,91.84,259,282,-0.53,"GIRPercentageLess100yards",2008
3,NA,"Mike Weir",88,91.83,191,208,-0.54,"GIRPercentageLess100yards",2008
4,NA,"Steve Stricker",75,90.81,168,185,-0.55,"GIRPercentageLess100yards",2008
5,NA,"Jason Gore",94,90.43,255,282,-0.55,"GIRPercentageLess100yards",2008
6,NA,"Bob Tway",70,90.24,148,164,-0.53,"GIRPercentageLess100yards",2008
7,NA,"Ryuji Imada",80,90.15,183,203,-0.51,"GIRPercentageLess100yards",2008
7,NA,"Billy Mayfair",103,90.15,247,274,-0.45,"GIRPercentageLess100yards",2008
9,NA,"Jim Furyk",95,90.13,210,233,-0.51,"GIRPercentageLess100yards",2008
10,NA,"Brenden Pappas",66,90.05,172,191,-0.58,"GIRPercentageLess100yards",2008
11,NA,"David Duval",51,89.92,107,119,-0.44,"GIRPercentageLess100yards",2008
12,NA,"Tom Scherrer",56,89.84,115,128,-0.47,"GIRPercentageLess100yards",2008
13,NA,"Tim Wilkinson",95,89.69,235,262,-0.48,"GIRPercentageLess100yards",2008
14,NA,"Phil Mickelson",80,89.63,216,241,-0.58,"GIRPercentageLess100yards",2008
15,NA,"Justin Bolli",87,89.52,205,229,-0.46,"GIRPercentageLess100yards",2008
15,NA,"Ron Whittaker",54,89.52,94,105,-0.51,"GIRPercentageLess100yards",2008
17,NA,"DJ Trahan",94,89.45,246,275,-0.48,"GIRPercentageLess100yards",2008
18,NA,"Woody Austin",109,89.36,294,329,-0.49,"GIRPercentageLess100yards",2008
19,NA,"Fred Couples",60,89.32,184,206,-0.59,"GIRPercentageLess100yards",2008
20,NA,"Martin Laird",98,89.17,280,314,-0.55,"GIRPercentageLess100yards",2008
21,NA,"Jeff Gove",50,89.15,115,129,-0.5,"GIRPercentageLess100yards",2008
22,NA,"Todd Demsey",80,89.1,188,211,-0.57,"GIRPercentageLess100yards",2008
23,NA,"Scott Sterling",89,89.06,171,192,-0.48,"GIRPercentageLess100yards",2008
24,NA,"Harrison Frazar",73,88.89,224,252,-0.48,"GIRPercentageLess100yards",2008
24,NA,"Bo Van Pelt",101,88.89,280,315,-0.52,"GIRPercentageLess100yards",2008
26,NA,"Shane Bertsch",96,88.64,242,273,-0.47,"GIRPercentageLess100yards",2008
27,NA,"Bill Haas",99,88.59,295,333,-0.53,"GIRPercentageLess100yards",2008
28,NA,"Craig Kanada",65,88.57,124,140,-0.45,"GIRPercentageLess100yards",2008
29,NA,"Geoff Ogilvy",65,88.48,146,165,-0.44,"GIRPercentageLess100yards",2008
30,NA,"Aaron Baddeley",76,88.41,183,207,-0.6,"GIRPercentageLess100yards",2008
30,NA,"Davis Love III",78,88.41,183,207,-0.57,"GIRPercentageLess100yards",2008
32,NA,"Tim Petrovic",97,88.33,227,257,-0.48,"GIRPercentageLess100yards",2008
33,NA,"Adam Scott",51,88.28,113,128,-0.61,"GIRPercentageLess100yards",2008
34,NA,"George McNeill",97,88.27,271,307,-0.55,"GIRPercentageLess100yards",2008
35,NA,"Gavin Coles",54,88.24,105,119,-0.48,"GIRPercentageLess100yards",2008
36,NA,"JP Hayes",67,88.21,172,195,-0.39,"GIRPercentageLess100yards",2008
36,NA,"Dean Wilson",109,88.21,217,246,-0.49,"GIRPercentageLess100yards",2008
38,NA,"Charles Howell III",101,88.15,290,329,-0.54,"GIRPercentageLess100yards",2008
39,NA,"Shigeki Maruyama",50,88.1,111,126,-0.5,"GIRPercentageLess100yards",2008
40,NA,"Stuart Appleby",87,87.85,188,214,-0.49,"GIRPercentageLess100yards",2008
40,NA,"Padraig Harrington",52,87.85,94,107,-0.55,"GIRPercentageLess100yards",2008
42,NA,"Alejandro Canizares",52,87.83,101,115,-0.47,"GIRPercentageLess100yards",2008
43,NA,"Robert Allenby",108,87.76,215,245,-0.51,"GIRPercentageLess100yards",2008
44,NA,"Rocco Mediate",87,87.75,179,204,-0.51,"GIRPercentageLess100yards",2008
45,NA,"Boo Weekley",86,87.73,193,220,-0.49,"GIRPercentageLess100yards",2008
46,NA,"Brian Gay",102,87.71,207,236,-0.56,"GIRPercentageLess100yards",2008
47,NA,"Jerry Kelly",89,87.68,178,203,-0.49,"GIRPercentageLess100yards",2008
