"Back9ScoringAverage_RANKTHISWEEK_2016","Back9ScoringAverage_RANKLASTWEEK_2016","Back9ScoringAverage_PLAYERNAME_2016","Back9ScoringAverage_ROUNDS_2016","Back9ScoringAverage_AVG_2016","Back9ScoringAverage_TOTALSTROKES_2016","Back9ScoringAverage_TOTALHOLES_2016","stat_name","year"
1,1,"Adam Scott",39,34.67,1248,36,"Back9ScoringAverage",2016
2,2,"Lucas Glover",53,34.92,1851,53,"Back9ScoringAverage",2016
2,3,"Marc Leishman",41,34.92,1327,38,"Back9ScoringAverage",2016
4,5,"Chez Reavie",56,34.95,1957,56,"Back9ScoringAverage",2016
5,9,"Hideki Matsuyama",40,35,1295,37,"Back9ScoringAverage",2016
6,5,"Charles Howell III",63,35.03,2207,63,"Back9ScoringAverage",2016
6,12,"Henrik Stenson",30,35.03,1051,30,"Back9ScoringAverage",2016
8,10,"Paul Casey",39,35.06,1262,36,"Back9ScoringAverage",2016
9,7,"Jhonattan Vegas",49,35.08,1719,49,"Back9ScoringAverage",2016
9,8,"Tim Wilkinson",40,35.08,1403,40,"Back9ScoringAverage",2016
11,17,"John Huh",51,35.1,1790,51,"Back9ScoringAverage",2016
12,4,"Emiliano Grillo",47,35.11,1545,44,"Back9ScoringAverage",2016
13,20,"Shane Bertsch",30,35.13,1054,30,"Back9ScoringAverage",2016
13,24,"Rickie Fowler",42,35.13,1370,39,"Back9ScoringAverage",2016
13,14,"Daniel Summerhays",55,35.13,1932,55,"Back9ScoringAverage",2016
16,22,"Bernd Wiesberger",23,35.15,703,20,"Back9ScoringAverage",2016
17,23,"Steve Stricker",25,35.16,879,25,"Back9ScoringAverage",2016
18,24,"Matt Kuchar",46,35.17,1477,42,"Back9ScoringAverage",2016
18,24,"Graeme McDowell",33,35.17,1055,30,"Back9ScoringAverage",2016
20,27,"Roberto Castro",55,35.18,1935,55,"Back9ScoringAverage",2016
21,12,"Alex Cejka",47,35.19,1654,47,"Back9ScoringAverage",2016
21,31,"Patton Kizzire",57,35.19,1865,53,"Back9ScoringAverage",2016
21,15,"Ben Martin",48,35.19,1689,48,"Back9ScoringAverage",2016
21,30,"Bubba Watson",30,35.19,950,27,"Back9ScoringAverage",2016
25,15,"Jason Bohn",37,35.22,1303,37,"Back9ScoringAverage",2016
25,19,"Chad Campbell",54,35.22,1902,54,"Back9ScoringAverage",2016
25,27,"Si Woo Kim",63,35.22,2219,63,"Back9ScoringAverage",2016
25,21,"William McGirt",54,35.22,1902,54,"Back9ScoringAverage",2016
29,17,"Jason Kokrak",52,35.23,1832,52,"Back9ScoringAverage",2016
29,33,"Jordan Spieth",34,35.23,1057,30,"Back9ScoringAverage",2016
29,33,"Andy Sullivan",25,35.23,775,22,"Back9ScoringAverage",2016
32,36,"Jason Day",36,35.24,1022,29,"Back9ScoringAverage",2016
32,36,"Sergio Garcia",28,35.24,881,25,"Back9ScoringAverage",2016
32,36,"Kevin Na",52,35.24,1727,49,"Back9ScoringAverage",2016
35,11,"JB Holmes",39,35.25,1269,36,"Back9ScoringAverage",2016
36,50,"Phil Mickelson",37,35.26,1199,34,"Back9ScoringAverage",2016
36,43,"Ryan Palmer",46,35.26,1622,46,"Back9ScoringAverage",2016
36,43,"Brandt Snedeker",47,35.26,1516,43,"Back9ScoringAverage",2016
39,27,"Spencer Levin",62,35.27,2187,62,"Back9ScoringAverage",2016
40,48,"Aaron Baddeley",51,35.29,1800,51,"Back9ScoringAverage",2016
40,45,"Daniel Berger",52,35.29,1729,49,"Back9ScoringAverage",2016
40,31,"Sean OHair",45,35.29,1588,45,"Back9ScoringAverage",2016
40,48,"Hudson Swafford",52,35.29,1835,52,"Back9ScoringAverage",2016
44,54,"Stewart Cink",45,35.31,1589,45,"Back9ScoringAverage",2016
44,41,"David Hearn",55,35.31,1942,55,"Back9ScoringAverage",2016
44,54,"Russell Knox",48,35.31,1589,45,"Back9ScoringAverage",2016
44,54,"Charl Schwartzel",29,35.31,918,26,"Back9ScoringAverage",2016
48,41,"Bill Haas",42,35.32,1342,38,"Back9ScoringAverage",2016
49,58,"Brendon de Jonge",55,35.33,1943,55,"Back9ScoringAverage",2016
49,50,"Jim Herman",55,35.33,1943,55,"Back9ScoringAverage",2016
49,61,"Louis Oosthuizen",25,35.33,636,18,"Back9ScoringAverage",2016
52,62,"Dustin Johnson",37,35.34,1131,32,"Back9ScoringAverage",2016
53,36,"Kevin Chappell",49,35.35,1732,49,"Back9ScoringAverage",2016
54,50,"Ryan Moore",40,35.37,1238,35,"Back9ScoringAverage",2016
55,33,"Jonas Blixt",46,35.39,1628,46,"Back9ScoringAverage",2016
55,58,"Jason Gore",51,35.39,1805,51,"Back9ScoringAverage",2016
55,67,"Zach Johnson",42,35.39,1345,38,"Back9ScoringAverage",2016
58,58,"Jamie Lovemark",57,35.4,2018,57,"Back9ScoringAverage",2016
59,47,"Harris English",51,35.41,1806,51,"Back9ScoringAverage",2016
