"DrivingAccuracyPercentage_RANKTHISWEEK_2005","DrivingAccuracyPercentage_RANKLASTWEEK_2005","DrivingAccuracyPercentage_PLAYERNAME_2005","DrivingAccuracyPercentage_ROUNDS_2005","DrivingAccuracyPercentage_Pct_2005","DrivingAccuracyPercentage_FAIRWAYSHIT_2005","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2005","stat_name","year"
72,72,"Tom Gillis",77,64.5,674,1045,"DrivingAccuracyPercentage",2005
73,73,"Todd Fischer",99,64.47,871,1351,"DrivingAccuracyPercentage",2005
74,74,"Justin Leonard",78,64.39,680,1056,"DrivingAccuracyPercentage",2005
75,75,"Luke Donald",67,64.34,545,847,"DrivingAccuracyPercentage",2005
76,76,"Tom Lehman",69,64.29,605,941,"DrivingAccuracyPercentage",2005
77,77,"Bob Estes",92,64.22,822,1280,"DrivingAccuracyPercentage",2005
78,78,"Vaughn Taylor",99,64.21,888,1383,"DrivingAccuracyPercentage",2005
79,79,"Charles Warren",89,64.16,777,1211,"DrivingAccuracyPercentage",2005
80,80,"JL Lewis",98,63.95,871,1362,"DrivingAccuracyPercentage",2005
81,81,"Chris Anderson",66,63.7,551,865,"DrivingAccuracyPercentage",2005
82,82,"Bob Tway",87,63.69,742,1165,"DrivingAccuracyPercentage",2005
82,82,"Mike Weir",71,63.69,591,928,"DrivingAccuracyPercentage",2005
84,84,"John Rollins",97,63.68,845,1327,"DrivingAccuracyPercentage",2005
85,85,"Justin Rose",99,63.67,843,1324,"DrivingAccuracyPercentage",2005
86,86,"DA Points",94,63.59,798,1255,"DrivingAccuracyPercentage",2005
87,87,"Harrison Frazar",105,63.49,894,1408,"DrivingAccuracyPercentage",2005
88,88,"Ben Curtis",65,63.41,577,910,"DrivingAccuracyPercentage",2005
89,89,"Kenny Perry",82,63.4,712,1123,"DrivingAccuracyPercentage",2005
90,90,"Billy Andrade",83,63.38,732,1155,"DrivingAccuracyPercentage",2005
91,91,"Ted Purdy",122,63.35,1084,1711,"DrivingAccuracyPercentage",2005
92,92,"Matt Gogel",78,63.3,671,1060,"DrivingAccuracyPercentage",2005
93,93,"Mathias Gronberg",60,63.2,510,807,"DrivingAccuracyPercentage",2005
94,94,"DJ Brigman",76,63.08,634,1005,"DrivingAccuracyPercentage",2005
95,95,"Bill Glasson",54,63.03,457,725,"DrivingAccuracyPercentage",2005
96,96,"Brent Geiberger",61,63.02,518,822,"DrivingAccuracyPercentage",2005
97,97,"Steve Flesch",90,62.93,752,1195,"DrivingAccuracyPercentage",2005
98,98,"Bo Van Pelt",112,62.9,985,1566,"DrivingAccuracyPercentage",2005
99,99,"Tom Pernice Jr",111,62.88,940,1495,"DrivingAccuracyPercentage",2005
100,100,"Marco Dawson",82,62.81,716,1140,"DrivingAccuracyPercentage",2005
101,101,"Frank Lickliter II",100,62.8,839,1336,"DrivingAccuracyPercentage",2005
102,102,"Mark Hensby",70,62.66,604,964,"DrivingAccuracyPercentage",2005
103,103,"Joe Ogilvie",103,62.44,866,1387,"DrivingAccuracyPercentage",2005
104,104,"Michael Long",72,62.36,608,975,"DrivingAccuracyPercentage",2005
105,105,"John Huston",90,62.34,745,1195,"DrivingAccuracyPercentage",2005
106,106,"Steve Lowery",100,62.29,834,1339,"DrivingAccuracyPercentage",2005
107,107,"Glen Day",80,62.28,677,1087,"DrivingAccuracyPercentage",2005
107,107,"Ian Poulter",62,62.28,492,790,"DrivingAccuracyPercentage",2005
109,109,"Robert Allenby",95,62.27,779,1251,"DrivingAccuracyPercentage",2005
110,110,"Glen Hnatiuk",59,62.22,476,765,"DrivingAccuracyPercentage",2005
111,111,"Brian Bateman",98,62.15,811,1305,"DrivingAccuracyPercentage",2005
112,112,"Will Ma Kenzie",75,62.14,632,1017,"DrivingAccuracyPercentage",2005
113,113,"Jason Bohn",91,62.13,786,1265,"DrivingAccuracyPercentage",2005
114,114,"Shaun Micheel",81,62.1,685,1103,"DrivingAccuracyPercentage",2005
115,115,"Charlie Wi",67,62.07,563,907,"DrivingAccuracyPercentage",2005
