"AverageDistanceofPuttsmade_RANKTHISWEEK_2015","AverageDistanceofPuttsmade_RANKLASTWEEK_2015","AverageDistanceofPuttsmade_PLAYERNAME_2015","AverageDistanceofPuttsmade_ROUNDS_2015","AverageDistanceofPuttsmade_AVG_2015","AverageDistanceofPuttsmade_TOTALDISTINCHES_2015","AverageDistanceofPuttsmade_TOTALROUNDS_2015","AverageDistanceofPuttsmade_AVGDIST_2015","AverageDistanceofPuttsmade_BESTROUND_2015","stat_name","year"
1,1,"Camilo Villegas",83,NA,72867,74,NA,NA,"AverageDistanceofPuttsmade",2015
2,2,"Jimmy Walker",89,NA,62461,64,NA,NA,"AverageDistanceofPuttsmade",2015
3,3,"Zac Blair",108,NA,85527,88,NA,NA,"AverageDistanceofPuttsmade",2015
4,4,"Stewart Cink",77,NA,64034,66,NA,NA,"AverageDistanceofPuttsmade",2015
4,4,"Russell Henley",87,NA,64990,67,NA,NA,"AverageDistanceofPuttsmade",2015
6,6,"Billy Horschel",99,NA,70741,73,NA,NA,"AverageDistanceofPuttsmade",2015
7,7,"Henrik Stenson",63,NA,42573,44,NA,NA,"AverageDistanceofPuttsmade",2015
8,8,"Lee Westwood",56,NA,30899,32,NA,NA,"AverageDistanceofPuttsmade",2015
9,9,"Greg Chalmers",58,NA,34662,36,NA,NA,"AverageDistanceofPuttsmade",2015
10,10,"Will Wilcox",58,NA,39406,41,NA,NA,"AverageDistanceofPuttsmade",2015
11,11,"Jason Day",75,NA,54732,57,NA,NA,"AverageDistanceofPuttsmade",2015
11,11,"Brooks Koepka",84,NA,62421,65,NA,NA,"AverageDistanceofPuttsmade",2015
13,13,"Scott Pinckney",88,NA,70864,74,NA,NA,"AverageDistanceofPuttsmade",2015
14,14,"Matt Jones",89,NA,64027,67,NA,NA,"AverageDistanceofPuttsmade",2015
15,15,"Brandt Snedeker",98,NA,71637,75,NA,NA,"AverageDistanceofPuttsmade",2015
16,16,"Aaron Baddeley",76,NA,62914,66,NA,NA,"AverageDistanceofPuttsmade",2015
17,17,"Sean OHair",86,NA,77134,81,NA,NA,"AverageDistanceofPuttsmade",2015
18,18,"Steve Wheatcroft",87,NA,68412,72,NA,NA,"AverageDistanceofPuttsmade",2015
19,19,"Andrew Putnam",68,NA,51196,54,NA,NA,"AverageDistanceofPuttsmade",2015
20,20,"John Huh",102,NA,84138,89,NA,NA,"AverageDistanceofPuttsmade",2015
20,20,"Jordan Spieth",91,NA,62372,66,NA,NA,"AverageDistanceofPuttsmade",2015
22,22,"Jamie Donaldson",50,NA,30182,32,NA,NA,"AverageDistanceofPuttsmade",2015
23,23,"Hudson Swafford",97,NA,78076,83,NA,NA,"AverageDistanceofPuttsmade",2015
