"AverageDistanceofEagleputtsmade_RANKTHISWEEK_2012","AverageDistanceofEagleputtsmade_RANKLASTWEEK_2012","AverageDistanceofEagleputtsmade_PLAYERNAME_2012","AverageDistanceofEagleputtsmade_ROUNDS_2012","AverageDistanceofEagleputtsmade_AVG_2012","AverageDistanceofEagleputtsmade_TOTDISTFT_2012","AverageDistanceofEagleputtsmade_TOTEAGLESPUTTSMADE_2012","AverageDistanceofEagleputtsmade_LONGESTMADEFT_2012","AverageDistanceofEagleputtsmade_SHORTESTMADEFT_2012","stat_name","year"
1,1,"Richard Lee",71,NA,45.417,1,45,45,"AverageDistanceofEagleputtsmade",2012
2,2,"Mark Anderson",75,NA,43.083,1,43,43,"AverageDistanceofEagleputtsmade",2012
2,2,"Trevor Immelman",76,NA,43.083,1,43,43,"AverageDistanceofEagleputtsmade",2012
4,4,"Freddie Jacobson",61,NA,40.417,1,40,40,"AverageDistanceofEagleputtsmade",2012
5,5,"Ian Poulter",57,NA,39.833,1,40,40,"AverageDistanceofEagleputtsmade",2012
6,6,"Matt Jones",53,NA,74.917,2,44,31,"AverageDistanceofEagleputtsmade",2012
7,7,"Charles Howell III",98,NA,373.917,10,69,2,"AverageDistanceofEagleputtsmade",2012
8,8,"Charlie Beljan",61,NA,106.75,3,48,23,"AverageDistanceofEagleputtsmade",2012
9,9,"William McGirt",96,NA,35.5,1,36,36,"AverageDistanceofEagleputtsmade",2012
10,10,"Scott Brown",65,NA,70.583,2,69,2,"AverageDistanceofEagleputtsmade",2012
11,11,"Ben Crane",73,NA,268,8,69,15,"AverageDistanceofEagleputtsmade",2012
12,12,"Troy Kelly",68,NA,200.333,6,72,7,"AverageDistanceofEagleputtsmade",2012
13,13,"Billy Mayfair",90,NA,62.167,2,55,7,"AverageDistanceofEagleputtsmade",2012
14,14,"Matt Bettencourt",80,NA,61.833,2,54,8,"AverageDistanceofEagleputtsmade",2012
14,14,"Tim Herron",88,NA,61.833,2,46,16,"AverageDistanceofEagleputtsmade",2012
16,16,"Jason Bohn",81,NA,60.5,2,47,13,"AverageDistanceofEagleputtsmade",2012
17,17,"Graeme McDowell",55,NA,88.917,3,51,7,"AverageDistanceofEagleputtsmade",2012
18,18,"Cameron Tringale",88,NA,59.167,2,40,20,"AverageDistanceofEagleputtsmade",2012
19,19,"Scott Stallings",78,NA,142.583,5,52,3,"AverageDistanceofEagleputtsmade",2012
20,20,"Rocco Mediate",70,NA,186.583,7,56,2,"AverageDistanceofEagleputtsmade",2012
21,21,"Dustin Johnson",70,NA,79.417,3,64,7,"AverageDistanceofEagleputtsmade",2012
22,22,"Billy Hurley III",70,NA,52,2,43,9,"AverageDistanceofEagleputtsmade",2012
23,23,"Jonas Blixt",72,NA,177.25,7,59,5,"AverageDistanceofEagleputtsmade",2012
24,24,"Mathew Goggin",65,NA,75.75,3,41,12,"AverageDistanceofEagleputtsmade",2012
25,25,"Martin Flores",95,NA,49.5,2,28,22,"AverageDistanceofEagleputtsmade",2012
