"EarlyRound4ScoringAverage_RANKTHISWEEK_2006","EarlyRound4ScoringAverage_RANKLASTWEEK_2006","EarlyRound4ScoringAverage_PLAYERNAME_2006","EarlyRound4ScoringAverage__2006","EarlyRound4ScoringAverage_AVG_2006","EarlyRound4ScoringAverage_TOTALSTROKES_2006","EarlyRound4ScoringAverage_TOTALROUNDS_2006","stat_name","year"
1,1,"Jim Furyk",NA,66,66,1,"EarlyRound4ScoringAverage",2006
2,2,"Steve Elkington",NA,68.5,274,4,"EarlyRound4ScoringAverage",2006
2,2,"Len Mattiace",NA,68.5,137,2,"EarlyRound4ScoringAverage",2006
4,4,"Briny Baird",NA,69,138,2,"EarlyRound4ScoringAverage",2006
5,5,"Retief Goosen",NA,69.33,208,3,"EarlyRound4ScoringAverage",2006
6,6,"Billy Mayfair",NA,69.4,694,10,"EarlyRound4ScoringAverage",2006
7,7,"Brett Quigley",NA,69.5,278,4,"EarlyRound4ScoringAverage",2006
8,8,"Joe Ogilvie",NA,69.67,627,9,"EarlyRound4ScoringAverage",2006
9,9,"Jeff Gove",NA,69.75,558,8,"EarlyRound4ScoringAverage",2006
9,9,"Shaun Micheel",NA,69.75,558,8,"EarlyRound4ScoringAverage",2006
11,11,"Arron Oberholser",NA,69.78,628,9,"EarlyRound4ScoringAverage",2006
12,12,"Trevor Immelman",NA,69.8,349,5,"EarlyRound4ScoringAverage",2006
12,12,"Jesper Parnevik",NA,69.8,698,10,"EarlyRound4ScoringAverage",2006
12,12,"Steve Stricker",NA,69.8,349,5,"EarlyRound4ScoringAverage",2006
15,15,"Stewart Cink",NA,69.9,699,10,"EarlyRound4ScoringAverage",2006
16,16,"Paul Azinger",NA,70,700,10,"EarlyRound4ScoringAverage",2006
16,16,"Lucas Glover",NA,70,420,6,"EarlyRound4ScoringAverage",2006
16,16,"Padraig Harrington",NA,70,350,5,"EarlyRound4ScoringAverage",2006
16,16,"Jimmy Walker",NA,70,350,5,"EarlyRound4ScoringAverage",2006
20,20,"Brian Gay",NA,70.08,841,12,"EarlyRound4ScoringAverage",2006
21,21,"Aaron Baddeley",NA,70.13,561,8,"EarlyRound4ScoringAverage",2006
21,21,"Vijay Singh",NA,70.13,561,8,"EarlyRound4ScoringAverage",2006
23,23,"Kent Jones",NA,70.15,912,13,"EarlyRound4ScoringAverage",2006
24,24,"Skip Kendall",NA,70.17,421,6,"EarlyRound4ScoringAverage",2006
24,24,"Phil Mickelson",NA,70.17,421,6,"EarlyRound4ScoringAverage",2006
24,24,"Tom Pernice Jr",NA,70.17,421,6,"EarlyRound4ScoringAverage",2006
27,27,"Dudley Hart",NA,70.22,632,9,"EarlyRound4ScoringAverage",2006
28,28,"Stuart Appleby",NA,70.25,562,8,"EarlyRound4ScoringAverage",2006
28,28,"Brian Davis",NA,70.25,843,12,"EarlyRound4ScoringAverage",2006
28,28,"Brent Geiberger",NA,70.25,843,12,"EarlyRound4ScoringAverage",2006
31,31,"Brett Wetterich",NA,70.29,492,7,"EarlyRound4ScoringAverage",2006
32,32,"Jeff Brehaut",NA,70.33,633,9,"EarlyRound4ScoringAverage",2006
33,33,"Hunter Mahan",NA,70.36,774,11,"EarlyRound4ScoringAverage",2006
34,34,"Ryuji Imada",NA,70.42,845,12,"EarlyRound4ScoringAverage",2006
35,35,"Stephen Ames",NA,70.43,493,7,"EarlyRound4ScoringAverage",2006
35,35,"Stephen Leaney",NA,70.43,493,7,"EarlyRound4ScoringAverage",2006
37,37,"Eric Axley",NA,70.44,634,9,"EarlyRound4ScoringAverage",2006
38,38,"Greg Chalmers",NA,70.5,423,6,"EarlyRound4ScoringAverage",2006
38,38,"Chris Riley",NA,70.5,423,6,"EarlyRound4ScoringAverage",2006
38,38,"Duffy Waldorf",NA,70.5,846,12,"EarlyRound4ScoringAverage",2006
41,41,"Fred Funk",NA,70.55,776,11,"EarlyRound4ScoringAverage",2006
42,42,"JJ Henry",NA,70.56,635,9,"EarlyRound4ScoringAverage",2006
43,43,"Geoff Ogilvy",NA,70.57,494,7,"EarlyRound4ScoringAverage",2006
44,44,"Jonathan Byrd",NA,70.6,353,5,"EarlyRound4ScoringAverage",2006
44,44,"Greg Owen",NA,70.6,353,5,"EarlyRound4ScoringAverage",2006
46,46,"John Senden",NA,70.62,918,13,"EarlyRound4ScoringAverage",2006
47,47,"Ben Curtis",NA,70.67,848,12,"EarlyRound4ScoringAverage",2006
