"FirstTeeEarlyPar3ScoringAverage_RANKTHISWEEK_2015","FirstTeeEarlyPar3ScoringAverage_RANKLASTWEEK_2015","FirstTeeEarlyPar3ScoringAverage_PLAYERNAME_2015","FirstTeeEarlyPar3ScoringAverage_ROUNDS_2015","FirstTeeEarlyPar3ScoringAverage_AVG_2015","FirstTeeEarlyPar3ScoringAverage_TOTALSTROKES_2015","FirstTeeEarlyPar3ScoringAverage_TOTALHOLES_2015","stat_name","year"
1,1,"Jim Furyk",71,2.85,131,46,"FirstTeeEarlyPar3ScoringAverage",2015
2,2,"Jason Day",75,2.89,127,44,"FirstTeeEarlyPar3ScoringAverage",2015
2,2,"Jerry Kelly",79,2.89,318,110,"FirstTeeEarlyPar3ScoringAverage",2015
2,2,"Johnson Wagner",68,2.89,162,56,"FirstTeeEarlyPar3ScoringAverage",2015
5,5,"Rickie Fowler",76,2.92,152,52,"FirstTeeEarlyPar3ScoringAverage",2015
5,5,"Hideki Matsuyama",95,2.92,272,93,"FirstTeeEarlyPar3ScoringAverage",2015
7,7,"Sergio Garcia",59,2.93,88,30,"FirstTeeEarlyPar3ScoringAverage",2015
7,7,"Dustin Johnson",75,2.93,176,60,"FirstTeeEarlyPar3ScoringAverage",2015
9,9,"Jonathan Byrd",69,2.94,182,62,"FirstTeeEarlyPar3ScoringAverage",2015
9,9,"Russell Knox",96,2.94,315,107,"FirstTeeEarlyPar3ScoringAverage",2015
11,11,"Steven Alker",62,2.95,254,86,"FirstTeeEarlyPar3ScoringAverage",2015
11,11,"Webb Simpson",81,2.95,310,105,"FirstTeeEarlyPar3ScoringAverage",2015
11,11,"Michael Thompson",83,2.95,322,109,"FirstTeeEarlyPar3ScoringAverage",2015
11,11,"Tyrone Van Aswegen",58,2.95,230,78,"FirstTeeEarlyPar3ScoringAverage",2015
15,15,"Chad Campbell",97,2.96,335,113,"FirstTeeEarlyPar3ScoringAverage",2015
15,15,"Retief Goosen",81,2.96,311,105,"FirstTeeEarlyPar3ScoringAverage",2015
15,15,"Luke Guthrie",84,2.96,320,108,"FirstTeeEarlyPar3ScoringAverage",2015
15,15,"Brooks Koepka",84,2.96,222,75,"FirstTeeEarlyPar3ScoringAverage",2015
15,15,"Michael Putnam",87,2.96,349,118,"FirstTeeEarlyPar3ScoringAverage",2015
15,15,"Chez Reavie",56,2.96,225,76,"FirstTeeEarlyPar3ScoringAverage",2015
21,21,"Brice Garnett",81,2.97,309,104,"FirstTeeEarlyPar3ScoringAverage",2015
21,21,"David Hearn",97,2.97,395,133,"FirstTeeEarlyPar3ScoringAverage",2015
21,21,"Jim Herman",88,2.97,273,92,"FirstTeeEarlyPar3ScoringAverage",2015
21,21,"Sean OHair",86,2.97,229,77,"FirstTeeEarlyPar3ScoringAverage",2015
21,21,"John Peterson",84,2.97,392,132,"FirstTeeEarlyPar3ScoringAverage",2015
21,21,"Jimmy Walker",89,2.97,273,92,"FirstTeeEarlyPar3ScoringAverage",2015
27,27,"Aaron Baddeley",76,2.98,361,121,"FirstTeeEarlyPar3ScoringAverage",2015
27,27,"Scott Brown",97,2.98,379,127,"FirstTeeEarlyPar3ScoringAverage",2015
27,27,"Graham DeLaet",65,2.98,280,94,"FirstTeeEarlyPar3ScoringAverage",2015
27,27,"Bryce Molder",91,2.98,381,128,"FirstTeeEarlyPar3ScoringAverage",2015
27,27,"Vijay Singh",78,2.98,411,138,"FirstTeeEarlyPar3ScoringAverage",2015
27,27,"Henrik Stenson",63,2.98,125,42,"FirstTeeEarlyPar3ScoringAverage",2015
27,27,"Nick Taylor",91,2.98,355,119,"FirstTeeEarlyPar3ScoringAverage",2015
27,27,"David Toms",62,2.98,164,55,"FirstTeeEarlyPar3ScoringAverage",2015
27,27,"Jhonattan Vegas",90,2.98,265,89,"FirstTeeEarlyPar3ScoringAverage",2015
27,27,"Bubba Watson",71,2.98,122,41,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Daniel Berger",97,2.99,299,100,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Jonas Blixt",78,2.99,227,76,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Jason Bohn",95,2.99,302,101,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Brian Davis",86,2.99,308,103,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Gonzalo Fdez Castano",81,2.99,227,76,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Andres Gonzales",90,2.99,341,114,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Billy Hurley III",83,2.99,311,104,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Colt Knost",90,2.99,278,93,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Danny Lee",120,2.99,430,144,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"George McNeill",93,2.99,403,135,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Scott Piercy",90,2.99,395,132,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Robert Streb",110,2.99,409,137,"FirstTeeEarlyPar3ScoringAverage",2015
37,37,"Bo Van Pelt",81,2.99,275,92,"FirstTeeEarlyPar3ScoringAverage",2015
50,50,"Ricky Barnes",82,3,216,72,"FirstTeeEarlyPar3ScoringAverage",2015
50,50,"Keegan Bradley",87,3,300,100,"FirstTeeEarlyPar3ScoringAverage",2015
50,50,"Greg Chalmers",58,3,252,84,"FirstTeeEarlyPar3ScoringAverage",2015
50,50,"Brendon de Jonge",106,3,441,147,"FirstTeeEarlyPar3ScoringAverage",2015
50,50,"Jason Gore",76,3,285,95,"FirstTeeEarlyPar3ScoringAverage",2015
50,50,"Jeff Overton",94,3,267,89,"FirstTeeEarlyPar3ScoringAverage",2015
50,50,"Patrick Reed",103,3,240,80,"FirstTeeEarlyPar3ScoringAverage",2015
50,50,"Chris Stroud",84,3,351,117,"FirstTeeEarlyPar3ScoringAverage",2015
50,50,"Will Wilcox",58,3,225,75,"FirstTeeEarlyPar3ScoringAverage",2015
59,59,"Whee Kim",71,3.01,220,73,"FirstTeeEarlyPar3ScoringAverage",2015
59,59,"Matt Kuchar",97,3.01,244,81,"FirstTeeEarlyPar3ScoringAverage",2015
59,59,"William McGirt",103,3.01,424,141,"FirstTeeEarlyPar3ScoringAverage",2015
59,59,"Kevin Na",98,3.01,304,101,"FirstTeeEarlyPar3ScoringAverage",2015
59,59,"Brendon Todd",96,3.01,391,130,"FirstTeeEarlyPar3ScoringAverage",2015
59,59,"Camilo Villegas",83,3.01,373,124,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"Alex Cejka",94,3.02,377,125,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"Harris English",105,3.02,423,140,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"James Hahn",94,3.02,401,133,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"Billy Horschel",99,3.02,263,87,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"Mark Hubbard",79,3.02,257,85,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"Zach Johnson",90,3.02,166,55,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"Marc Leishman",74,3.02,245,81,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"Francesco Molinari",56,3.02,178,59,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"SJ Park",79,3.02,284,94,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"Kyle Reifers",96,3.02,486,161,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"Sam Saunders",83,3.02,284,94,"FirstTeeEarlyPar3ScoringAverage",2015
65,65,"Justin Thomas",106,3.02,329,109,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"Zac Blair",108,3.03,467,154,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"Steven Bowditch",103,3.03,497,164,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"KJ Choi",66,3.03,270,89,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"Fabian Gomez",83,3.03,303,100,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"Russell Henley",87,3.03,333,110,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"Martin Laird",77,3.03,306,101,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"Scott Langley",94,3.03,400,132,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"Scott Pinckney",88,3.03,279,92,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"Jonathan Randolph",72,3.03,185,61,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"Roger Sloan",56,3.03,88,29,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"Kevin Streelman",95,3.03,440,145,"FirstTeeEarlyPar3ScoringAverage",2015
77,77,"Daniel Summerhays",101,3.03,434,143,"FirstTeeEarlyPar3ScoringAverage",2015
89,89,"Roberto Castro",54,3.04,210,69,"FirstTeeEarlyPar3ScoringAverage",2015
89,89,"Kevin Chappell",86,3.04,377,124,"FirstTeeEarlyPar3ScoringAverage",2015
89,89,"Chad Collins",79,3.04,258,85,"FirstTeeEarlyPar3ScoringAverage",2015
