"LeftRoughProximity_RANKTHISWEEK_2016","LeftRoughProximity_RANKLASTWEEK_2016","LeftRoughProximity_PLAYERNAME_2016","LeftRoughProximity_ROUNDS_2016","LeftRoughProximity_AVG_2016","LeftRoughProximity_ATTEMPTS_2016","LeftRoughProximity_TOTALDISTANCEFEET_2016","LeftRoughProximity_RELATIVETOPAR_2016","stat_name","year"
1,1,"Shane Lowry",35,NA,21,639.25,2,"LeftRoughProximity",2016
1,1,"DJ Trahan",23,NA,22,668.333,4,"LeftRoughProximity",2016
3,3,"Dustin Johnson",37,NA,45,1484.083,-1,"LeftRoughProximity",2016
4,6,"Andrew Landry",24,NA,14,484.083,0,"LeftRoughProximity",2016
5,7,"Dicky Pride",33,NA,30,1040.417,3,"LeftRoughProximity",2016
6,8,"Abraham Ancer",26,NA,25,867.833,6,"LeftRoughProximity",2016
7,5,"Jason Kokrak",52,NA,88,3068.5,2,"LeftRoughProximity",2016
8,10,"Branden Grace",31,NA,30,1080.5,-7,"LeftRoughProximity",2016
9,11,"Andres Romero",22,NA,23,831.5,-2,"LeftRoughProximity",2016
10,12,"Smylie Kaufman",57,NA,75,2734.75,-6,"LeftRoughProximity",2016
10,12,"Bryce Molder",50,NA,43,1569.333,4,"LeftRoughProximity",2016
10,12,"Cameron Percy",22,NA,20,730.75,2,"LeftRoughProximity",2016
13,17,"Charley Hoffman",49,NA,50,1828.917,5,"LeftRoughProximity",2016
14,22,"Justin Hicks",26,NA,38,1394,8,"LeftRoughProximity",2016
15,19,"Lucas Lee",22,NA,16,589.583,8,"LeftRoughProximity",2016
15,12,"Patrick Rodgers",49,NA,69,2538.917,1,"LeftRoughProximity",2016
15,23,"Boo Weekley",53,NA,57,2097.667,6,"LeftRoughProximity",2016
18,12,"Rory McIlroy",37,NA,38,1414.917,-3,"LeftRoughProximity",2016
19,4,"Brian Stuard",24,NA,37,1382.75,-1,"LeftRoughProximity",2016
20,21,"Shane Bertsch",30,NA,38,1420.417,6,"LeftRoughProximity",2016
21,24,"Jerry Kelly",44,NA,46,1737.167,5,"LeftRoughProximity",2016
22,9,"Scott Langley",41,NA,42,1590.5,0,"LeftRoughProximity",2016
23,19,"Jason Gore",51,NA,70,2671.75,5,"LeftRoughProximity",2016
24,18,"Luke Donald",49,NA,90,3440.083,12,"LeftRoughProximity",2016
25,40,"Geoff Ogilvy",37,NA,50,1922.333,4,"LeftRoughProximity",2016
26,31,"Ken Duke",26,NA,32,1232,-1,"LeftRoughProximity",2016
27,25,"Johnson Wagner",44,NA,61,2354.583,5,"LeftRoughProximity",2016
28,38,"Colt Knost",56,NA,63,2437.583,9,"LeftRoughProximity",2016
29,32,"Brice Garnett",29,NA,21,814.5,5,"LeftRoughProximity",2016
29,32,"Ryan Palmer",46,NA,71,2753.167,1,"LeftRoughProximity",2016
31,27,"Webb Simpson",34,NA,60,2334.5,2,"LeftRoughProximity",2016
32,53,"Rob Oppenheim",37,NA,51,1995.167,4,"LeftRoughProximity",2016
33,36,"Brian Gay",22,NA,27,1060.417,4,"LeftRoughProximity",2016
33,37,"Andrew Loupe",50,NA,88,3451.917,-1,"LeftRoughProximity",2016
35,34,"Jeff Overton",51,NA,61,2403.25,10,"LeftRoughProximity",2016
35,82,"David Toms",38,NA,33,1300.25,-4,"LeftRoughProximity",2016
37,27,"Kyle Reifers",63,NA,74,2922.667,7,"LeftRoughProximity",2016
37,30,"Dawie van der Walt",48,NA,71,2804.083,12,"LeftRoughProximity",2016
39,35,"Nick Taylor",57,NA,71,2808.667,14,"LeftRoughProximity",2016
40,46,"Martin Laird",46,NA,74,2934,9,"LeftRoughProximity",2016
40,59,"Mark Wilson",42,NA,51,2021.667,2,"LeftRoughProximity",2016
42,41,"Zac Blair",56,NA,60,2391.667,10,"LeftRoughProximity",2016
42,41,"Kevin Na",52,NA,55,2190.25,1,"LeftRoughProximity",2016
44,26,"Francesco Molinari",36,NA,34,1363.5,1,"LeftRoughProximity",2016
45,52,"DH Lee",35,NA,54,2178.75,15,"LeftRoughProximity",2016
46,47,"Scott Piercy",45,NA,51,2062.667,-1,"LeftRoughProximity",2016
47,49,"Stewart Cink",45,NA,75,3038.583,6,"LeftRoughProximity",2016
48,59,"Jamie Lovemark",57,NA,101,4097.75,9,"LeftRoughProximity",2016
48,50,"Brandt Snedeker",47,NA,62,2514.083,4,"LeftRoughProximity",2016
48,104,"Gary Woodland",45,NA,77,3126.333,-8,"LeftRoughProximity",2016
51,67,"Jamie Donaldson",28,NA,48,1953.667,5,"LeftRoughProximity",2016
52,59,"Matt Every",34,NA,50,2035.583,3,"LeftRoughProximity",2016
53,59,"JJ Henry",44,NA,75,3060.5,3,"LeftRoughProximity",2016
54,57,"Carl Pettersson",31,NA,76,3119.167,10,"LeftRoughProximity",2016
54,57,"Chez Reavie",56,NA,70,2873.083,9,"LeftRoughProximity",2016
54,44,"Shawn Stefani",45,NA,70,2876.417,9,"LeftRoughProximity",2016
57,39,"Brendon de Jonge",55,NA,86,3538.25,9,"LeftRoughProximity",2016
57,59,"Hudson Swafford",52,NA,75,3090,4,"LeftRoughProximity",2016
59,65,"Jimmy Walker",43,NA,65,2680.667,2,"LeftRoughProximity",2016
60,74,"Adam Hadwin",53,NA,87,3596.833,18,"LeftRoughProximity",2016
60,59,"Steve Marino",40,NA,39,1612.833,9,"LeftRoughProximity",2016
60,82,"Sean OHair",45,NA,60,2480.667,7,"LeftRoughProximity",2016
63,73,"Henrik Norlander",41,NA,48,1992.667,12,"LeftRoughProximity",2016
63,67,"Darron Stiles",28,NA,24,995.083,4,"LeftRoughProximity",2016
65,74,"Greg Owen",56,NA,86,3577.333,11,"LeftRoughProximity",2016
66,50,"Byeong Hun An",23,NA,20,833.75,1,"LeftRoughProximity",2016
66,81,"Kelly Kraft",35,NA,35,1459.333,5,"LeftRoughProximity",2016
68,55,"Charles Howell III",63,NA,101,4213.75,12,"LeftRoughProximity",2016
68,71,"Graeme McDowell",33,NA,28,1167.917,9,"LeftRoughProximity",2016
70,142,"Alex Cejka",47,NA,56,2343.333,8,"LeftRoughProximity",2016
70,94,"Ben Crane",48,NA,65,2718,4,"LeftRoughProximity",2016
70,54,"Cameron Smith",45,NA,49,2051,8,"LeftRoughProximity",2016
70,97,"Robert Streb",51,NA,62,2594.083,5,"LeftRoughProximity",2016
70,29,"Tim Wilkinson",40,NA,51,2133.917,-1,"LeftRoughProximity",2016
75,74,"Billy Horschel",45,NA,62,2598.25,1,"LeftRoughProximity",2016
76,66,"Michael Kim",62,NA,76,3191.167,5,"LeftRoughProximity",2016
76,56,"Hideki Matsuyama",40,NA,54,2270.167,6,"LeftRoughProximity",2016
78,80,"David Hearn",55,NA,61,2568.833,10,"LeftRoughProximity",2016
79,102,"Paul Casey",39,NA,39,1643.083,4,"LeftRoughProximity",2016
79,82,"Hiroshi Iwata",51,NA,63,2654.083,15,"LeftRoughProximity",2016
81,82,"Aaron Baddeley",51,NA,64,2704.333,1,"LeftRoughProximity",2016
81,107,"Justin Rose",35,NA,47,1984.583,5,"LeftRoughProximity",2016
83,104,"Patrick Reed",53,NA,51,2165.25,2,"LeftRoughProximity",2016
84,86,"Spencer Levin",62,NA,95,4037.583,12,"LeftRoughProximity",2016
85,96,"Tyler Aldridge",53,NA,80,3407.333,19,"LeftRoughProximity",2016
85,89,"James Hahn",45,NA,69,2938.917,2,"LeftRoughProximity",2016
