"ConsecutiveGIR_RANKTHISWEEK_2014","ConsecutiveGIR_RANKLASTWEEK_2014","ConsecutiveGIR_PLAYERNAME_2014","ConsecutiveGIR_EVENTS_2014","ConsecutiveGIR_STREAK_2014","ConsecutiveGIR_CURRENTSTREAK_2014","ConsecutiveGIR_ROUND_2014","ConsecutiveGIR_HOLE_2014","ConsecutiveGIR_YEARTOURN_2014","stat_name","year"
1,1,"Tim Clark",26,28,NA,2,17,2014390,"ConsecutiveGIR",2014
2,2,"Kevin Chappell",28,27,3,1,7,2014280,"ConsecutiveGIR",2014
2,2,"Jim Furyk",21,27,1,1,5,2014410,"ConsecutiveGIR",2014
2,2,"Jamie Lovemark",20,27,2,1,1,2014360,"ConsecutiveGIR",2014
2,2,"Andrew Svoboda",24,27,NA,2,10,2014200,"ConsecutiveGIR",2014
6,6,"Martin Laird",20,26,NA,4,6,2014130,"ConsecutiveGIR",2014
7,7,"Daniel Summerhays",27,25,1,2,14,2014280,"ConsecutiveGIR",2014
7,7,"Boo Weekley",24,25,3,2,1,2014110,"ConsecutiveGIR",2014
9,9,"Graham DeLaet",24,24,3,2,14,2014280,"ConsecutiveGIR",2014
9,9,"David Hearn",28,24,NA,2,15,2014200,"ConsecutiveGIR",2014
9,9,"Justin Hicks",30,24,6,3,8,2014060,"ConsecutiveGIR",2014
9,9,"Andrew Loupe",22,24,1,1,4,2014160,"ConsecutiveGIR",2014
9,9,"Jhonattan Vegas",23,24,NA,4,6,2014020,"ConsecutiveGIR",2014
14,14,"Matt Every",26,23,7,3,6,2014130,"ConsecutiveGIR",2014
14,14,"Hudson Swafford",26,23,5,4,13,2014120,"ConsecutiveGIR",2014
16,16,"Mark Calcavecchia",8,22,1,2,15,2014050,"ConsecutiveGIR",2014
16,16,"Stewart Cink",25,22,3,1,10,2014140,"ConsecutiveGIR",2014
16,16,"Ken Duke",25,22,2,4,6,2014040,"ConsecutiveGIR",2014
16,16,"Morgan Hoffmann",32,22,NA,2,15,2014140,"ConsecutiveGIR",2014
16,16,"Zach Johnson",26,22,1,3,18,2014390,"ConsecutiveGIR",2014
16,16,"Martin Kaymer",19,22,2,3,10,2014040,"ConsecutiveGIR",2014
16,16,"Rory McIlroy",17,22,7,1,16,2014040,"ConsecutiveGIR",2014
16,16,"John Rollins",28,22,NA,1,13,2014360,"ConsecutiveGIR",2014
16,16,"Justin Rose",19,22,1,3,12,2014040,"ConsecutiveGIR",2014
16,16,"Webb Simpson",25,22,NA,1,3,2014020,"ConsecutiveGIR",2014
16,16,"Brian Stuard",29,22,1,1,4,2014130,"ConsecutiveGIR",2014
27,27,"Robert Karlsson",7,21,1,3,18,2014050,"ConsecutiveGIR",2014
