"TenthTeeEarlyRound3ScoringAverage_RANKTHISWEEK_2009","TenthTeeEarlyRound3ScoringAverage_RANKLASTWEEK_2009","TenthTeeEarlyRound3ScoringAverage_PLAYERNAME_2009","TenthTeeEarlyRound3ScoringAverage__2009","TenthTeeEarlyRound3ScoringAverage_AVG_2009","TenthTeeEarlyRound3ScoringAverage_TOTALSTROKES_2009","TenthTeeEarlyRound3ScoringAverage_TOTALROUNDS_2009","stat_name","year"
1,1,"Steve Stricker",NA,61,61,1,"TenthTeeEarlyRound3ScoringAverage",2009
2,2,"Tommy Armour III",NA,64,64,1,"TenthTeeEarlyRound3ScoringAverage",2009
2,2,"Charley Hoffman",NA,64,64,1,"TenthTeeEarlyRound3ScoringAverage",2009
2,2,"Zach Johnson",NA,64,64,1,"TenthTeeEarlyRound3ScoringAverage",2009
5,5,"Lucas Glover",NA,65,65,1,"TenthTeeEarlyRound3ScoringAverage",2009
5,5,"Carl Pettersson",NA,65,65,1,"TenthTeeEarlyRound3ScoringAverage",2009
7,7,"Spencer Levin",NA,66,66,1,"TenthTeeEarlyRound3ScoringAverage",2009
7,7,"Bryce Molder",NA,66,66,1,"TenthTeeEarlyRound3ScoringAverage",2009
7,7,"Vaughn Taylor",NA,66,132,2,"TenthTeeEarlyRound3ScoringAverage",2009
10,10,"Bob Estes",NA,66.5,133,2,"TenthTeeEarlyRound3ScoringAverage",2009
10,10,"DA Points",NA,66.5,133,2,"TenthTeeEarlyRound3ScoringAverage",2009
12,12,"Marc Leishman",NA,66.67,200,3,"TenthTeeEarlyRound3ScoringAverage",2009
13,13,"Hunter Mahan",NA,66.75,267,4,"TenthTeeEarlyRound3ScoringAverage",2009
14,14,"David Mathis",NA,67,67,1,"TenthTeeEarlyRound3ScoringAverage",2009
14,14,"Scott Sterling",NA,67,67,1,"TenthTeeEarlyRound3ScoringAverage",2009
16,16,"Chris Riley",NA,67.33,202,3,"TenthTeeEarlyRound3ScoringAverage",2009
16,16,"Gary Woodland",NA,67.33,202,3,"TenthTeeEarlyRound3ScoringAverage",2009
18,18,"Steve Flesch",NA,67.5,135,2,"TenthTeeEarlyRound3ScoringAverage",2009
18,18,"Corey Pavin",NA,67.5,135,2,"TenthTeeEarlyRound3ScoringAverage",2009
20,20,"Jonathan Byrd",NA,67.8,339,5,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Brad Adamonis",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Aaron Baddeley",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Angel Cabrera",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Luke Donald",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Mathew Goggin",NA,68,204,3,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Lee Janzen",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Matt Kuchar",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Martin Laird",NA,68,136,2,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Will Ma Kenzie",NA,68,136,2,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"George McNeill",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Leif Olson",NA,68,136,2,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Rory Sabbatini",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"John Senden",NA,68,136,2,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Bubba Watson",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2009
21,21,"Matt Weibring",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2009
36,36,"Tim Petrovic",NA,68.33,205,3,"TenthTeeEarlyRound3ScoringAverage",2009
37,37,"Jeff Quinney",NA,68.4,342,5,"TenthTeeEarlyRound3ScoringAverage",2009
38,38,"Cameron Beckman",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2009
38,38,"Rich Beem",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2009
38,38,"Kris Blanks",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2009
38,38,"Chris DiMarco",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2009
38,38,"Steve Marino",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2009
38,38,"Chez Reavie",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2009
38,38,"Darron Stiles",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2009
38,38,"Brendon Todd",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2009
46,46,"David Toms",NA,68.67,206,3,"TenthTeeEarlyRound3ScoringAverage",2009
47,47,"Colt Knost",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2009
47,47,"Peter Lonard",NA,69,276,4,"TenthTeeEarlyRound3ScoringAverage",2009
47,47,"Scott McCarron",NA,69,276,4,"TenthTeeEarlyRound3ScoringAverage",2009
47,47,"Rocco Mediate",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2009
47,47,"Pat Perez",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2009
47,47,"DJ Trahan",NA,69,276,4,"TenthTeeEarlyRound3ScoringAverage",2009
47,47,"Mike Weir",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2009
54,54,"Brendon de Jonge",NA,69.25,277,4,"TenthTeeEarlyRound3ScoringAverage",2009
55,55,"John Rollins",NA,69.33,208,3,"TenthTeeEarlyRound3ScoringAverage",2009
56,56,"JJ Henry",NA,69.4,347,5,"TenthTeeEarlyRound3ScoringAverage",2009
57,57,"John Mallinger",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2009
57,57,"Brandt Snedeker",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2009
57,57,"Kevin Streelman",NA,69.5,278,4,"TenthTeeEarlyRound3ScoringAverage",2009
57,57,"Chris Stroud",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2009
61,61,"Michael Letzig",NA,69.6,348,5,"TenthTeeEarlyRound3ScoringAverage",2009
61,61,"Ted Purdy",NA,69.6,348,5,"TenthTeeEarlyRound3ScoringAverage",2009
63,63,"Webb Simpson",NA,69.75,279,4,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Chad Campbell",NA,70,210,3,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Daniel Chopra",NA,70,280,4,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Stewart Cink",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Tim Clark",NA,70,140,2,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Ben Crane",NA,70,210,3,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Brian Davis",NA,70,350,5,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Glen Day",NA,70,140,2,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Harrison Frazar",NA,70,280,4,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Robert Garrigus",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Paul Goydos",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Tim Herron",NA,70,210,3,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Jeff Klauk",NA,70,420,6,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Cliff Kresge",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Bill Lunde",NA,70,210,3,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Ryan Palmer",NA,70,140,2,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Aron Price",NA,70,210,3,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Kirk Triplett",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2009
64,64,"Nick Watney",NA,70,140,2,"TenthTeeEarlyRound3ScoringAverage",2009
82,82,"Charles Howell III",NA,70.25,281,4,"TenthTeeEarlyRound3ScoringAverage",2009
82,82,"Tom Pernice Jr",NA,70.25,281,4,"TenthTeeEarlyRound3ScoringAverage",2009
84,84,"Joe Durant",NA,70.33,211,3,"TenthTeeEarlyRound3ScoringAverage",2009
84,84,"Kevin Na",NA,70.33,211,3,"TenthTeeEarlyRound3ScoringAverage",2009
84,84,"Greg Owen",NA,70.33,211,3,"TenthTeeEarlyRound3ScoringAverage",2009
84,84,"YE Yang",NA,70.33,211,3,"TenthTeeEarlyRound3ScoringAverage",2009
88,88,"Dean Wilson",NA,70.4,352,5,"TenthTeeEarlyRound3ScoringAverage",2009
89,89,"Ryuji Imada",NA,70.5,141,2,"TenthTeeEarlyRound3ScoringAverage",2009
89,89,"Charles Warren",NA,70.5,141,2,"TenthTeeEarlyRound3ScoringAverage",2009
89,89,"Mark Wilson",NA,70.5,141,2,"TenthTeeEarlyRound3ScoringAverage",2009
92,92,"Jarrod Lyle",NA,70.67,212,3,"TenthTeeEarlyRound3ScoringAverage",2009
93,93,"Tag Ridings",NA,70.75,283,4,"TenthTeeEarlyRound3ScoringAverage",2009
94,94,"Ricky Barnes",NA,71,71,1,"TenthTeeEarlyRound3ScoringAverage",2009
