"AveragePuttingDistanceGIR2Putts_RANKTHISWEEK_2016","AveragePuttingDistanceGIR2Putts_RANKLASTWEEK_2016","AveragePuttingDistanceGIR2Putts_PLAYERNAME_2016","AveragePuttingDistanceGIR2Putts_ROUNDS_2016","AveragePuttingDistanceGIR2Putts_AVG_2016","AveragePuttingDistanceGIR2Putts_DISTANCEFEET_2016","AveragePuttingDistanceGIR2Putts_TOTALPUTTS_2016","stat_name","year"
1,1,"Jamie Donaldson",28,NA,4723,159,"AveragePuttingDistanceGIR2Putts",2016
2,2,"Matthew Fitzpatrick",23,NA,2486.75,86,"AveragePuttingDistanceGIR2Putts",2016
3,3,"Patton Kizzire",57,NA,9922.083,354,"AveragePuttingDistanceGIR2Putts",2016
3,4,"Andy Sullivan",25,NA,3580.25,128,"AveragePuttingDistanceGIR2Putts",2016
5,5,"Jordan Spieth",34,NA,4075.083,146,"AveragePuttingDistanceGIR2Putts",2016
6,7,"Brian Harman",60,NA,9716.25,349,"AveragePuttingDistanceGIR2Putts",2016
7,6,"Harris English",51,NA,7930.583,286,"AveragePuttingDistanceGIR2Putts",2016
8,8,"Retief Goosen",37,NA,6937,252,"AveragePuttingDistanceGIR2Putts",2016
9,9,"Billy Horschel",45,NA,7619.333,278,"AveragePuttingDistanceGIR2Putts",2016
10,11,"Jon Curran",55,NA,8316.917,305,"AveragePuttingDistanceGIR2Putts",2016
11,9,"Sung Kang",51,NA,9009.167,332,"AveragePuttingDistanceGIR2Putts",2016
11,15,"Martin Laird",46,NA,8187.333,301,"AveragePuttingDistanceGIR2Putts",2016
13,20,"Bill Haas",42,NA,6802.167,251,"AveragePuttingDistanceGIR2Putts",2016
14,12,"Charles Howell III",63,NA,11378.917,422,"AveragePuttingDistanceGIR2Putts",2016
14,15,"Scott Langley",41,NA,6837,253,"AveragePuttingDistanceGIR2Putts",2016
14,15,"Louis Oosthuizen",25,NA,2454.5,91,"AveragePuttingDistanceGIR2Putts",2016
17,24,"Steven Bowditch",40,NA,5401.417,201,"AveragePuttingDistanceGIR2Putts",2016
17,21,"Stewart Cink",45,NA,7760.833,289,"AveragePuttingDistanceGIR2Putts",2016
17,12,"Ernie Els",34,NA,5148.167,192,"AveragePuttingDistanceGIR2Putts",2016
17,21,"Sergio Garcia",28,NA,3134.833,117,"AveragePuttingDistanceGIR2Putts",2016
17,12,"Patrick Rodgers",49,NA,9258.083,345,"AveragePuttingDistanceGIR2Putts",2016
17,30,"John Senden",48,NA,8748.917,326,"AveragePuttingDistanceGIR2Putts",2016
17,21,"Steve Stricker",25,NA,4082.167,152,"AveragePuttingDistanceGIR2Putts",2016
24,25,"Henrik Stenson",30,NA,4088.75,153,"AveragePuttingDistanceGIR2Putts",2016
25,25,"Rickie Fowler",42,NA,7718.417,289,"AveragePuttingDistanceGIR2Putts",2016
26,15,"Andrew Loupe",50,NA,8027.333,302,"AveragePuttingDistanceGIR2Putts",2016
26,32,"Hunter Mahan",43,NA,6326.167,238,"AveragePuttingDistanceGIR2Putts",2016
26,46,"Daniel Summerhays",55,NA,8769.083,330,"AveragePuttingDistanceGIR2Putts",2016
29,30,"Adam Hadwin",53,NA,10649.833,402,"AveragePuttingDistanceGIR2Putts",2016
29,42,"Ben Martin",48,NA,8374.333,316,"AveragePuttingDistanceGIR2Putts",2016
31,32,"Branden Grace",31,NA,4041.583,153,"AveragePuttingDistanceGIR2Putts",2016
31,28,"Morgan Hoffmann",43,NA,6736.917,255,"AveragePuttingDistanceGIR2Putts",2016
31,32,"Matt Kuchar",46,NA,6861.583,260,"AveragePuttingDistanceGIR2Putts",2016
