"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2009","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2009","FirstTeeEarlyScoringAverage_PLAYERNAME_2009","FirstTeeEarlyScoringAverage_ROUNDS_2009","FirstTeeEarlyScoringAverage_AVG_2009","FirstTeeEarlyScoringAverage_TOTALSTROKES_2009","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2009","stat_name","year"
1,1,"Bryce Molder",69,68.76,1169,17,"FirstTeeEarlyScoringAverage",2009
2,2,"Tim Clark",81,68.96,1655,24,"FirstTeeEarlyScoringAverage",2009
3,3,"Kevin Stadler",65,69.15,1383,20,"FirstTeeEarlyScoringAverage",2009
4,4,"Justin Leonard",95,69.22,1592,23,"FirstTeeEarlyScoringAverage",2009
5,5,"Scott Piercy",85,69.24,1454,21,"FirstTeeEarlyScoringAverage",2009
6,6,"Greg Chalmers",85,69.3,1386,20,"FirstTeeEarlyScoringAverage",2009
7,7,"Tiger Woods",64,69.33,416,6,"FirstTeeEarlyScoringAverage",2009
8,8,"Fred Couples",54,69.36,763,11,"FirstTeeEarlyScoringAverage",2009
9,9,"Charley Hoffman",97,69.44,2500,36,"FirstTeeEarlyScoringAverage",2009
10,10,"Geoff Ogilvy",78,69.47,1181,17,"FirstTeeEarlyScoringAverage",2009
11,11,"Bo Van Pelt",100,69.57,2435,35,"FirstTeeEarlyScoringAverage",2009
12,12,"Scott Verplank",88,69.67,1881,27,"FirstTeeEarlyScoringAverage",2009
13,13,"Chris Stroud",88,69.68,1324,19,"FirstTeeEarlyScoringAverage",2009
14,14,"Matt Kuchar",82,69.74,1604,23,"FirstTeeEarlyScoringAverage",2009
15,15,"Bob Heintz",59,69.81,1117,16,"FirstTeeEarlyScoringAverage",2009
16,16,"Corey Pavin",73,69.85,1886,27,"FirstTeeEarlyScoringAverage",2009
17,17,"Steve Stricker",81,69.88,1118,16,"FirstTeeEarlyScoringAverage",2009
18,18,"Robert Allenby",71,69.92,1748,25,"FirstTeeEarlyScoringAverage",2009
19,19,"Ben Crane",93,69.93,2098,30,"FirstTeeEarlyScoringAverage",2009
19,19,"Davis Love III",89,69.93,2098,30,"FirstTeeEarlyScoringAverage",2009
21,21,"James Nitties",86,69.95,1399,20,"FirstTeeEarlyScoringAverage",2009
