"FairwayApproachRTPScore_RANKTHISWEEK_2015","FairwayApproachRTPScore_RANKLASTWEEK_2015","FairwayApproachRTPScore_PLAYERNAME_2015","FairwayApproachRTPScore_ROUNDS_2015","FairwayApproachRTPScore_AVGRTP_2015","stat_name","year"
1,1,"Jason Day",75,-0.2,"FairwayApproachRTPScore",2015
2,2,"Justin Rose",69,-0.183,"FairwayApproachRTPScore",2015
3,3,"Jordan Spieth",91,-0.176,"FairwayApproachRTPScore",2015
4,4,"Robert Streb",110,-0.165,"FairwayApproachRTPScore",2015
5,5,"Bubba Watson",71,-0.164,"FairwayApproachRTPScore",2015
6,6,"Henrik Stenson",63,-0.158,"FairwayApproachRTPScore",2015
7,7,"Hideki Matsuyama",95,-0.152,"FairwayApproachRTPScore",2015
8,8,"Dustin Johnson",75,-0.146,"FairwayApproachRTPScore",2015
8,8,"Justin Thomas",106,-0.146,"FairwayApproachRTPScore",2015
10,10,"JB Holmes",89,-0.145,"FairwayApproachRTPScore",2015
11,11,"Jimmy Walker",89,-0.144,"FairwayApproachRTPScore",2015
12,12,"Will Wilcox",58,-0.143,"FairwayApproachRTPScore",2015
13,13,"Rickie Fowler",76,-0.142,"FairwayApproachRTPScore",2015
14,14,"Sergio Garcia",59,-0.14,"FairwayApproachRTPScore",2015
15,15,"Zach Johnson",90,-0.135,"FairwayApproachRTPScore",2015
16,16,"Russell Henley",87,-0.13,"FairwayApproachRTPScore",2015
17,17,"Matt Kuchar",97,-0.129,"FairwayApproachRTPScore",2015
18,18,"Paul Casey",87,-0.127,"FairwayApproachRTPScore",2015
19,19,"Danny Lee",120,-0.122,"FairwayApproachRTPScore",2015
19,19,"Lee Westwood",56,-0.122,"FairwayApproachRTPScore",2015
21,21,"Matt Jones",89,-0.12,"FairwayApproachRTPScore",2015
22,22,"Kevin Na",98,-0.118,"FairwayApproachRTPScore",2015
22,22,"Patrick Rodgers",57,-0.118,"FairwayApproachRTPScore",2015
24,24,"Jason Bohn",95,-0.116,"FairwayApproachRTPScore",2015
24,24,"Brendon Todd",96,-0.116,"FairwayApproachRTPScore",2015
26,26,"Jonathan Byrd",69,-0.115,"FairwayApproachRTPScore",2015
27,27,"Brooks Koepka",84,-0.114,"FairwayApproachRTPScore",2015
28,28,"Aaron Baddeley",76,-0.113,"FairwayApproachRTPScore",2015
29,29,"Whee Kim",71,-0.112,"FairwayApproachRTPScore",2015
30,30,"Steven Alker",62,-0.111,"FairwayApproachRTPScore",2015
30,30,"Daniel Berger",97,-0.111,"FairwayApproachRTPScore",2015
30,30,"Scott Piercy",90,-0.111,"FairwayApproachRTPScore",2015
33,33,"Steven Bowditch",103,-0.11,"FairwayApproachRTPScore",2015
33,33,"Tom Hoge",83,-0.11,"FairwayApproachRTPScore",2015
