"Back9ScoringAverage_RANKTHISWEEK_2006","Back9ScoringAverage_RANKLASTWEEK_2006","Back9ScoringAverage_PLAYERNAME_2006","Back9ScoringAverage_ROUNDS_2006","Back9ScoringAverage_AVG_2006","Back9ScoringAverage_TOTALSTROKES_2006","Back9ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Tiger Woods",55,34.23,1780,52,"Back9ScoringAverage",2006
2,2,"Jonathan Byrd",66,34.79,2296,66,"Back9ScoringAverage",2006
3,3,"Jim Furyk",89,34.81,3063,88,"Back9ScoringAverage",2006
4,4,"Steve Stricker",64,34.92,2165,62,"Back9ScoringAverage",2006
5,5,"Justin Rose",98,35.05,3330,95,"Back9ScoringAverage",2006
6,6,"Brian Gay",107,35.11,3757,107,"Back9ScoringAverage",2006
7,7,"Phil Mickelson",74,35.12,2423,69,"Back9ScoringAverage",2006
8,8,"Joe Durant",101,35.13,3548,101,"Back9ScoringAverage",2006
9,9,"Trevor Immelman",86,35.14,3022,86,"Back9ScoringAverage",2006
10,10,"Adam Scott",70,35.15,2390,68,"Back9ScoringAverage",2006
10,10,"Vijay Singh",103,35.15,3515,100,"Back9ScoringAverage",2006
12,12,"Brett Quigley",109,35.16,3692,105,"Back9ScoringAverage",2006
13,13,"Arron Oberholser",82,35.22,2782,79,"Back9ScoringAverage",2006
14,14,"Stephen Ames",63,35.24,2185,62,"Back9ScoringAverage",2006
15,15,"Luke Donald",66,35.25,2221,63,"Back9ScoringAverage",2006
15,15,"Brent Geiberger",99,35.25,3419,97,"Back9ScoringAverage",2006
17,17,"Robert Allenby",79,35.26,2715,77,"Back9ScoringAverage",2006
17,17,"Ryuji Imada",105,35.26,3597,102,"Back9ScoringAverage",2006
19,19,"Briny Baird",81,35.27,2716,77,"Back9ScoringAverage",2006
20,20,"Daniel Chopra",110,35.28,3775,107,"Back9ScoringAverage",2006
21,21,"Billy Andrade",78,35.31,2613,74,"Back9ScoringAverage",2006
22,22,"Frank Lickliter II",99,35.34,3428,97,"Back9ScoringAverage",2006
22,22,"Hunter Mahan",98,35.34,3463,98,"Back9ScoringAverage",2006
22,22,"Bob May",65,35.34,2191,62,"Back9ScoringAverage",2006
22,22,"Jeff Overton",95,35.34,3287,93,"Back9ScoringAverage",2006
22,22,"Ryan Palmer",101,35.34,3499,99,"Back9ScoringAverage",2006
22,22,"Nick Watney",97,35.34,3357,95,"Back9ScoringAverage",2006
28,28,"Kris Cox",83,35.36,2864,81,"Back9ScoringAverage",2006
28,28,"Jerry Kelly",100,35.36,3536,100,"Back9ScoringAverage",2006
30,30,"Jason Bohn",104,35.37,3678,104,"Back9ScoringAverage",2006
30,30,"Jesper Parnevik",84,35.37,2971,84,"Back9ScoringAverage",2006
32,32,"KJ Choi",93,35.38,3255,92,"Back9ScoringAverage",2006
33,33,"Fred Funk",106,35.39,3716,105,"Back9ScoringAverage",2006
34,34,"Jonathan Kaye",95,35.41,3258,92,"Back9ScoringAverage",2006
35,35,"Omar Uresti",61,35.42,2090,59,"Back9ScoringAverage",2006
36,36,"David Toms",76,35.43,2445,69,"Back9ScoringAverage",2006
37,37,"Stewart Cink",93,35.44,3119,88,"Back9ScoringAverage",2006
37,37,"Bernhard Langer",77,35.44,2552,72,"Back9ScoringAverage",2006
39,39,"Greg Owen",79,35.45,2730,77,"Back9ScoringAverage",2006
40,40,"Mathew Goggin",72,35.46,2482,70,"Back9ScoringAverage",2006
41,41,"Woody Austin",107,35.47,3795,107,"Back9ScoringAverage",2006
41,41,"Brian Davis",92,35.47,3192,90,"Back9ScoringAverage",2006
41,41,"John Rollins",93,35.47,3228,91,"Back9ScoringAverage",2006
44,44,"Bob Estes",85,35.48,3016,85,"Back9ScoringAverage",2006
44,44,"Shaun Micheel",96,35.48,3300,93,"Back9ScoringAverage",2006
46,46,"Jeff Gove",91,35.49,3088,87,"Back9ScoringAverage",2006
46,46,"Joe Ogilvie",95,35.49,3230,91,"Back9ScoringAverage",2006
48,48,"Freddie Jacobson",56,35.5,1988,56,"Back9ScoringAverage",2006
48,48,"Shigeki Maruyama",94,35.5,3266,92,"Back9ScoringAverage",2006
48,48,"Geoff Ogilvy",76,35.5,2485,70,"Back9ScoringAverage",2006
48,48,"Jose Maria Olazabal",62,35.5,2059,58,"Back9ScoringAverage",2006
52,52,"Charley Hoffman",100,35.51,3480,98,"Back9ScoringAverage",2006
52,52,"Corey Pavin",74,35.51,2486,70,"Back9ScoringAverage",2006
52,52,"Carl Pettersson",95,35.51,3302,93,"Back9ScoringAverage",2006
52,52,"John Senden",96,35.51,3302,93,"Back9ScoringAverage",2006
52,52,"Heath Slocum",96,35.51,3302,93,"Back9ScoringAverage",2006
52,52,"Tjaart van der Walt",60,35.51,2024,57,"Back9ScoringAverage",2006
58,58,"Paul Azinger",87,35.52,3090,87,"Back9ScoringAverage",2006
58,58,"Stephen Leaney",84,35.52,2984,84,"Back9ScoringAverage",2006
58,58,"Bubba Watson",83,35.52,2806,79,"Back9ScoringAverage",2006
61,61,"Steve Flesch",119,35.53,4086,115,"Back9ScoringAverage",2006
61,61,"Mike Weir",88,35.53,3020,85,"Back9ScoringAverage",2006
63,63,"Arjun Atwal",97,35.54,3376,95,"Back9ScoringAverage",2006
63,63,"Harrison Frazar",95,35.54,3234,91,"Back9ScoringAverage",2006
63,63,"Steve Jones",83,35.54,2914,82,"Back9ScoringAverage",2006
63,63,"Kevin Sutherland",100,35.54,3412,96,"Back9ScoringAverage",2006
63,63,"Bo Van Pelt",102,35.54,3625,102,"Back9ScoringAverage",2006
68,68,"Chris Smith",67,35.55,2382,67,"Back9ScoringAverage",2006
68,68,"Jerry Smith",94,35.55,3271,92,"Back9ScoringAverage",2006
68,68,"Scott Verplank",88,35.55,3057,86,"Back9ScoringAverage",2006
71,71,"Ernie Els",69,35.56,2276,64,"Back9ScoringAverage",2006
71,71,"Chris Riley",86,35.56,2916,82,"Back9ScoringAverage",2006
73,73,"David Branshaw",98,35.57,3486,98,"Back9ScoringAverage",2006
73,73,"John Cook",67,35.57,2383,67,"Back9ScoringAverage",2006
73,73,"Steve Elkington",52,35.57,1814,51,"Back9ScoringAverage",2006
73,73,"JJ Henry",96,35.57,3308,93,"Back9ScoringAverage",2006
73,73,"Justin Leonard",83,35.57,2810,79,"Back9ScoringAverage",2006
73,73,"Tom Pernice Jr",108,35.57,3699,104,"Back9ScoringAverage",2006
73,73,"Charles Warren",93,35.57,3201,90,"Back9ScoringAverage",2006
73,73,"Brett Wetterich",82,35.57,2917,82,"Back9ScoringAverage",2006
73,73,"Dean Wilson",115,35.57,3948,111,"Back9ScoringAverage",2006
