"TenthTeeEarlyRound3ScoringAverage_RANKTHISWEEK_2012","TenthTeeEarlyRound3ScoringAverage_RANKLASTWEEK_2012","TenthTeeEarlyRound3ScoringAverage_PLAYERNAME_2012","TenthTeeEarlyRound3ScoringAverage__2012","TenthTeeEarlyRound3ScoringAverage_AVG_2012","TenthTeeEarlyRound3ScoringAverage_TOTALSTROKES_2012","TenthTeeEarlyRound3ScoringAverage_TOTALROUNDS_2012","stat_name","year"
1,1,"Robert Garrigus",NA,64.5,129,2,"TenthTeeEarlyRound3ScoringAverage",2012
2,2,"Brian Davis",NA,65,65,1,"TenthTeeEarlyRound3ScoringAverage",2012
3,3,"William McGirt",NA,66,132,2,"TenthTeeEarlyRound3ScoringAverage",2012
3,3,"Boo Weekley",NA,66,66,1,"TenthTeeEarlyRound3ScoringAverage",2012
5,5,"Jonas Blixt",NA,66.5,133,2,"TenthTeeEarlyRound3ScoringAverage",2012
5,5,"Brandt Jobe",NA,66.5,133,2,"TenthTeeEarlyRound3ScoringAverage",2012
5,5,"Mark Wilson",NA,66.5,133,2,"TenthTeeEarlyRound3ScoringAverage",2012
8,8,"Jeff Maggert",NA,67,67,1,"TenthTeeEarlyRound3ScoringAverage",2012
8,8,"David Mathis",NA,67,201,3,"TenthTeeEarlyRound3ScoringAverage",2012
8,8,"Tiger Woods",NA,67,67,1,"TenthTeeEarlyRound3ScoringAverage",2012
11,11,"Garth Mulroy",NA,67.5,135,2,"TenthTeeEarlyRound3ScoringAverage",2012
12,12,"Blake Adams",NA,68,136,2,"TenthTeeEarlyRound3ScoringAverage",2012
12,12,"Jason Bohn",NA,68,204,3,"TenthTeeEarlyRound3ScoringAverage",2012
12,12,"Daniel Chopra",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2012
12,12,"Stewart Cink",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2012
12,12,"Bob Estes",NA,68,204,3,"TenthTeeEarlyRound3ScoringAverage",2012
12,12,"Steve Stricker",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2012
12,12,"Camilo Villegas",NA,68,68,1,"TenthTeeEarlyRound3ScoringAverage",2012
19,19,"Scott Dunlap",NA,68.33,205,3,"TenthTeeEarlyRound3ScoringAverage",2012
19,19,"Jason Kokrak",NA,68.33,205,3,"TenthTeeEarlyRound3ScoringAverage",2012
21,21,"Charles Howell III",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2012
21,21,"John Huh",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2012
21,21,"Derek Lamely",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2012
21,21,"Tom Pernice Jr",NA,68.5,274,4,"TenthTeeEarlyRound3ScoringAverage",2012
21,21,"Carl Pettersson",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2012
21,21,"DA Points",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2012
21,21,"John Rollins",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2012
21,21,"Roland Thatcher",NA,68.5,137,2,"TenthTeeEarlyRound3ScoringAverage",2012
29,29,"Bryce Molder",NA,68.75,275,4,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"Aaron Baddeley",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"Ben Curtis",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"Ken Duke",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"Harris English",NA,69,207,3,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"Billy Horschel",NA,69,138,2,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"Sung Kang",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"John Mallinger",NA,69,207,3,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"Ryan Moore",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"Sean OHair",NA,69,276,4,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"Jeff Overton",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"Adam Scott",NA,69,69,1,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"Johnson Wagner",NA,69,207,3,"TenthTeeEarlyRound3ScoringAverage",2012
30,30,"YE Yang",NA,69,138,2,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Stuart Appleby",NA,69.5,278,4,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Jason Day",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Dustin Johnson",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Matt Kuchar",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Marc Leishman",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Ryan Palmer",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Vijay Singh",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Scott Stallings",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Kevin Streelman",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Cameron Tringale",NA,69.5,278,4,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Jimmy Walker",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2012
43,43,"Bubba Watson",NA,69.5,139,2,"TenthTeeEarlyRound3ScoringAverage",2012
55,55,"DJ Trahan",NA,69.75,279,4,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"Angel Cabrera",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"Greg Chalmers",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"Kevin Chappell",NA,70,140,2,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"Rickie Fowler",NA,70,140,2,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"Billy Hurley III",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"JJ Killeen",NA,70,280,4,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"Hunter Mahan",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"Louis Oosthuizen",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"Scott Piercy",NA,70,70,1,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"Ian Poulter",NA,70,140,2,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"Webb Simpson",NA,70,140,2,"TenthTeeEarlyRound3ScoringAverage",2012
56,56,"Heath Slocum",NA,70,210,3,"TenthTeeEarlyRound3ScoringAverage",2012
68,68,"Michael Bradley",NA,70.25,281,4,"TenthTeeEarlyRound3ScoringAverage",2012
68,68,"Graham DeLaet",NA,70.25,281,4,"TenthTeeEarlyRound3ScoringAverage",2012
68,68,"Brian Harman",NA,70.25,281,4,"TenthTeeEarlyRound3ScoringAverage",2012
71,71,"Brendan Steele",NA,70.29,492,7,"TenthTeeEarlyRound3ScoringAverage",2012
72,72,"Gavin Coles",NA,70.33,211,3,"TenthTeeEarlyRound3ScoringAverage",2012
