"3PuttAvoidanceInside5_RANKTHISWEEK_2008","3PuttAvoidanceInside5_RANKLASTWEEK_2008","3PuttAvoidanceInside5_PLAYERNAME_2008","3PuttAvoidanceInside5_ROUNDS_2008","3PuttAvoidanceInside5_Pct_2008","3PuttAvoidanceInside5_TOTAL3PUTTS_2008","3PuttAvoidanceInside5_ATTEMPTS_2008","3PuttAvoidanceInside5_2PUTTORBETTERPct_2008","stat_name","year"
1,1,"Brad Adamonis",87,0,NA,294,100,"3PuttAvoidanceInside5",2008
1,1,"Steve Allan",58,0,NA,154,100,"3PuttAvoidanceInside5",2008
1,1,"Robert Allenby",108,0,NA,288,100,"3PuttAvoidanceInside5",2008
1,1,"Jason Allred",63,0,NA,199,100,"3PuttAvoidanceInside5",2008
1,1,"Stephen Ames",83,0,NA,241,100,"3PuttAvoidanceInside5",2008
1,1,"Billy Andrade",71,0,NA,213,100,"3PuttAvoidanceInside5",2008
1,1,"Stuart Appleby",87,0,NA,266,100,"3PuttAvoidanceInside5",2008
1,1,"Tommy Armour III",77,0,NA,247,100,"3PuttAvoidanceInside5",2008
1,1,"Ryan Armour",87,0,NA,247,100,"3PuttAvoidanceInside5",2008
1,1,"Woody Austin",109,0,NA,321,100,"3PuttAvoidanceInside5",2008
1,1,"Eric Axley",113,0,NA,378,100,"3PuttAvoidanceInside5",2008
1,1,"Aaron Baddeley",76,0,NA,256,100,"3PuttAvoidanceInside5",2008
1,1,"Briny Baird",113,0,NA,360,100,"3PuttAvoidanceInside5",2008
1,1,"Cameron Beckman",87,0,NA,280,100,"3PuttAvoidanceInside5",2008
1,1,"Shane Bertsch",96,0,NA,350,100,"3PuttAvoidanceInside5",2008
1,1,"Olin Browne",77,0,NA,239,100,"3PuttAvoidanceInside5",2008
1,1,"Angel Cabrera",55,0,NA,154,100,"3PuttAvoidanceInside5",2008
1,1,"Paul Casey",55,0,NA,123,100,"3PuttAvoidanceInside5",2008
1,1,"KJ Choi",74,0,NA,203,100,"3PuttAvoidanceInside5",2008
1,1,"Daniel Chopra",84,0,NA,282,100,"3PuttAvoidanceInside5",2008
1,1,"Stewart Cink",87,0,NA,235,100,"3PuttAvoidanceInside5",2008
1,1,"Tim Clark",90,0,NA,304,100,"3PuttAvoidanceInside5",2008
1,1,"Gavin Coles",54,0,NA,171,100,"3PuttAvoidanceInside5",2008
1,1,"Chad Collins",72,0,NA,261,100,"3PuttAvoidanceInside5",2008
1,1,"Ben Crane",86,0,NA,269,100,"3PuttAvoidanceInside5",2008
1,1,"Ben Curtis",80,0,NA,261,100,"3PuttAvoidanceInside5",2008
1,1,"Brian Davis",108,0,NA,409,100,"3PuttAvoidanceInside5",2008
1,1,"Marco Dawson",64,0,NA,216,100,"3PuttAvoidanceInside5",2008
1,1,"Glen Day",64,0,NA,225,100,"3PuttAvoidanceInside5",2008
