"MoneyperEventLeaders_RANKTHISWEEK_2011","MoneyperEventLeaders_RANKLASTWEEK_2011","MoneyperEventLeaders_PLAYERNAME_2011","MoneyperEventLeaders_EVENTS_2011","MoneyperEventLeaders_MONEYPEREVENT_2011","MoneyperEventLeaders_TOTALMONEY_2011","stat_name","year"
1,1,"Darren Clarke",3,484026,1452078,"MoneyperEventLeaders",2011
2,2,"Luke Donald",19,351748,6683214,"MoneyperEventLeaders",2011
3,3,"John Cook",1,251600,251600,"MoneyperEventLeaders",2011
4,4,"Webb Simpson",26,244128,6347353,"MoneyperEventLeaders",2011
5,5,"Nick Watney",22,240485,5290673,"MoneyperEventLeaders",2011
6,6,"Steve Stricker",19,210146,3992784,"MoneyperEventLeaders",2011
7,7,"Adam Scott",18,209155,3764796,"MoneyperEventLeaders",2011
8,8,"Dustin Johnson",21,205236,4309961,"MoneyperEventLeaders",2011
9,9,"KJ Choi",22,201576,4434690,"MoneyperEventLeaders",2011
10,10,"Rory McIlroy",10,190560,1905609,"MoneyperEventLeaders",2011
11,11,"Jason Day",21,188697,3962646,"MoneyperEventLeaders",2011
12,12,"Phil Mickelson",21,179213,3763488,"MoneyperEventLeaders",2011
13,13,"Matt Kuchar",24,176413,4233919,"MoneyperEventLeaders",2011
14,14,"Charl Schwartzel",15,173637,2604558,"MoneyperEventLeaders",2011
15,15,"David Toms",23,167743,3858089,"MoneyperEventLeaders",2011
16,16,"Bubba Watson",22,158082,3477810,"MoneyperEventLeaders",2011
17,17,"Bill Haas",26,157255,4088636,"MoneyperEventLeaders",2011
18,18,"Justin Rose",23,147887,3401419,"MoneyperEventLeaders",2011
19,19,"Tim Clark",4,142750,571000,"MoneyperEventLeaders",2011
20,20,"Aaron Baddeley",22,140667,3094692,"MoneyperEventLeaders",2011
21,21,"Hunter Mahan",25,140141,3503539,"MoneyperEventLeaders",2011
22,22,"Brandt Snedeker",26,137969,3587205,"MoneyperEventLeaders",2011
23,23,"Gary Woodland",25,137943,3448590,"MoneyperEventLeaders",2011
24,24,"Keegan Bradley",28,134235,3758599,"MoneyperEventLeaders",2011
25,25,"Jason Dufner",23,132950,3057859,"MoneyperEventLeaders",2011
26,26,"YE Yang",18,128603,2314864,"MoneyperEventLeaders",2011
27,27,"Mark Wilson",26,121479,3158476,"MoneyperEventLeaders",2011
28,28,"Martin Laird",23,116369,2676508,"MoneyperEventLeaders",2011
29,29,"Jonathan Byrd",26,113035,2938920,"MoneyperEventLeaders",2011
30,30,"George Coetzee",1,109712,109712,"MoneyperEventLeaders",2011
31,31,"Raphael Jacquelin",2,104872,209744,"MoneyperEventLeaders",2011
32,32,"Rory Sabbatini",24,100860,2420655,"MoneyperEventLeaders",2011
33,33,"Freddie Jacobson",25,99532,2488324,"MoneyperEventLeaders",2011
34,34,"Robert Karlsson",18,98878,1779815,"MoneyperEventLeaders",2011
35,35,"Lee Westwood",10,97044,970445,"MoneyperEventLeaders",2011
36,36,"Sergio Garcia",16,95255,1524091,"MoneyperEventLeaders",2011
37,37,"Vijay Singh",25,94841,2371049,"MoneyperEventLeaders",2011
38,38,"Bud Cauley",8,91893,735149,"MoneyperEventLeaders",2011
39,39,"Geoff Ogilvy",21,91285,1916994,"MoneyperEventLeaders",2011
40,40,"Kevin Na",26,89883,2336965,"MoneyperEventLeaders",2011
41,41,"Shigeki Maruyama",2,88687,177375,"MoneyperEventLeaders",2011
42,42,"Ryan Moore",22,88313,1942906,"MoneyperEventLeaders",2011
43,43,"John Senden",26,88261,2294811,"MoneyperEventLeaders",2011
44,44,"Anders Hansen",7,88152,617066,"MoneyperEventLeaders",2011
45,45,"Adam Hadwin",5,88150,440752,"MoneyperEventLeaders",2011
46,46,"JB Holmes",16,87411,1398583,"MoneyperEventLeaders",2011
47,47,"Rickie Fowler",24,86861,2084681,"MoneyperEventLeaders",2011
48,48,"Bo Van Pelt",27,86835,2344545,"MoneyperEventLeaders",2011
49,49,"Steve Marino",23,85872,1975076,"MoneyperEventLeaders",2011
50,50,"Chez Reavie",27,84632,2285066,"MoneyperEventLeaders",2011
51,51,"Thomas Bjorn",5,83897,419489,"MoneyperEventLeaders",2011
52,52,"Charles Howell III",30,83640,2509223,"MoneyperEventLeaders",2011
53,53,"Zach Johnson",23,81756,1880405,"MoneyperEventLeaders",2011
54,54,"Scott Verplank",15,79611,1194177,"MoneyperEventLeaders",2011
55,55,"Lucas Glover",23,79275,1823327,"MoneyperEventLeaders",2011
56,56,"DA Points",26,78236,2034155,"MoneyperEventLeaders",2011
