"GreensorFringeinRegulation_RANKTHISWEEK_2011","GreensorFringeinRegulation_RANKLASTWEEK_2011","GreensorFringeinRegulation_PLAYERNAME_2011","GreensorFringeinRegulation_ROUNDS_2011","GreensorFringeinRegulation_Pct_2011","GreensorFringeinRegulation_TOTALHIT_2011","GreensorFringeinRegulation_TOTALATTEMPTS_2011","GreensorFringeinRegulation_RTPSCORE_2011","stat_name","year"
1,1,"Webb Simpson",98,76.31,1140,1494,-348,"GreensorFringeinRegulation",2011
2,2,"Ernie Els",71,75.99,807,1062,-179,"GreensorFringeinRegulation",2011
2,2,"John Senden",94,75.99,1108,1458,-276,"GreensorFringeinRegulation",2011
4,4,"Chad Campbell",99,75.54,1183,1566,-239,"GreensorFringeinRegulation",2011
5,5,"Heath Slocum",89,75.38,1004,1332,-226,"GreensorFringeinRegulation",2011
6,6,"Boo Weekley",66,75.05,770,1026,-158,"GreensorFringeinRegulation",2011
7,7,"Briny Baird",60,74.94,661,882,-152,"GreensorFringeinRegulation",2011
8,8,"David Toms",78,74.76,794,1062,-218,"GreensorFringeinRegulation",2011
9,9,"Kris Blanks",92,74.7,1116,1494,-247,"GreensorFringeinRegulation",2011
10,10,"Bubba Watson",85,74.67,793,1062,-234,"GreensorFringeinRegulation",2011
11,11,"Billy Mayfair",94,74.64,1142,1530,-249,"GreensorFringeinRegulation",2011
12,12,"Bill Haas",93,74.31,963,1296,-261,"GreensorFringeinRegulation",2011
13,13,"John Rollins",85,74.15,961,1296,-242,"GreensorFringeinRegulation",2011
14,14,"Brandt Jobe",100,74.14,1081,1458,-251,"GreensorFringeinRegulation",2011
15,15,"Joe Durant",71,74.05,853,1152,-152,"GreensorFringeinRegulation",2011
16,16,"Nick Watney",80,74.01,826,1116,-260,"GreensorFringeinRegulation",2011
17,17,"Gary Woodland",93,73.97,932,1260,-251,"GreensorFringeinRegulation",2011
18,18,"Robert Allenby",84,73.89,931,1260,-219,"GreensorFringeinRegulation",2011
19,19,"Dustin Johnson",72,73.87,718,972,-214,"GreensorFringeinRegulation",2011
20,20,"Adam Scott",60,73.83,598,810,-161,"GreensorFringeinRegulation",2011
21,21,"DJ Trahan",91,73.76,1102,1494,-238,"GreensorFringeinRegulation",2011
22,22,"William McGirt",103,73.73,1221,1656,-254,"GreensorFringeinRegulation",2011
23,23,"Justin Rose",79,73.72,836,1134,-224,"GreensorFringeinRegulation",2011
24,24,"Kyle Stanley",98,73.68,1061,1440,-290,"GreensorFringeinRegulation",2011
25,25,"John Merrick",71,73.61,795,1080,-184,"GreensorFringeinRegulation",2011
26,26,"Charles Howell III",108,73.57,1205,1638,-295,"GreensorFringeinRegulation",2011
27,27,"Trevor Immelman",84,73.47,886,1206,-194,"GreensorFringeinRegulation",2011
