"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2009","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2009","ProximitytoHolefromOtherLocations_PLAYERNAME_2009","ProximitytoHolefromOtherLocations_ROUNDS_2009","ProximitytoHolefromOtherLocations_AVGDTP_2009","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2009","ProximitytoHolefromOtherLocations_OFSHOTS_2009","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2009","stat_name","year"
1,1,"Luke Donald",79,NA,5.269,90,20,"ProximitytoHolefromOtherLocations",2009
2,2,"Bob Estes",78,NA,7.2,116,28,"ProximitytoHolefromOtherLocations",2009
2,2,"Ian Poulter",59,NA,6.185,100,4,"ProximitytoHolefromOtherLocations",2009
4,4,"Matt Jones",56,NA,4.845,75,22,"ProximitytoHolefromOtherLocations",2009
4,4,"Steve Stricker",81,NA,5.76,88,2,"ProximitytoHolefromOtherLocations",2009
4,4,"Jimmy Walker",74,NA,7.14,110,27,"ProximitytoHolefromOtherLocations",2009
7,7,"Tiger Woods",64,NA,4.046,61,1,"ProximitytoHolefromOtherLocations",2009
8,8,"Jim Furyk",86,NA,7.245,108,8,"ProximitytoHolefromOtherLocations",2009
9,9,"Ben Crane",93,NA,9.195,136,32,"ProximitytoHolefromOtherLocations",2009
10,10,"Ernie Els",70,NA,6.307,91,59,"ProximitytoHolefromOtherLocations",2009
10,10,"Padraig Harrington",66,NA,5.128,74,11,"ProximitytoHolefromOtherLocations",2009
10,10,"Justin Leonard",95,NA,9.351,136,63,"ProximitytoHolefromOtherLocations",2009
13,13,"Brian Gay",96,NA,9.09,130,7,"ProximitytoHolefromOtherLocations",2009
13,13,"Matt Kuchar",82,NA,8.876,127,3,"ProximitytoHolefromOtherLocations",2009
13,13,"Geoff Ogilvy",78,NA,5.516,79,62,"ProximitytoHolefromOtherLocations",2009
13,13,"Rod Pampling",72,NA,7.003,100,74,"ProximitytoHolefromOtherLocations",2009
17,17,"Lucas Glover",93,NA,10.087,142,97,"ProximitytoHolefromOtherLocations",2009
17,17,"Bo Van Pelt",100,NA,10.486,147,57,"ProximitytoHolefromOtherLocations",2009
19,19,"Stuart Appleby",79,NA,7.455,103,160,"ProximitytoHolefromOtherLocations",2009
19,19,"Anthony Kim",76,NA,8.673,121,124,"ProximitytoHolefromOtherLocations",2009
21,21,"Chad Campbell",90,NA,8.076,110,67,"ProximitytoHolefromOtherLocations",2009
21,21,"Charles Howell III",99,NA,11.5,158,118,"ProximitytoHolefromOtherLocations",2009
21,21,"Spencer Levin",75,NA,9.908,135,15,"ProximitytoHolefromOtherLocations",2009
21,21,"Phil Mickelson",66,NA,5.512,76,109,"ProximitytoHolefromOtherLocations",2009
21,21,"Brandt Snedeker",81,NA,8.062,110,25,"ProximitytoHolefromOtherLocations",2009
21,21,"Mark Wilson",99,NA,10.269,141,21,"ProximitytoHolefromOtherLocations",2009
27,27,"Robert Allenby",71,NA,6.765,91,56,"ProximitytoHolefromOtherLocations",2009
28,28,"KJ Choi",65,NA,6.421,86,141,"ProximitytoHolefromOtherLocations",2009
28,28,"Sergio Garcia",59,NA,5.566,74,101,"ProximitytoHolefromOtherLocations",2009
28,28,"Charley Hoffman",97,NA,13.214,176,79,"ProximitytoHolefromOtherLocations",2009
28,28,"Jarrod Lyle",65,NA,6.824,91,65,"ProximitytoHolefromOtherLocations",2009
28,28,"Corey Pavin",73,NA,5.415,72,80,"ProximitytoHolefromOtherLocations",2009
28,28,"Vijay Singh",71,NA,6.868,92,147,"ProximitytoHolefromOtherLocations",2009
28,28,"Kevin Stadler",65,NA,6.913,92,33,"ProximitytoHolefromOtherLocations",2009
28,28,"Camilo Villegas",76,NA,7.083,94,129,"ProximitytoHolefromOtherLocations",2009
36,36,"Tommy Armour III",58,NA,7.22,95,137,"ProximitytoHolefromOtherLocations",2009
36,36,"Fred Couples",54,NA,5.853,77,175,"ProximitytoHolefromOtherLocations",2009
36,36,"Todd Hamilton",83,NA,10.175,134,105,"ProximitytoHolefromOtherLocations",2009
36,36,"Scott McCarron",91,NA,12.916,169,18,"ProximitytoHolefromOtherLocations",2009
36,36,"Bryce Molder",69,NA,6.189,81,37,"ProximitytoHolefromOtherLocations",2009
36,36,"Joe Ogilvie",85,NA,11.257,149,41,"ProximitytoHolefromOtherLocations",2009
36,36,"Scott Verplank",88,NA,11.503,152,75,"ProximitytoHolefromOtherLocations",2009
43,43,"Jason Dufner",90,NA,11.098,144,52,"ProximitytoHolefromOtherLocations",2009
43,43,"Lee Janzen",74,NA,7.543,98,66,"ProximitytoHolefromOtherLocations",2009
43,43,"Kevin Na",91,NA,8.943,116,6,"ProximitytoHolefromOtherLocations",2009
43,43,"Sean OHair",80,NA,6.203,81,113,"ProximitytoHolefromOtherLocations",2009
43,43,"Mike Weir",85,NA,6.997,91,14,"ProximitytoHolefromOtherLocations",2009
48,48,"Stewart Cink",79,NA,7.584,97,113,"ProximitytoHolefromOtherLocations",2009
48,48,"Steve Flesch",77,NA,6.515,83,50,"ProximitytoHolefromOtherLocations",2009
48,48,"Nathan Green",104,NA,14.286,182,40,"ProximitytoHolefromOtherLocations",2009
48,48,"Freddie Jacobson",83,NA,9.873,127,51,"ProximitytoHolefromOtherLocations",2009
48,48,"Dustin Johnson",85,NA,7.678,98,143,"ProximitytoHolefromOtherLocations",2009
53,53,"Stephen Ames",77,NA,6.938,88,142,"ProximitytoHolefromOtherLocations",2009
53,53,"Tim Clark",81,NA,6.381,81,19,"ProximitytoHolefromOtherLocations",2009
53,53,"Brian Davis",103,NA,14.592,185,95,"ProximitytoHolefromOtherLocations",2009
53,53,"Paul Goydos",79,NA,9.188,117,145,"ProximitytoHolefromOtherLocations",2009
53,53,"Tim Herron",87,NA,12.033,153,69,"ProximitytoHolefromOtherLocations",2009
53,53,"JB Holmes",74,NA,8.502,107,174,"ProximitytoHolefromOtherLocations",2009
53,53,"Martin Laird",72,NA,10.961,139,179,"ProximitytoHolefromOtherLocations",2009
53,53,"John Mallinger",90,NA,10.778,136,104,"ProximitytoHolefromOtherLocations",2009
53,53,"Tom Pernice Jr",82,NA,11.23,143,12,"ProximitytoHolefromOtherLocations",2009
53,53,"Brett Quigley",92,NA,11.556,146,76,"ProximitytoHolefromOtherLocations",2009
53,53,"Adam Scott",53,NA,4.641,59,171,"ProximitytoHolefromOtherLocations",2009
53,53,"Kirk Triplett",60,NA,8.211,104,24,"ProximitytoHolefromOtherLocations",2009
53,53,"Johnson Wagner",81,NA,10.465,133,115,"ProximitytoHolefromOtherLocations",2009
53,53,"Nick Watney",86,NA,7.605,96,84,"ProximitytoHolefromOtherLocations",2009
53,53,"Jay Williamson",69,NA,6.312,80,86,"ProximitytoHolefromOtherLocations",2009
68,68,"Aaron Baddeley",66,NA,8.864,111,92,"ProximitytoHolefromOtherLocations",2009
68,68,"Briny Baird",89,NA,8.39,105,126,"ProximitytoHolefromOtherLocations",2009
68,68,"Jason Bohn",88,NA,9.735,122,163,"ProximitytoHolefromOtherLocations",2009
68,68,"Chris DiMarco",97,NA,11.828,148,15,"ProximitytoHolefromOtherLocations",2009
68,68,"JJ Henry",97,NA,11.833,148,89,"ProximitytoHolefromOtherLocations",2009
68,68,"Zach Johnson",94,NA,10.15,127,31,"ProximitytoHolefromOtherLocations",2009
68,68,"Cliff Kresge",78,NA,10.816,135,72,"ProximitytoHolefromOtherLocations",2009
68,68,"Michael Letzig",96,NA,12.057,151,29,"ProximitytoHolefromOtherLocations",2009
68,68,"Justin Rose",71,NA,8.585,107,87,"ProximitytoHolefromOtherLocations",2009
68,68,"Heath Slocum",95,NA,10.858,135,91,"ProximitytoHolefromOtherLocations",2009
68,68,"Matt Weibring",65,NA,8.751,110,42,"ProximitytoHolefromOtherLocations",2009
68,68,"Dean Wilson",81,NA,9.491,119,119,"ProximitytoHolefromOtherLocations",2009
80,80,"Bart Bryant",58,NA,5.482,68,153,"ProximitytoHolefromOtherLocations",2009
80,80,"Greg Chalmers",85,NA,12.85,158,55,"ProximitytoHolefromOtherLocations",2009
80,80,"Rocco Mediate",79,NA,10.262,126,145,"ProximitytoHolefromOtherLocations",2009
80,80,"Aron Price",89,NA,10.511,130,93,"ProximitytoHolefromOtherLocations",2009
84,84,"Rich Beem",77,NA,9.053,111,132,"ProximitytoHolefromOtherLocations",2009
84,84,"Alex Cejka",82,NA,11.991,147,108,"ProximitytoHolefromOtherLocations",2009
84,84,"Tom Lehman",55,NA,3.623,44,150,"ProximitytoHolefromOtherLocations",2009
84,84,"Parker McLachlin",71,NA,10.679,130,98,"ProximitytoHolefromOtherLocations",2009
84,84,"Kenny Perry",92,NA,9.557,117,13,"ProximitytoHolefromOtherLocations",2009
84,84,"John Senden",100,NA,10.185,124,128,"ProximitytoHolefromOtherLocations",2009
90,90,"Brendon de Jonge",90,NA,11.267,135,155,"ProximitytoHolefromOtherLocations",2009
90,90,"David Duval",56,NA,6.257,75,183,"ProximitytoHolefromOtherLocations",2009
90,90,"Ryuji Imada",85,NA,10.53,127,54,"ProximitytoHolefromOtherLocations",2009
90,90,"John Merrick",91,NA,10.907,132,159,"ProximitytoHolefromOtherLocations",2009
90,90,"Greg Owen",97,NA,11.746,141,136,"ProximitytoHolefromOtherLocations",2009
90,90,"Tim Petrovic",97,NA,14.354,172,5,"ProximitytoHolefromOtherLocations",2009
90,90,"Chez Reavie",81,NA,10.48,126,71,"ProximitytoHolefromOtherLocations",2009
90,90,"Scott Sterling",51,NA,4.3,52,44,"ProximitytoHolefromOtherLocations",2009
90,90,"Kevin Sutherland",96,NA,10.18,122,81,"ProximitytoHolefromOtherLocations",2009
90,90,"Brendon Todd",53,NA,7.004,84,180,"ProximitytoHolefromOtherLocations",2009
90,90,"DJ Trahan",96,NA,10.065,121,149,"ProximitytoHolefromOtherLocations",2009
90,90,"Boo Weekley",79,NA,9.414,113,154,"ProximitytoHolefromOtherLocations",2009
90,90,"Charlie Wi",92,NA,12.014,144,83,"ProximitytoHolefromOtherLocations",2009
103,103,"Brad Adamonis",70,NA,9.881,118,36,"ProximitytoHolefromOtherLocations",2009
103,103,"Michael Allen",73,NA,8.823,105,123,"ProximitytoHolefromOtherLocations",2009
103,103,"Eric Axley",71,NA,11.77,140,182,"ProximitytoHolefromOtherLocations",2009
103,103,"Jonathan Byrd",89,NA,12.393,147,148,"ProximitytoHolefromOtherLocations",2009
103,103,"Daniel Chopra",89,NA,14.392,171,152,"ProximitytoHolefromOtherLocations",2009
103,103,"Harrison Frazar",93,NA,12.82,152,134,"ProximitytoHolefromOtherLocations",2009
103,103,"Mathew Goggin",76,NA,10.131,121,134,"ProximitytoHolefromOtherLocations",2009
103,103,"Jerry Kelly",90,NA,11.158,133,45,"ProximitytoHolefromOtherLocations",2009
103,103,"Ryan Moore",89,NA,13.229,157,46,"ProximitytoHolefromOtherLocations",2009
103,103,"Ted Purdy",101,NA,13.441,160,151,"ProximitytoHolefromOtherLocations",2009
103,103,"Chris Riley",77,NA,10.033,120,9,"ProximitytoHolefromOtherLocations",2009
103,103,"Webb Simpson",94,NA,12.775,152,17,"ProximitytoHolefromOtherLocations",2009
115,115,"Ricky Barnes",67,NA,7.443,88,178,"ProximitytoHolefromOtherLocations",2009
115,115,"Mark Brooks",55,NA,5.332,63,10,"ProximitytoHolefromOtherLocations",2009
115,115,"Angel Cabrera",55,NA,6.016,71,117,"ProximitytoHolefromOtherLocations",2009
115,115,"Ken Duke",87,NA,8.801,104,53,"ProximitytoHolefromOtherLocations",2009
115,115,"Derek Fathauer",63,NA,8.021,94,161,"ProximitytoHolefromOtherLocations",2009
115,115,"James Nitties",86,NA,11.389,134,106,"ProximitytoHolefromOtherLocations",2009
115,115,"Nick OHern",90,NA,11.548,136,70,"ProximitytoHolefromOtherLocations",2009
115,115,"John Rollins",92,NA,13.758,161,93,"ProximitytoHolefromOtherLocations",2009
115,115,"Andres Romero",58,NA,6.136,72,181,"ProximitytoHolefromOtherLocations",2009
115,115,"Charles Warren",63,NA,7.466,88,121,"ProximitytoHolefromOtherLocations",2009
125,125,"Glen Day",79,NA,9.103,106,43,"ProximitytoHolefromOtherLocations",2009
125,125,"Joe Durant",62,NA,6.386,74,176,"ProximitytoHolefromOtherLocations",2009
125,125,"Brad Faxon",59,NA,9.595,112,120,"ProximitytoHolefromOtherLocations",2009
125,125,"Troy Matteson",95,NA,13.785,160,103,"ProximitytoHolefromOtherLocations",2009
125,125,"Chris Stroud",88,NA,11.281,131,168,"ProximitytoHolefromOtherLocations",2009
125,125,"Brian Vranesh",51,NA,7.538,88,38,"ProximitytoHolefromOtherLocations",2009
125,125,"Bubba Watson",73,NA,9.435,110,166,"ProximitytoHolefromOtherLocations",2009
132,132,"Peter Lonard",86,NA,11.977,138,144,"ProximitytoHolefromOtherLocations",2009
132,132,"Billy Mayfair",83,NA,9.281,107,169,"ProximitytoHolefromOtherLocations",2009
132,132,"Leif Olson",51,NA,5.826,67,173,"ProximitytoHolefromOtherLocations",2009
132,132,"Scott Piercy",85,NA,10.79,124,107,"ProximitytoHolefromOtherLocations",2009
132,132,"Kevin Streelman",97,NA,12.873,148,167,"ProximitytoHolefromOtherLocations",2009
132,132,"David Toms",98,NA,12.486,143,47,"ProximitytoHolefromOtherLocations",2009
138,138,"Bill Haas",91,NA,10.434,118,72,"ProximitytoHolefromOtherLocations",2009
138,138,"Colt Knost",71,NA,9.862,112,157,"ProximitytoHolefromOtherLocations",2009
138,138,"Davis Love III",89,NA,11.295,129,109,"ProximitytoHolefromOtherLocations",2009
138,138,"Steve Marino",98,NA,12.163,139,60,"ProximitytoHolefromOtherLocations",2009
138,138,"Darron Stiles",52,NA,7.598,86,133,"ProximitytoHolefromOtherLocations",2009
138,138,"Gary Woodland",53,NA,5.826,66,184,"ProximitytoHolefromOtherLocations",2009
144,144,"Bill Lunde",83,NA,12.702,142,49,"ProximitytoHolefromOtherLocations",2009
144,144,"Jeff Maggert",79,NA,10.636,120,68,"ProximitytoHolefromOtherLocations",2009
146,146,"Brian Bateman",55,NA,8.903,99,158,"ProximitytoHolefromOtherLocations",2009
146,146,"Kris Blanks",60,NA,8.023,89,131,"ProximitytoHolefromOtherLocations",2009
146,146,"Retief Goosen",74,NA,7.016,78,64,"ProximitytoHolefromOtherLocations",2009
146,146,"Will Ma Kenzie",69,NA,10.015,111,164,"ProximitytoHolefromOtherLocations",2009
146,146,"Pat Perez",74,NA,9.58,106,78,"ProximitytoHolefromOtherLocations",2009
146,146,"Jeff Quinney",78,NA,11.85,131,58,"ProximitytoHolefromOtherLocations",2009
146,146,"Rory Sabbatini",81,NA,11.846,132,129,"ProximitytoHolefromOtherLocations",2009
146,146,"Casey Wittenberg",71,NA,7.482,83,61,"ProximitytoHolefromOtherLocations",2009
146,146,"YE Yang",83,NA,9.181,102,90,"ProximitytoHolefromOtherLocations",2009
155,155,"Steve Elkington",70,NA,10.432,115,99,"ProximitytoHolefromOtherLocations",2009
155,155,"Bob Heintz",59,NA,8.459,93,26,"ProximitytoHolefromOtherLocations",2009
