"ScoringAverageActual_RANKTHISWEEK_2012","ScoringAverageActual_RANKLASTWEEK_2012","ScoringAverageActual_PLAYERNAME_2012","ScoringAverageActual_ROUNDS_2012","ScoringAverageActual_AVG_2012","ScoringAverageActual_TOTALSTROKES_2012","ScoringAverageActual_TOTALROUNDS_2012","stat_name","year"
1,1,"Rory McIlroy",60,69.63,3760,54,"ScoringAverageActual",2012
2,2,"Tiger Woods",69,69.78,4675,67,"ScoringAverageActual",2012
3,3,"Jason Dufner",83,69.89,5731,82,"ScoringAverageActual",2012
4,4,"Bubba Watson",68,69.98,4619,66,"ScoringAverageActual",2012
5,5,"Matt Kuchar",86,70.04,5743,82,"ScoringAverageActual",2012
6,6,"Jim Furyk",85,70.1,5888,84,"ScoringAverageActual",2012
6,6,"Brandt Snedeker",81,70.1,5468,78,"ScoringAverageActual",2012
6,6,"Steve Stricker",73,70.1,4907,70,"ScoringAverageActual",2012
9,9,"Jonas Blixt",72,70.14,5050,72,"ScoringAverageActual",2012
9,9,"Webb Simpson",77,70.14,5331,76,"ScoringAverageActual",2012
11,11,"Brendon de Jonge",115,70.17,8070,115,"ScoringAverageActual",2012
12,12,"Dustin Johnson",70,70.18,4702,67,"ScoringAverageActual",2012
13,13,"Zach Johnson",95,70.2,6599,94,"ScoringAverageActual",2012
14,14,"Billy Horschel",63,70.22,4143,59,"ScoringAverageActual",2012
14,14,"Justin Rose",69,70.22,4775,68,"ScoringAverageActual",2012
16,16,"Jeff Overton",101,70.23,7093,101,"ScoringAverageActual",2012
16,16,"Bo Van Pelt",84,70.23,5829,83,"ScoringAverageActual",2012
18,18,"Louis Oosthuizen",65,70.32,4430,63,"ScoringAverageActual",2012
19,19,"Keegan Bradley",90,70.33,6189,88,"ScoringAverageActual",2012
19,19,"Will Claxton",99,70.33,6963,99,"ScoringAverageActual",2012
21,21,"Luke Donald",63,70.35,4362,62,"ScoringAverageActual",2012
21,21,"John Senden",81,70.35,5487,78,"ScoringAverageActual",2012
23,23,"Ken Duke",104,70.37,7318,104,"ScoringAverageActual",2012
23,23,"Carl Pettersson",92,70.37,6474,92,"ScoringAverageActual",2012
25,25,"Robert Garrigus",89,70.38,6264,89,"ScoringAverageActual",2012
26,26,"Roberto Castro",92,70.44,6340,90,"ScoringAverageActual",2012
26,26,"Phil Mickelson",79,70.44,5565,79,"ScoringAverageActual",2012
28,28,"Richard Lee",71,70.46,4721,67,"ScoringAverageActual",2012
29,29,"Russell Knox",72,70.47,4792,68,"ScoringAverageActual",2012
30,30,"Scott Piercy",95,70.49,6697,95,"ScoringAverageActual",2012
31,31,"Seung Yul Noh",105,70.5,7120,101,"ScoringAverageActual",2012
32,32,"Bud Cauley",99,70.53,6982,99,"ScoringAverageActual",2012
32,32,"Adam Scott",59,70.53,4091,58,"ScoringAverageActual",2012
34,34,"Padraig Harrington",67,70.54,4444,63,"ScoringAverageActual",2012
34,34,"Ryan Moore",89,70.54,6278,89,"ScoringAverageActual",2012
36,36,"Vijay Singh",99,70.55,6984,99,"ScoringAverageActual",2012
37,37,"Ryan Palmer",81,70.57,5716,81,"ScoringAverageActual",2012
