"ScramblingRoughRTPScore_RANKTHISWEEK_2012","ScramblingRoughRTPScore_RANKLASTWEEK_2012","ScramblingRoughRTPScore_PLAYERNAME_2012","ScramblingRoughRTPScore_ROUNDS_2012","ScramblingRoughRTPScore_AVGRTP_2012","ScramblingRoughRTPScore_TOTALHOLES_2012","ScramblingRoughRTPScore_TOTALRTP_2012","stat_name","year"
1,1,"Luke Donald",63,0.286,98,28,"ScramblingRoughRTPScore",2012
2,2,"Matt Kuchar",86,0.34,159,54,"ScramblingRoughRTPScore",2012
3,3,"David Toms",60,0.343,99,34,"ScramblingRoughRTPScore",2012
4,4,"Brandt Snedeker",81,0.349,192,67,"ScramblingRoughRTPScore",2012
5,5,"Zach Johnson",95,0.352,193,68,"ScramblingRoughRTPScore",2012
6,6,"Justin Rose",69,0.354,113,40,"ScramblingRoughRTPScore",2012
7,7,"Dustin Johnson",70,0.365,156,57,"ScramblingRoughRTPScore",2012
8,8,"Jason Day",57,0.377,122,46,"ScramblingRoughRTPScore",2012
8,8,"Tiger Woods",69,0.377,106,40,"ScramblingRoughRTPScore",2012
10,10,"Bob Estes",78,0.381,160,61,"ScramblingRoughRTPScore",2012
11,11,"Ernie Els",80,0.383,133,51,"ScramblingRoughRTPScore",2012
12,12,"Geoff Ogilvy",73,0.393,163,64,"ScramblingRoughRTPScore",2012
13,13,"Kevin Na",80,0.396,197,78,"ScramblingRoughRTPScore",2012
13,13,"John Rollins",81,0.396,154,61,"ScramblingRoughRTPScore",2012
15,15,"Charles Howell III",98,0.402,169,68,"ScramblingRoughRTPScore",2012
15,15,"Brandt Jobe",57,0.402,97,39,"ScramblingRoughRTPScore",2012
17,17,"Rory McIlroy",60,0.404,99,40,"ScramblingRoughRTPScore",2012
18,18,"Charlie Wi",86,0.405,232,94,"ScramblingRoughRTPScore",2012
19,19,"Brian Davis",91,0.407,189,77,"ScramblingRoughRTPScore",2012
20,20,"Pat Perez",81,0.408,179,73,"ScramblingRoughRTPScore",2012
21,21,"Phil Mickelson",79,0.412,148,61,"ScramblingRoughRTPScore",2012
22,22,"Ian Poulter",57,0.413,92,38,"ScramblingRoughRTPScore",2012
23,23,"Jeff Maggert",83,0.416,190,79,"ScramblingRoughRTPScore",2012
24,24,"Matt Every",80,0.419,155,65,"ScramblingRoughRTPScore",2012
25,25,"Bill Haas",79,0.422,135,57,"ScramblingRoughRTPScore",2012
26,26,"Mark Wilson",84,0.423,182,77,"ScramblingRoughRTPScore",2012
27,27,"Jason Dufner",83,0.424,118,50,"ScramblingRoughRTPScore",2012
28,28,"Jonas Blixt",72,0.425,174,74,"ScramblingRoughRTPScore",2012
29,29,"William McGirt",96,0.427,192,82,"ScramblingRoughRTPScore",2012
30,30,"Greg Chalmers",88,0.428,201,86,"ScramblingRoughRTPScore",2012
31,31,"Bryce Molder",83,0.429,140,60,"ScramblingRoughRTPScore",2012
32,32,"Steve Stricker",73,0.43,121,52,"ScramblingRoughRTPScore",2012
33,33,"Webb Simpson",77,0.431,144,62,"ScramblingRoughRTPScore",2012
34,34,"Aaron Baddeley",73,0.432,162,70,"ScramblingRoughRTPScore",2012
34,34,"Spencer Levin",81,0.432,185,80,"ScramblingRoughRTPScore",2012
34,34,"Ryan Palmer",81,0.432,192,83,"ScramblingRoughRTPScore",2012
37,37,"Danny Lee",74,0.434,143,62,"ScramblingRoughRTPScore",2012
38,38,"Billy Horschel",63,0.435,108,47,"ScramblingRoughRTPScore",2012
38,38,"Bubba Watson",68,0.435,131,57,"ScramblingRoughRTPScore",2012
40,40,"Jimmy Walker",101,0.436,257,112,"ScramblingRoughRTPScore",2012
41,41,"Ryo Ishikawa",54,0.437,103,45,"ScramblingRoughRTPScore",2012
42,42,"Louis Oosthuizen",65,0.438,96,42,"ScramblingRoughRTPScore",2012
43,43,"Marc Leishman",84,0.439,214,94,"ScramblingRoughRTPScore",2012
43,43,"John Senden",81,0.439,139,61,"ScramblingRoughRTPScore",2012
45,45,"Vijay Singh",99,0.44,191,84,"ScramblingRoughRTPScore",2012
46,46,"Brian Gay",91,0.441,202,89,"ScramblingRoughRTPScore",2012
47,47,"Chris Stroud",86,0.444,198,88,"ScramblingRoughRTPScore",2012
48,48,"Gavin Coles",72,0.445,155,69,"ScramblingRoughRTPScore",2012
49,49,"KJ Choi",71,0.446,139,62,"ScramblingRoughRTPScore",2012
50,50,"Richard Lee",71,0.447,152,68,"ScramblingRoughRTPScore",2012
51,51,"Cameron Tringale",88,0.45,169,76,"ScramblingRoughRTPScore",2012
52,52,"Daniel Summerhays",81,0.452,146,66,"ScramblingRoughRTPScore",2012
53,53,"Chris Couch",61,0.454,130,59,"ScramblingRoughRTPScore",2012
54,54,"Will Claxton",99,0.457,199,91,"ScramblingRoughRTPScore",2012
54,54,"DA Points",88,0.457,162,74,"ScramblingRoughRTPScore",2012
56,56,"Martin Flores",95,0.458,249,114,"ScramblingRoughRTPScore",2012
56,56,"Billy Mayfair",90,0.458,214,98,"ScramblingRoughRTPScore",2012
58,58,"Rickie Fowler",84,0.459,170,78,"ScramblingRoughRTPScore",2012
58,58,"Russell Knox",72,0.459,122,56,"ScramblingRoughRTPScore",2012
58,58,"Rod Pampling",88,0.459,170,78,"ScramblingRoughRTPScore",2012
61,61,"Bud Cauley",99,0.46,239,110,"ScramblingRoughRTPScore",2012
62,62,"Nathan Green",73,0.461,115,53,"ScramblingRoughRTPScore",2012
62,62,"David Hearn",95,0.461,217,100,"ScramblingRoughRTPScore",2012
64,64,"Roberto Castro",92,0.462,143,66,"ScramblingRoughRTPScore",2012
64,64,"Brendon de Jonge",115,0.462,210,97,"ScramblingRoughRTPScore",2012
64,64,"Henrik Stenson",51,0.462,91,42,"ScramblingRoughRTPScore",2012
67,67,"Bo Van Pelt",84,0.463,177,82,"ScramblingRoughRTPScore",2012
68,68,"JJ Killeen",101,0.465,213,99,"ScramblingRoughRTPScore",2012
68,68,"Rory Sabbatini",84,0.465,200,93,"ScramblingRoughRTPScore",2012
70,70,"Kevin Chappell",91,0.466,193,90,"ScramblingRoughRTPScore",2012
70,70,"Justin Leonard",79,0.466,146,68,"ScramblingRoughRTPScore",2012
72,72,"Robert Garrigus",89,0.467,169,79,"ScramblingRoughRTPScore",2012
72,72,"Padraig Harrington",67,0.467,135,63,"ScramblingRoughRTPScore",2012
72,72,"John Mallinger",74,0.467,165,77,"ScramblingRoughRTPScore",2012
75,75,"Ryan Moore",89,0.468,188,88,"ScramblingRoughRTPScore",2012
76,76,"Derek Lamely",64,0.471,153,72,"ScramblingRoughRTPScore",2012
76,76,"Scott Piercy",95,0.471,204,96,"ScramblingRoughRTPScore",2012
76,76,"Heath Slocum",93,0.471,170,80,"ScramblingRoughRTPScore",2012
76,76,"Brendan Steele",77,0.471,172,81,"ScramblingRoughRTPScore",2012
80,80,"Ken Duke",104,0.472,218,103,"ScramblingRoughRTPScore",2012
80,80,"Jeff Overton",101,0.472,212,100,"ScramblingRoughRTPScore",2012
80,80,"Brendon Todd",78,0.472,193,91,"ScramblingRoughRTPScore",2012
83,83,"Jim Furyk",85,0.474,135,64,"ScramblingRoughRTPScore",2012
83,83,"Dicky Pride",62,0.474,133,63,"ScramblingRoughRTPScore",2012
83,83,"Johnson Wagner",88,0.474,175,83,"ScramblingRoughRTPScore",2012
86,86,"Carl Pettersson",92,0.475,200,95,"ScramblingRoughRTPScore",2012
87,87,"Kyle Stanley",86,0.476,164,78,"ScramblingRoughRTPScore",2012
88,88,"Davis Love III",64,0.477,128,61,"ScramblingRoughRTPScore",2012
88,88,"Nick Watney",97,0.477,172,82,"ScramblingRoughRTPScore",2012
90,90,"Stuart Appleby",75,0.479,140,67,"ScramblingRoughRTPScore",2012
90,90,"Trevor Immelman",76,0.479,142,68,"ScramblingRoughRTPScore",2012
92,92,"JB Holmes",90,0.48,177,85,"ScramblingRoughRTPScore",2012
92,92,"Charl Schwartzel",56,0.48,102,49,"ScramblingRoughRTPScore",2012
94,94,"Kyle Reifers",86,0.481,154,74,"ScramblingRoughRTPScore",2012
95,95,"Kevin Streelman",89,0.482,168,81,"ScramblingRoughRTPScore",2012
96,96,"Ben Curtis",62,0.485,103,50,"ScramblingRoughRTPScore",2012
96,96,"John Huh",99,0.485,196,95,"ScramblingRoughRTPScore",2012
98,98,"Jonathan Byrd",69,0.486,142,69,"ScramblingRoughRTPScore",2012
98,98,"Ryuji Imada",78,0.486,183,89,"ScramblingRoughRTPScore",2012
98,98,"Chez Reavie",83,0.486,144,70,"ScramblingRoughRTPScore",2012
101,101,"Stephen Ames",54,0.487,119,58,"ScramblingRoughRTPScore",2012
101,101,"Billy Hurley III",70,0.487,187,91,"ScramblingRoughRTPScore",2012
103,103,"Freddie Jacobson",61,0.49,98,48,"ScramblingRoughRTPScore",2012
103,103,"Kevin Kisner",69,0.49,143,70,"ScramblingRoughRTPScore",2012
103,103,"Tom Pernice Jr",62,0.49,147,72,"ScramblingRoughRTPScore",2012
106,106,"Ted Potter Jr",77,0.494,178,88,"ScramblingRoughRTPScore",2012
107,107,"Brian Harman",101,0.495,216,107,"ScramblingRoughRTPScore",2012
108,108,"Seung Yul Noh",105,0.496,224,111,"ScramblingRoughRTPScore",2012
108,108,"YE Yang",64,0.496,123,61,"ScramblingRoughRTPScore",2012
110,110,"Tom Gillis",75,0.497,179,89,"ScramblingRoughRTPScore",2012
110,110,"Rocco Mediate",70,0.497,157,78,"ScramblingRoughRTPScore",2012
110,110,"Nick OHern",78,0.497,167,83,"ScramblingRoughRTPScore",2012
113,113,"Miguel Angel Carballo",73,0.503,157,79,"ScramblingRoughRTPScore",2012
113,113,"Ben Crane",73,0.503,165,83,"ScramblingRoughRTPScore",2012
113,113,"Chris Kirk",93,0.503,197,99,"ScramblingRoughRTPScore",2012
116,116,"Matt Bettencourt",80,0.505,208,105,"ScramblingRoughRTPScore",2012
117,117,"Arjun Atwal",79,0.506,172,87,"ScramblingRoughRTPScore",2012
117,117,"David Mathis",83,0.506,154,78,"ScramblingRoughRTPScore",2012
117,117,"Graeme McDowell",55,0.506,83,42,"ScramblingRoughRTPScore",2012
120,120,"Josh Teater",97,0.508,181,92,"ScramblingRoughRTPScore",2012
121,121,"Keegan Bradley",90,0.509,175,89,"ScramblingRoughRTPScore",2012
122,122,"Jhonattan Vegas",77,0.513,158,81,"ScramblingRoughRTPScore",2012
123,123,"Bobby Gates",87,0.514,179,92,"ScramblingRoughRTPScore",2012
124,124,"Tommy Biershenk",74,0.515,171,88,"ScramblingRoughRTPScore",2012
124,124,"Scott Dunlap",57,0.515,103,53,"ScramblingRoughRTPScore",2012
126,126,"Ricky Barnes",92,0.516,192,99,"ScramblingRoughRTPScore",2012
127,127,"Blake Adams",107,0.518,191,99,"ScramblingRoughRTPScore",2012
127,127,"Jerry Kelly",84,0.518,166,86,"ScramblingRoughRTPScore",2012
127,127,"Jason Kokrak",79,0.518,166,86,"ScramblingRoughRTPScore",2012
130,130,"Tim Clark",60,0.519,104,54,"ScramblingRoughRTPScore",2012
131,131,"Erik Compton",81,0.52,177,92,"ScramblingRoughRTPScore",2012
131,131,"Sergio Garcia",57,0.52,123,64,"ScramblingRoughRTPScore",2012
133,133,"Chris DiMarco",83,0.523,199,104,"ScramblingRoughRTPScore",2012
133,133,"Martin Laird",77,0.523,151,79,"ScramblingRoughRTPScore",2012
133,133,"George McNeill",85,0.523,193,101,"ScramblingRoughRTPScore",2012
136,136,"Gary Christian",91,0.527,182,96,"ScramblingRoughRTPScore",2012
137,137,"DJ Trahan",73,0.529,157,83,"ScramblingRoughRTPScore",2012
138,138,"Jason Bohn",81,0.531,145,77,"ScramblingRoughRTPScore",2012
138,138,"Tim Herron",88,0.531,162,86,"ScramblingRoughRTPScore",2012
