"ScramblingFringeRTPScore_RANKTHISWEEK_2014","ScramblingFringeRTPScore_RANKLASTWEEK_2014","ScramblingFringeRTPScore_PLAYERNAME_2014","ScramblingFringeRTPScore_ROUNDS_2014","ScramblingFringeRTPScore_AVGRTP_2014","ScramblingFringeRTPScore_TOTALHOLES_2014","ScramblingFringeRTPScore_TOTALRTP_2014","stat_name","year"
1,1,"Hideki Matsuyama",82,-0.135,52,-7,"ScramblingFringeRTPScore",2014
2,2,"Graeme McDowell",66,-0.1,40,-4,"ScramblingFringeRTPScore",2014
3,3,"Greg Chalmers",85,-0.091,77,-7,"ScramblingFringeRTPScore",2014
3,3,"Kevin Stadler",90,-0.091,44,-4,"ScramblingFringeRTPScore",2014
5,5,"Billy Horschel",92,-0.081,37,-3,"ScramblingFringeRTPScore",2014
6,6,"Jonas Blixt",64,-0.067,30,-2,"ScramblingFringeRTPScore",2014
7,7,"Dustin Johnson",58,-0.061,33,-2,"ScramblingFringeRTPScore",2014
8,8,"Kevin Kisner",85,-0.056,72,-4,"ScramblingFringeRTPScore",2014
9,9,"Brian Harman",111,-0.055,91,-5,"ScramblingFringeRTPScore",2014
10,10,"William McGirt",96,-0.054,74,-4,"ScramblingFringeRTPScore",2014
10,10,"Charlie Wi",72,-0.054,74,-4,"ScramblingFringeRTPScore",2014
12,12,"Matt Every",85,-0.053,57,-3,"ScramblingFringeRTPScore",2014
13,13,"Angel Cabrera",69,-0.052,58,-3,"ScramblingFringeRTPScore",2014
13,13,"Nick Watney",80,-0.052,58,-3,"ScramblingFringeRTPScore",2014
15,15,"Scott Brown",100,-0.046,87,-4,"ScramblingFringeRTPScore",2014
16,16,"Rickie Fowler",91,-0.045,44,-2,"ScramblingFringeRTPScore",2014
16,16,"David Toms",64,-0.045,44,-2,"ScramblingFringeRTPScore",2014
18,18,"Justin Rose",70,-0.044,45,-2,"ScramblingFringeRTPScore",2014
19,19,"Chris Stroud",88,-0.042,72,-3,"ScramblingFringeRTPScore",2014
20,20,"Marc Leishman",81,-0.037,54,-2,"ScramblingFringeRTPScore",2014
21,21,"David Hearn",97,-0.031,64,-2,"ScramblingFringeRTPScore",2014
22,22,"Chris Kirk",105,-0.029,70,-2,"ScramblingFringeRTPScore",2014
23,23,"Kevin Chappell",100,-0.028,72,-2,"ScramblingFringeRTPScore",2014
24,24,"Lee Westwood",57,-0.026,38,-1,"ScramblingFringeRTPScore",2014
25,25,"Martin Kaymer",65,-0.023,43,-1,"ScramblingFringeRTPScore",2014
25,25,"Patrick Reed",92,-0.023,44,-1,"ScramblingFringeRTPScore",2014
27,27,"Jason Kokrak",65,-0.02,49,-1,"ScramblingFringeRTPScore",2014
