"Front9Round2ScoringAverage_RANKTHISWEEK_2010","Front9Round2ScoringAverage_RANKLASTWEEK_2010","Front9Round2ScoringAverage_PLAYERNAME_2010","Front9Round2ScoringAverage__2010","Front9Round2ScoringAverage_AVG_2010","Front9Round2ScoringAverage_TOTALSTROKES_2010","Front9Round2ScoringAverage_TOTALROUNDS_2010","stat_name","year"
1,1,"Retief Goosen",NA,33.94,611,18,"Front9Round2ScoringAverage",2010
2,2,"Michael Connell",NA,34.24,856,25,"Front9Round2ScoringAverage",2010
3,3,"Chad Campbell",NA,34.38,894,26,"Front9Round2ScoringAverage",2010
4,4,"Phil Mickelson",NA,34.4,688,20,"Front9Round2ScoringAverage",2010
5,5,"Michael Bradley",NA,34.42,826,24,"Front9Round2ScoringAverage",2010
5,5,"Joe Durant",NA,34.42,654,19,"Front9Round2ScoringAverage",2010
7,7,"Jeff Gove",NA,34.45,758,22,"Front9Round2ScoringAverage",2010
8,8,"Graham DeLaet",NA,34.46,965,28,"Front9Round2ScoringAverage",2010
9,9,"Kevin Streelman",NA,34.48,931,27,"Front9Round2ScoringAverage",2010
10,10,"Zach Johnson",NA,34.5,828,24,"Front9Round2ScoringAverage",2010
11,11,"Jeff Overton",NA,34.52,863,25,"Front9Round2ScoringAverage",2010
12,12,"Brian Gay",NA,34.55,1002,29,"Front9Round2ScoringAverage",2010
12,12,"Spencer Levin",NA,34.55,1071,31,"Front9Round2ScoringAverage",2010
14,14,"Brendon de Jonge",NA,34.56,1106,32,"Front9Round2ScoringAverage",2010
15,15,"Jerry Kelly",NA,34.57,968,28,"Front9Round2ScoringAverage",2010
15,15,"Charles Warren",NA,34.57,726,21,"Front9Round2ScoringAverage",2010
17,17,"Lee Janzen",NA,34.58,899,26,"Front9Round2ScoringAverage",2010
17,17,"John Merrick",NA,34.58,1072,31,"Front9Round2ScoringAverage",2010
17,17,"Bryce Molder",NA,34.58,899,26,"Front9Round2ScoringAverage",2010
20,20,"KJ Choi",NA,34.59,761,22,"Front9Round2ScoringAverage",2010
20,20,"Carl Pettersson",NA,34.59,1003,29,"Front9Round2ScoringAverage",2010
20,20,"DA Points",NA,34.59,1003,29,"Front9Round2ScoringAverage",2010
23,23,"Greg Chalmers",NA,34.63,935,27,"Front9Round2ScoringAverage",2010
23,23,"Steve Wheatcroft",NA,34.63,935,27,"Front9Round2ScoringAverage",2010
25,25,"Kevin Na",NA,34.64,866,25,"Front9Round2ScoringAverage",2010
26,26,"Cliff Kresge",NA,34.65,589,17,"Front9Round2ScoringAverage",2010
27,27,"Jeev Milkha Singh",NA,34.67,624,18,"Front9Round2ScoringAverage",2010
28,28,"Stewart Cink",NA,34.68,763,22,"Front9Round2ScoringAverage",2010
28,28,"Justin Rose",NA,34.68,763,22,"Front9Round2ScoringAverage",2010
28,28,"Adam Scott",NA,34.68,659,19,"Front9Round2ScoringAverage",2010
31,31,"Tim Clark",NA,34.7,798,23,"Front9Round2ScoringAverage",2010
31,31,"Nick Watney",NA,34.7,798,23,"Front9Round2ScoringAverage",2010
33,33,"Hunter Mahan",NA,34.71,833,24,"Front9Round2ScoringAverage",2010
34,34,"Tom Pernice Jr",NA,34.73,764,22,"Front9Round2ScoringAverage",2010
35,35,"Greg Owen",NA,34.74,799,23,"Front9Round2ScoringAverage",2010
35,35,"Boo Weekley",NA,34.74,938,27,"Front9Round2ScoringAverage",2010
35,35,"Charlie Wi",NA,34.74,938,27,"Front9Round2ScoringAverage",2010
38,38,"Paul Casey",NA,34.75,556,16,"Front9Round2ScoringAverage",2010
38,38,"Tim Petrovic",NA,34.75,1112,32,"Front9Round2ScoringAverage",2010
40,40,"Steve Elkington",NA,34.76,730,21,"Front9Round2ScoringAverage",2010
40,40,"Kevin Sutherland",NA,34.76,869,25,"Front9Round2ScoringAverage",2010
42,42,"Aaron Baddeley",NA,34.77,904,26,"Front9Round2ScoringAverage",2010
42,42,"Brandt Snedeker",NA,34.77,904,26,"Front9Round2ScoringAverage",2010
44,44,"JJ Henry",NA,34.78,939,27,"Front9Round2ScoringAverage",2010
44,44,"Kevin Stadler",NA,34.78,939,27,"Front9Round2ScoringAverage",2010
46,46,"Ryuji Imada",NA,34.82,975,28,"Front9Round2ScoringAverage",2010
47,47,"Jason Day",NA,34.83,801,23,"Front9Round2ScoringAverage",2010
47,47,"Steve Stricker",NA,34.83,627,18,"Front9Round2ScoringAverage",2010
49,49,"Blake Adams",NA,34.85,906,26,"Front9Round2ScoringAverage",2010
49,49,"Stephen Ames",NA,34.85,697,20,"Front9Round2ScoringAverage",2010
49,49,"Scott Piercy",NA,34.85,941,27,"Front9Round2ScoringAverage",2010
49,49,"Jimmy Walker",NA,34.85,941,27,"Front9Round2ScoringAverage",2010
53,53,"Sergio Garcia",NA,34.86,488,14,"Front9Round2ScoringAverage",2010
54,54,"Chad Collins",NA,34.88,907,26,"Front9Round2ScoringAverage",2010
54,54,"Tim Herron",NA,34.88,837,24,"Front9Round2ScoringAverage",2010
54,54,"JB Holmes",NA,34.88,907,26,"Front9Round2ScoringAverage",2010
54,54,"Freddie Jacobson",NA,34.88,837,24,"Front9Round2ScoringAverage",2010
54,54,"Justin Leonard",NA,34.88,907,26,"Front9Round2ScoringAverage",2010
59,59,"DJ Trahan",NA,34.89,942,27,"Front9Round2ScoringAverage",2010
59,59,"Dean Wilson",NA,34.89,628,18,"Front9Round2ScoringAverage",2010
61,61,"Shaun Micheel",NA,34.9,733,21,"Front9Round2ScoringAverage",2010
62,62,"Chris DiMarco",NA,34.91,803,23,"Front9Round2ScoringAverage",2010
62,62,"Will Ma Kenzie",NA,34.91,768,22,"Front9Round2ScoringAverage",2010
62,62,"Steve Marino",NA,34.91,803,23,"Front9Round2ScoringAverage",2010
65,65,"JP Hayes",NA,34.92,873,25,"Front9Round2ScoringAverage",2010
65,65,"Pat Perez",NA,34.92,908,26,"Front9Round2ScoringAverage",2010
67,67,"Tom Gillis",NA,34.93,943,27,"Front9Round2ScoringAverage",2010
68,68,"Paul Stankowski",NA,34.94,629,18,"Front9Round2ScoringAverage",2010
69,69,"Chris Couch",NA,34.95,734,21,"Front9Round2ScoringAverage",2010
69,69,"Dustin Johnson",NA,34.95,769,22,"Front9Round2ScoringAverage",2010
71,71,"Jonathan Byrd",NA,34.96,909,26,"Front9Round2ScoringAverage",2010
72,72,"Webb Simpson",NA,34.97,1084,31,"Front9Round2ScoringAverage",2010
73,73,"Ben Curtis",NA,35,840,24,"Front9Round2ScoringAverage",2010
73,73,"Charles Howell III",NA,35,980,28,"Front9Round2ScoringAverage",2010
73,73,"Richard Johnson",NA,35,945,27,"Front9Round2ScoringAverage",2010
73,73,"Jarrod Lyle",NA,35,630,18,"Front9Round2ScoringAverage",2010
73,73,"Scott McCarron",NA,35,1015,29,"Front9Round2ScoringAverage",2010
73,73,"James Nitties",NA,35,1050,30,"Front9Round2ScoringAverage",2010
73,73,"Brett Quigley",NA,35,980,28,"Front9Round2ScoringAverage",2010
73,73,"Bo Van Pelt",NA,35,980,28,"Front9Round2ScoringAverage",2010
73,73,"YE Yang",NA,35,700,20,"Front9Round2ScoringAverage",2010
82,82,"John Senden",NA,35.03,1051,30,"Front9Round2ScoringAverage",2010
82,82,"Josh Teater",NA,35.03,1086,31,"Front9Round2ScoringAverage",2010
84,84,"Jeff Maggert",NA,35.04,876,25,"Front9Round2ScoringAverage",2010
84,84,"Jay Williamson",NA,35.04,841,24,"Front9Round2ScoringAverage",2010
86,86,"John Daly",NA,35.05,666,19,"Front9Round2ScoringAverage",2010
86,86,"Michael Sim",NA,35.05,666,19,"Front9Round2ScoringAverage",2010
88,88,"Brian Davis",NA,35.06,1087,31,"Front9Round2ScoringAverage",2010
89,89,"Matt Jones",NA,35.07,947,27,"Front9Round2ScoringAverage",2010
90,90,"Charley Hoffman",NA,35.08,842,24,"Front9Round2ScoringAverage",2010
90,90,"Roland Thatcher",NA,35.08,877,25,"Front9Round2ScoringAverage",2010
90,90,"Garrett Willis",NA,35.08,842,24,"Front9Round2ScoringAverage",2010
93,93,"Bubba Watson",NA,35.09,772,22,"Front9Round2ScoringAverage",2010
94,94,"Robert Garrigus",NA,35.1,737,21,"Front9Round2ScoringAverage",2010
95,95,"Luke Donald",NA,35.11,667,19,"Front9Round2ScoringAverage",2010
96,96,"Henrik Bjornstad",NA,35.12,913,26,"Front9Round2ScoringAverage",2010
96,96,"Matt Kuchar",NA,35.12,878,25,"Front9Round2ScoringAverage",2010
98,98,"Paul Goydos",NA,35.13,843,24,"Front9Round2ScoringAverage",2010
98,98,"Chris Riley",NA,35.13,843,24,"Front9Round2ScoringAverage",2010
100,100,"Robert Allenby",NA,35.15,703,20,"Front9Round2ScoringAverage",2010
100,100,"James Driscoll",NA,35.15,914,26,"Front9Round2ScoringAverage",2010
100,100,"Derek Lamely",NA,35.15,949,27,"Front9Round2ScoringAverage",2010
100,100,"John Rollins",NA,35.15,914,26,"Front9Round2ScoringAverage",2010
100,100,"Scott Verplank",NA,35.15,703,20,"Front9Round2ScoringAverage",2010
100,100,"Johnson Wagner",NA,35.15,949,27,"Front9Round2ScoringAverage",2010
106,106,"Ricky Barnes",NA,35.18,985,28,"Front9Round2ScoringAverage",2010
106,106,"Rickie Fowler",NA,35.18,985,28,"Front9Round2ScoringAverage",2010
108,108,"Joe Ogilvie",NA,35.19,1126,32,"Front9Round2ScoringAverage",2010
108,108,"Ryan Palmer",NA,35.19,950,27,"Front9Round2ScoringAverage",2010
110,110,"Briny Baird",NA,35.22,951,27,"Front9Round2ScoringAverage",2010
111,111,"Mathias Gronberg",NA,35.23,775,22,"Front9Round2ScoringAverage",2010
112,112,"Bill Haas",NA,35.24,881,25,"Front9Round2ScoringAverage",2010
112,112,"Padraig Harrington",NA,35.24,599,17,"Front9Round2ScoringAverage",2010
114,114,"Stuart Appleby",NA,35.26,1093,31,"Front9Round2ScoringAverage",2010
114,114,"Craig Bowden",NA,35.26,670,19,"Front9Round2ScoringAverage",2010
114,114,"Nathan Green",NA,35.26,952,27,"Front9Round2ScoringAverage",2010
114,114,"Bill Lunde",NA,35.26,952,27,"Front9Round2ScoringAverage",2010
114,114,"Kenny Perry",NA,35.26,670,19,"Front9Round2ScoringAverage",2010
119,119,"Lucas Glover",NA,35.27,776,22,"Front9Round2ScoringAverage",2010
120,120,"Jeff Quinney",NA,35.28,1023,29,"Front9Round2ScoringAverage",2010
121,121,"Alex Prugh",NA,35.29,988,28,"Front9Round2ScoringAverage",2010
121,121,"Mark Wilson",NA,35.29,988,28,"Front9Round2ScoringAverage",2010
123,123,"Omar Uresti",NA,35.3,953,27,"Front9Round2ScoringAverage",2010
124,124,"Cameron Beckman",NA,35.32,883,25,"Front9Round2ScoringAverage",2010
124,124,"Jason Bohn",NA,35.32,883,25,"Front9Round2ScoringAverage",2010
124,124,"John Mallinger",NA,35.32,989,28,"Front9Round2ScoringAverage",2010
124,124,"Aron Price",NA,35.32,777,22,"Front9Round2ScoringAverage",2010
124,124,"Camilo Villegas",NA,35.32,671,19,"Front9Round2ScoringAverage",2010
129,129,"Chris Stroud",NA,35.33,954,27,"Front9Round2ScoringAverage",2010
130,130,"Marc Leishman",NA,35.35,919,26,"Front9Round2ScoringAverage",2010
130,130,"Vaughn Taylor",NA,35.35,919,26,"Front9Round2ScoringAverage",2010
130,130,"Chris Tidland",NA,35.35,813,23,"Front9Round2ScoringAverage",2010
133,133,"Andres Romero",NA,35.38,743,21,"Front9Round2ScoringAverage",2010
133,133,"Nicholas Thompson",NA,35.38,1026,29,"Front9Round2ScoringAverage",2010
133,133,"David Toms",NA,35.38,849,24,"Front9Round2ScoringAverage",2010
133,133,"Brett Wetterich",NA,35.38,566,16,"Front9Round2ScoringAverage",2010
137,137,"Troy Matteson",NA,35.39,991,28,"Front9Round2ScoringAverage",2010
138,138,"Martin Laird",NA,35.42,921,26,"Front9Round2ScoringAverage",2010
138,138,"Rod Pampling",NA,35.42,921,26,"Front9Round2ScoringAverage",2010
140,140,"Skip Kendall",NA,35.44,638,18,"Front9Round2ScoringAverage",2010
140,140,"Billy Mayfair",NA,35.44,886,25,"Front9Round2ScoringAverage",2010
142,142,"Jim Furyk",NA,35.45,709,20,"Front9Round2ScoringAverage",2010
143,143,"Roger Tambellini",NA,35.46,922,26,"Front9Round2ScoringAverage",2010
144,144,"Garth Mulroy",NA,35.47,674,19,"Front9Round2ScoringAverage",2010
144,144,"Ted Purdy",NA,35.47,1064,30,"Front9Round2ScoringAverage",2010
146,146,"Woody Austin",NA,35.48,1029,29,"Front9Round2ScoringAverage",2010
146,146,"Brent Delahoussaye",NA,35.48,745,21,"Front9Round2ScoringAverage",2010
148,148,"Alex Cejka",NA,35.5,923,26,"Front9Round2ScoringAverage",2010
148,148,"Michael Letzig",NA,35.5,923,26,"Front9Round2ScoringAverage",2010
148,148,"Sean OHair",NA,35.5,852,24,"Front9Round2ScoringAverage",2010
148,148,"Mike Weir",NA,35.5,639,18,"Front9Round2ScoringAverage",2010
152,152,"Rich Barcelo",NA,35.52,888,25,"Front9Round2ScoringAverage",2010
153,153,"Ernie Els",NA,35.53,675,19,"Front9Round2ScoringAverage",2010
153,153,"Jerod Turner",NA,35.53,604,17,"Front9Round2ScoringAverage",2010
155,155,"Martin Flores",NA,35.54,924,26,"Front9Round2ScoringAverage",2010
156,156,"Heath Slocum",NA,35.56,889,25,"Front9Round2ScoringAverage",2010
157,157,"Trevor Immelman",NA,35.58,676,19,"Front9Round2ScoringAverage",2010
158,158,"Ryan Moore",NA,35.61,819,23,"Front9Round2ScoringAverage",2010
159,159,"Bob Estes",NA,35.62,926,26,"Front9Round2ScoringAverage",2010
160,160,"Davis Love III",NA,35.63,855,24,"Front9Round2ScoringAverage",2010
161,161,"Steve Flesch",NA,35.64,891,25,"Front9Round2ScoringAverage",2010
161,161,"Mathew Goggin",NA,35.64,998,28,"Front9Round2ScoringAverage",2010
161,161,"Ian Poulter",NA,35.64,499,14,"Front9Round2ScoringAverage",2010
164,164,"Brenden Pappas",NA,35.67,856,24,"Front9Round2ScoringAverage",2010
165,165,"Jason Dufner",NA,35.68,892,25,"Front9Round2ScoringAverage",2010
166,166,"Rocco Mediate",NA,35.7,821,23,"Front9Round2ScoringAverage",2010
167,167,"Matt Bettencourt",NA,35.71,1107,31,"Front9Round2ScoringAverage",2010
168,168,"Steve Lowery",NA,35.72,893,25,"Front9Round2ScoringAverage",2010
169,169,"Brian Stuard",NA,35.75,1001,28,"Front9Round2ScoringAverage",2010
170,170,"Ben Crane",NA,35.77,787,22,"Front9Round2ScoringAverage",2010
170,170,"Vijay Singh",NA,35.77,787,22,"Front9Round2ScoringAverage",2010
172,172,"Angel Cabrera",NA,35.78,644,18,"Front9Round2ScoringAverage",2010
173,173,"Geoff Ogilvy",NA,35.83,645,18,"Front9Round2ScoringAverage",2010
173,173,"Cameron Percy",NA,35.83,860,24,"Front9Round2ScoringAverage",2010
175,175,"David Lutterus",NA,35.84,896,25,"Front9Round2ScoringAverage",2010
176,176,"Rory McIlroy",NA,35.87,538,15,"Front9Round2ScoringAverage",2010
177,177,"Chris Wilson",NA,35.88,897,25,"Front9Round2ScoringAverage",2010
178,178,"Kris Blanks",NA,35.9,1041,29,"Front9Round2ScoringAverage",2010
179,179,"Vance Veazey",NA,35.91,790,22,"Front9Round2ScoringAverage",2010
180,180,"George McNeill",NA,35.93,970,27,"Front9Round2ScoringAverage",2010
181,181,"Matt Every",NA,35.94,647,18,"Front9Round2ScoringAverage",2010
182,182,"Brad Faxon",NA,35.95,791,22,"Front9Round2ScoringAverage",2010
182,182,"Andrew McLardy",NA,35.95,719,20,"Front9Round2ScoringAverage",2010
182,182,"Cameron Tringale",NA,35.95,791,22,"Front9Round2ScoringAverage",2010
185,185,"Daniel Chopra",NA,35.96,971,27,"Front9Round2ScoringAverage",2010
186,186,"Troy Merritt",NA,36.1,1047,29,"Front9Round2ScoringAverage",2010
187,187,"Greg Kraft",NA,36.14,759,21,"Front9Round2ScoringAverage",2010
188,188,"Kevin Johnson",NA,36.2,905,25,"Front9Round2ScoringAverage",2010
188,188,"Rory Sabbatini",NA,36.2,905,25,"Front9Round2ScoringAverage",2010
190,190,"Mark Calcavecchia",NA,36.38,582,16,"Front9Round2ScoringAverage",2010
191,191,"Justin Bolli",NA,36.43,838,23,"Front9Round2ScoringAverage",2010
192,192,"David Duval",NA,36.5,876,24,"Front9Round2ScoringAverage",2010
