"ProximitytoHole_RANKTHISWEEK_2013","ProximitytoHole_RANKLASTWEEK_2013","ProximitytoHole_PLAYERNAME_2013","ProximitytoHole_ROUNDS_2013","ProximitytoHole_AVG_2013","ProximitytoHole_TOTALDISTANCEFEET_2013","ProximitytoHole_OFATTEMPTS_2013","ProximitytoHole_GIRRANK_2013","stat_name","year"
1,1,"Jim Furyk",80,NA,35953.333,1150,14,"ProximitytoHole",2013
2,2,"Justin Rose",62,NA,26497.583,823,9,"ProximitytoHole",2013
3,3,"Jeff Maggert",63,NA,32858.667,1020,47,"ProximitytoHole",2013
4,4,"Camilo Villegas",79,NA,37338.917,1144,40,"ProximitytoHole",2013
5,5,"Chez Reavie",72,NA,39213.167,1198,40,"ProximitytoHole",2013
6,6,"Chris Kirk",89,NA,47732.417,1451,69,"ProximitytoHole",2013
7,7,"Rory Sabbatini",86,NA,42458.833,1288,23,"ProximitytoHole",2013
7,7,"Jordan Spieth",82,NA,39397.833,1194,37,"ProximitytoHole",2013
9,9,"Ken Duke",87,NA,44379.167,1343,141,"ProximitytoHole",2013
9,9,"Vijay Singh",61,NA,28449.75,861,7,"ProximitytoHole",2013
9,9,"David Toms",49,NA,18902.333,572,130,"ProximitytoHole",2013
12,12,"KJ Choi",85,NA,37490.417,1130,71,"ProximitytoHole",2013
12,12,"Brandt Snedeker",79,NA,34182.917,1030,79,"ProximitytoHole",2013
12,12,"Kevin Stadler",83,NA,40776.917,1231,8,"ProximitytoHole",2013
15,15,"Darron Stiles",51,NA,25026.583,753,153,"ProximitytoHole",2013
16,16,"Graham DeLaet",94,NA,48457.75,1455,3,"ProximitytoHole",2013
16,16,"Kevin Streelman",86,NA,40676.25,1220,54,"ProximitytoHole",2013
18,18,"Brad Fritsch",81,NA,40763.083,1216,46,"ProximitytoHole",2013
18,18,"Zach Johnson",84,NA,40141.667,1198,15,"ProximitytoHole",2013
18,18,"Nicholas Thompson",99,NA,51734.417,1543,20,"ProximitytoHole",2013
18,18,"YE Yang",56,NA,24576,733,144,"ProximitytoHole",2013
22,22,"Ben Kohles",75,NA,37286.083,1109,90,"ProximitytoHole",2013
22,22,"Graeme McDowell",53,NA,22177.083,661,144,"ProximitytoHole",2013
22,22,"Brian Stuard",78,NA,37986,1132,75,"ProximitytoHole",2013
22,22,"Bo Van Pelt",72,NA,32440.583,966,81,"ProximitytoHole",2013
26,26,"Brian Davis",91,NA,50189.083,1489,157,"ProximitytoHole",2013
26,26,"Justin Hicks",79,NA,39860.417,1183,12,"ProximitytoHole",2013
26,26,"David Lingmerth",68,NA,34295.75,1019,138,"ProximitytoHole",2013
26,26,"Ryan Palmer",79,NA,41702.667,1240,56,"ProximitytoHole",2013
30,30,"Brendon de Jonge",110,NA,58731.333,1739,10,"ProximitytoHole",2013
31,31,"Tim Clark",64,NA,26083.333,771,159,"ProximitytoHole",2013
31,31,"Bob Estes",66,NA,37612,1113,97,"ProximitytoHole",2013
