"StrokesGainedPutting_RANKTHISWEEK_2007","StrokesGainedPutting_RANKLASTWEEK_2007","StrokesGainedPutting_PLAYERNAME_2007","StrokesGainedPutting_ROUNDS_2007","StrokesGainedPutting_AVERAGE_2007","StrokesGainedPutting_TOTALPUTTSGAINED_2007","StrokesGainedPutting_MEASUREDROUNDS_2007","stat_name","year"
75,75,"Bo Van Pelt",104,0.123,11.94,97,"StrokesGainedPutting",2007
76,76,"Jeff Quinney",95,0.118,10.133,86,"StrokesGainedPutting",2007
77,77,"Ryan Palmer",91,0.115,9.451,82,"StrokesGainedPutting",2007
78,78,"Eric Axley",107,0.107,10.1,94,"StrokesGainedPutting",2007
79,79,"Marco Dawson",73,0.106,6.87,65,"StrokesGainedPutting",2007
80,80,"Lucas Glover",98,0.104,8.128,78,"StrokesGainedPutting",2007
81,81,"Cliff Kresge",107,0.099,9.89,100,"StrokesGainedPutting",2007
82,82,"Jay Williamson",50,0.091,4.344,48,"StrokesGainedPutting",2007
83,83,"Ken Duke",112,0.086,8.194,95,"StrokesGainedPutting",2007
84,84,"Bubba Watson",80,0.083,5.492,66,"StrokesGainedPutting",2007
85,85,"Jason Gore",86,0.081,6.303,78,"StrokesGainedPutting",2007
86,86,"Ryan Armour",107,0.079,7.398,94,"StrokesGainedPutting",2007
87,87,"Matt Kuchar",85,0.075,5.298,71,"StrokesGainedPutting",2007
88,88,"Michael Boyd",61,0.074,3.848,52,"StrokesGainedPutting",2007
88,88,"Geoff Ogilvy",84,0.074,4.74,64,"StrokesGainedPutting",2007
90,90,"John Mallinger",96,0.069,6.027,87,"StrokesGainedPutting",2007
91,91,"Glen Day",85,0.066,4.948,75,"StrokesGainedPutting",2007
92,92,"Brian Davis",101,0.064,5.665,88,"StrokesGainedPutting",2007
93,93,"Justin Rose",63,0.062,2.404,39,"StrokesGainedPutting",2007
94,94,"Jeff Overton",60,0.057,3.074,54,"StrokesGainedPutting",2007
95,95,"Camilo Villegas",82,0.037,2.562,69,"StrokesGainedPutting",2007
96,96,"Todd Hamilton",76,0.031,1.815,58,"StrokesGainedPutting",2007
97,97,"Scott Gutschewski",67,0.027,1.542,58,"StrokesGainedPutting",2007
98,98,"Jason Schultz",63,0.023,1.225,53,"StrokesGainedPutting",2007
99,99,"Mathew Goggin",97,0.018,1.586,87,"StrokesGainedPutting",2007
100,100,"Doug LaBelle II",104,0.01,0.917,91,"StrokesGainedPutting",2007
101,101,"Craig Kanada",109,0.008,0.791,94,"StrokesGainedPutting",2007
102,102,"Mathias Gronberg",95,0.003,0.278,88,"StrokesGainedPutting",2007
103,103,"JP Hayes",89,0.002,0.175,80,"StrokesGainedPutting",2007
104,104,"Rod Pampling",92,-0.004,-0.261,74,"StrokesGainedPutting",2007
105,105,"Rich Beem",89,-0.009,-0.661,70,"StrokesGainedPutting",2007
106,106,"Ian Poulter",63,-0.012,-0.47,39,"StrokesGainedPutting",2007
107,107,"Jim Furyk",84,-0.014,-0.95,66,"StrokesGainedPutting",2007
108,108,"Bill Haas",93,-0.016,-1.282,82,"StrokesGainedPutting",2007
109,109,"Vijay Singh",102,-0.021,-1.711,82,"StrokesGainedPutting",2007
110,110,"Retief Goosen",50,-0.023,-0.78,34,"StrokesGainedPutting",2007
111,111,"JJ Henry",86,-0.027,-1.829,68,"StrokesGainedPutting",2007
111,111,"Nick OHern",72,-0.027,-1.464,55,"StrokesGainedPutting",2007
111,111,"Kevin Sutherland",85,-0.027,-1.87,69,"StrokesGainedPutting",2007
114,114,"Tommy Armour III",81,-0.03,-2.085,69,"StrokesGainedPutting",2007
115,115,"DJ Brigman",67,-0.031,-1.673,54,"StrokesGainedPutting",2007
115,115,"Shaun Micheel",91,-0.031,-2.163,70,"StrokesGainedPutting",2007
117,117,"Stuart Appleby",74,-0.033,-1.887,58,"StrokesGainedPutting",2007
118,118,"Ernie Els",59,-0.036,-1.587,44,"StrokesGainedPutting",2007
119,119,"Billy Mayfair",98,-0.038,-3.158,83,"StrokesGainedPutting",2007
120,120,"Michael Allen",74,-0.04,-2.584,64,"StrokesGainedPutting",2007
121,121,"Briny Baird",115,-0.05,-5.261,105,"StrokesGainedPutting",2007
122,122,"Jeff Maggert",79,-0.051,-4,78,"StrokesGainedPutting",2007
123,123,"Brett Quigley",79,-0.062,-3.913,63,"StrokesGainedPutting",2007
124,124,"Chris DiMarco",79,-0.066,-4.161,63,"StrokesGainedPutting",2007
125,125,"Cameron Beckman",96,-0.069,-5.886,85,"StrokesGainedPutting",2007
126,126,"Mark Wilson",87,-0.071,-5.185,73,"StrokesGainedPutting",2007
127,127,"Tom Byrum",50,-0.075,-3.082,41,"StrokesGainedPutting",2007
128,128,"Chris Stroud",66,-0.079,-4.417,56,"StrokesGainedPutting",2007
129,129,"Brendon de Jonge",76,-0.083,-5.478,66,"StrokesGainedPutting",2007
130,130,"Brian Bateman",55,-0.086,-3.793,44,"StrokesGainedPutting",2007
131,131,"Ben Curtis",80,-0.09,-5.744,64,"StrokesGainedPutting",2007
132,132,"Rocco Mediate",72,-0.093,-6.24,67,"StrokesGainedPutting",2007
133,133,"Jason Dufner",100,-0.109,-9.522,87,"StrokesGainedPutting",2007
134,134,"Steve Marino",106,-0.126,-11.423,91,"StrokesGainedPutting",2007
134,134,"Michael Putnam",96,-0.126,-10.063,80,"StrokesGainedPutting",2007
136,136,"Steve Lowery",74,-0.127,-8.739,69,"StrokesGainedPutting",2007
137,137,"Robert Garrigus",95,-0.128,-11.012,86,"StrokesGainedPutting",2007
138,138,"Billy Andrade",88,-0.133,-10.492,79,"StrokesGainedPutting",2007
138,138,"Chris Couch",76,-0.133,-9.688,73,"StrokesGainedPutting",2007
140,140,"Anthony Kim",93,-0.14,-11.225,80,"StrokesGainedPutting",2007
141,141,"Kent Jones",97,-0.141,-12.392,88,"StrokesGainedPutting",2007
142,142,"Joey Sindelar",75,-0.148,-9.927,67,"StrokesGainedPutting",2007
143,143,"Steve Wheatcroft",73,-0.149,-9.065,61,"StrokesGainedPutting",2007
144,144,"Will Ma Kenzie",100,-0.166,-15.122,91,"StrokesGainedPutting",2007
145,145,"Paul Stankowski",52,-0.171,-7.163,42,"StrokesGainedPutting",2007
146,146,"Anders Hansen",55,-0.182,-6.19,34,"StrokesGainedPutting",2007
147,147,"Woody Austin",95,-0.186,-15.603,84,"StrokesGainedPutting",2007
148,148,"Mark Brooks",53,-0.188,-7.705,41,"StrokesGainedPutting",2007
148,148,"Peter Lonard",85,-0.188,-14.286,76,"StrokesGainedPutting",2007
150,150,"Jerry Kelly",101,-0.202,-15.139,75,"StrokesGainedPutting",2007
151,151,"Jason Bohn",57,-0.203,-10.76,53,"StrokesGainedPutting",2007
151,151,"Mark Calcavecchia",93,-0.203,-14.805,73,"StrokesGainedPutting",2007
153,153,"Scott Verplank",82,-0.216,-12.739,59,"StrokesGainedPutting",2007
154,154,"Robert Gamez",88,-0.219,-16.66,76,"StrokesGainedPutting",2007
155,155,"Johnson Wagner",97,-0.223,-19.142,86,"StrokesGainedPutting",2007
156,156,"Lee Janzen",66,-0.228,-11.846,52,"StrokesGainedPutting",2007
157,157,"Nick Watney",87,-0.235,-16.444,70,"StrokesGainedPutting",2007
158,158,"Steve Flesch",100,-0.238,-21.379,90,"StrokesGainedPutting",2007
159,159,"Trevor Immelman",74,-0.24,-12.936,54,"StrokesGainedPutting",2007
160,160,"Duffy Waldorf",69,-0.246,-14.536,59,"StrokesGainedPutting",2007
161,161,"Boo Weekley",101,-0.25,-19.509,78,"StrokesGainedPutting",2007
162,162,"Jeff Brehaut",59,-0.253,-12.414,49,"StrokesGainedPutting",2007
163,163,"Craig Barlow",52,-0.254,-11.171,44,"StrokesGainedPutting",2007
164,164,"Daisuke Maruyama",86,-0.257,-19.566,76,"StrokesGainedPutting",2007
165,165,"John Senden",97,-0.263,-22.127,84,"StrokesGainedPutting",2007
166,166,"Jose Coceres",50,-0.281,-11.801,42,"StrokesGainedPutting",2007
167,167,"Mike Weir",82,-0.291,-17.467,60,"StrokesGainedPutting",2007
168,168,"Paul Gow",70,-0.295,-16.797,57,"StrokesGainedPutting",2007
169,169,"John Daly",59,-0.301,-14.74,49,"StrokesGainedPutting",2007
170,170,"Tom Lehman",62,-0.306,-14.993,49,"StrokesGainedPutting",2007
171,171,"Kyle Reifers",71,-0.316,-19.877,63,"StrokesGainedPutting",2007
172,172,"Kenny Perry",83,-0.324,-24.325,75,"StrokesGainedPutting",2007
173,173,"Matt Hendrix",63,-0.339,-18.62,55,"StrokesGainedPutting",2007
174,174,"Tom Johnson",74,-0.359,-22.588,63,"StrokesGainedPutting",2007
175,175,"Robert Allenby",90,-0.366,-27.483,75,"StrokesGainedPutting",2007
176,176,"Davis Love III",66,-0.369,-19.56,53,"StrokesGainedPutting",2007
177,177,"Jeff Sluman",60,-0.375,-15.73,42,"StrokesGainedPutting",2007
178,178,"Charles Warren",101,-0.376,-34.994,93,"StrokesGainedPutting",2007
179,179,"David Branshaw",83,-0.378,-28.352,75,"StrokesGainedPutting",2007
180,180,"Ted Purdy",102,-0.403,-35.038,87,"StrokesGainedPutting",2007
181,181,"John Merrick",92,-0.421,-34.083,81,"StrokesGainedPutting",2007
181,181,"Jaco Van Zyl",51,-0.421,-18.534,44,"StrokesGainedPutting",2007
183,183,"Jim Rutledge",59,-0.43,-19.795,46,"StrokesGainedPutting",2007
184,184,"Harrison Frazar",88,-0.466,-33.996,73,"StrokesGainedPutting",2007
185,185,"Alex Cejka",80,-0.477,-35.308,74,"StrokesGainedPutting",2007
186,186,"Chad Campbell",96,-0.482,-35.208,73,"StrokesGainedPutting",2007
187,187,"DJ Trahan",99,-0.541,-48.646,90,"StrokesGainedPutting",2007
188,188,"Brett Wetterich",88,-0.547,-38.294,70,"StrokesGainedPutting",2007
189,189,"JB Holmes",71,-0.578,-37.014,64,"StrokesGainedPutting",2007
190,190,"Kirk Triplett",77,-0.652,-44.312,68,"StrokesGainedPutting",2007
191,191,"Bubba Dickerson",51,-0.659,-28.351,43,"StrokesGainedPutting",2007
192,192,"Kevin Stadler",95,-0.74,-57.758,78,"StrokesGainedPutting",2007
193,193,"Jeff Gove",103,-0.775,-72.856,94,"StrokesGainedPutting",2007
194,194,"Joe Durant",88,-0.875,-63.895,73,"StrokesGainedPutting",2007
195,195,"Greg Owen",81,-0.887,-62.086,70,"StrokesGainedPutting",2007
196,196,"Darron Stiles",65,-1.014,-53.741,53,"StrokesGainedPutting",2007
